Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Joel Embiid,30.6,PHI,Big,574,97,88.2%,95,20.4%,96,3.0%,26,16.9%
Tyson Etienne,25.1,BKN,Wing,136,0,80.0%,38,6.4%,77,1.3%,0,0.0%
Drew Eubanks,27.7,LAC,Big,133,0,80.0%,49,11.6%,3,0.3%,0,0.0%
Drew Eubanks,27.7,UTA,Big,547,14,62.3%,70,14.1%,79,2.0%,12,8.7%
Tosan Evbuomwan,23.7,BKN,Forward,628,40,76.1%,91,14.8%,71,1.1%,30,17.1%
Dante Exum,29.3,DAL,Combo,370,19,74.2%,66,9.8%,59,1.4%,45,21.4%
Bruno Fernando,26.2,TOR,Big,129,0,75.0%,26,9.1%,77,1.9%,0,0.0%
Kyle Filipowski,21.0,UTA,Big,1480,19,65.2%,56,12.4%,52,1.3%,55,23.2%
Dorian Finney-Smith,31.5,LAL,Forward,1236,0,71.4%,7,2.5%,10,0.4%,19,14.3%
Dorian Finney-Smith,31.5,BKN,Big,579,0,62.5%,7,4.3%,36,1.1%,76,28.6%
Adam Flagler,24.9,OKC,Combo,108,0,50.0%,0,0.0%,6,0.4%,100,0.0%
Simone Fontecchio,28.9,DET,Forward,1186,75,82.9%,55,9.5%,47,0.8%,55,22.2%
De'Aaron Fox,26.9,SAC,Point,1662,53,82.9%,79,12.1%,58,1.6%,17,16.9%
De'Aaron Fox,26.9,SAS,Combo,578,55,81.9%,78,11.4%,57,1.4%,37,20.0%
Enrique Freeman,24.3,IND,Big,142,0,80.0%,79,15.6%,88,2.3%,34,20.0%
Markelle Fultz,26.4,SAC,Combo,130,0,100.0%,7,2.4%,1,0.3%,99,100.0%
Johnny Furphy,19.9,IND,Wing,290,0,80.0%,64,8.5%,89,1.5%,100,57.1%
Daniel Gafford,26.1,DAL,Big,1225,32,68.9%,93,19.7%,82,2.1%,76,28.3%
Darius Garland,24.8,CLE,Point,2295,80,87.8%,52,8.5%,65,1.8%,54,23.6%
Luka Garza,25.8,MIN,Big,132,0,69.6%,72,14.5%,75,1.9%,12,10.0%
Keyonte George,21.0,UTA,Combo,2066,50,81.6%,83,12.4%,71,1.6%,66,25.2%
Kyshawn George,20.9,WAS,Wing,1771,30,75.3%,45,6.8%,73,1.1%,40,18.4%
Paul George,34.5,PHI,Wing,1321,58,81.4%,52,7.3%,96,1.9%,60,25.0%
Taj Gibson,39.4,CHA,Big,386,0,60.0%,14,6.7%,58,1.5%,23,16.7%
Josh Giddey,22.1,CHI,Point,2113,23,78.1%,81,12.1%,52,1.4%,35,19.6%
Shai Gilgeous-Alexander,26.3,OKC,Point,2595,90,89.8%,92,15.0%,90,2.9%,48,21.8%
Anthony Gill,32.0,WAS,Forward,273,10,65.4%,93,16.4%,72,1.1%,26,16.7%
Collin Gillespie,25.4,PHX,Combo,418,0,88.2%,30,5.4%,39,1.1%,17,12.5%
Rudy Gobert,32.4,MIN,Big,2382,25,67.5%,96,21.0%,81,2.0%,31,18.6%
Jordan Goodwin,26.0,LAL,Combo,512,0,75.0%,1,1.5%,8,0.4%,92,50.0%
Aaron Gordon,29.1,DEN,Big,1444,80,81.0%,81,16.0%,42,1.2%,32,18.7%
Eric Gordon,35.9,PHI,Wing,756,28,75.0%,70,9.1%,33,0.7%,23,15.0%
Jerami Grant,30.6,POR,Big,1523,95,84.9%,46,11.4%,40,1.1%,29,18.1%
AJ Green,25.1,MIL,Wing,1638,53,80.8%,3,1.7%,32,0.7%,78,28.6%
Draymond Green,34.7,GSW,Big,1980,31,68.7%,38,10.6%,84,2.1%,73,27.6%
Jalen Green,22.7,HOU,Wing,2680,54,81.1%,71,9.7%,86,1.4%,45,20.7%
Javonte Green,31.3,CLE,Wing,153,0,50.0%,44,6.8%,83,1.3%,97,50.0%
Javonte Green,31.3,NOP,Wing,1074,33,75.8%,97,14.8%,43,0.8%,83,30.6%
Jeff Green,38.2,HOU,Forward,348,0,83.3%,65,10.4%,7,0.4%,26,16.7%
Josh Green,24.0,CHA,Wing,1884,7,68.1%,48,7.0%,44,0.8%,29,16.1%
Quentin Grimes,24.5,PHI,Combo,942,27,75.2%,72,10.5%,90,1.9%,69,26.9%
Quentin Grimes,24.5,DAL,Wing,1022,42,77.9%,68,8.8%,79,1.3%,87,34.4%
Mouhamed Gueye,22.0,ATL,Big,515,61,76.2%,45,11.3%,10,0.6%,17,14.3%
Rui Hachimura,26.7,LAL,Forward,1868,44,77.0%,56,9.6%,21,0.5%,36,18.3%
