Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Bojan Bogdanovic,27.5,WAS,Forward,230,33,-2.8%,70,+4.2%,62,+3.4%,33,-4.6%,46,-1.0%,28,-12.5%,20,-6.0%,16,-7.3%
Avery Bradley,25.9,BOS,Combo,604,71,+3.1%,47,-0.1%,79,+7.8%,93,+14.7%,93,+11.7%,59,+5.7%,66,+2.6%,70,+3.4%
Malcolm Brogdon,23.9,MIL,Combo,177,32,-2.9%,14,-6.0%,20,-8.6%,21,-6.6%,15,-7.4%,86,+17.8%,17,-6.3%,67,+2.2%
Jaylen Brown,20.0,BOS,Wing,168,41,-1.6%,15,-5.7%,76,+6.3%,41,-2.3%,61,+1.7%,65,+8.0%,28,-4.7%,44,-1.4%
Jimmy Butler,27.1,CHI,Wing,238,13,-5.6%,78,+5.7%,93,+14.8%,69,+5.1%,88,+8.9%,0,-71.6%,46,-1.4%,0,-24.7%
Clint Capela,22.5,HOU,Big,285,12,-5.7%,12,-7.0%,10,-12.2%,59,+3.7%,24,-4.8%,34,-9.6%,49,-1.0%,34,-2.6%
DeMarre Carroll,30.3,TOR,Forward,149,73,+3.8%,75,+5.3%,18,-8.9%,74,+6.6%,48,-0.6%,68,+8.4%,69,+3.3%,71,+3.5%
Vince Carter,39.8,MEM,Wing,194,29,-3.3%,33,-2.4%,13,-10.6%,58,+3.2%,22,-5.5%,75,+11.1%,16,-6.3%,41,-2.0%
Ian Clark,25.7,GSW,Combo,174,16,-5.0%,34,-2.1%,67,+4.6%,25,-5.9%,45,-1.0%,25,-14.4%,38,-3.1%,26,-5.5%
Mike Conley,29.1,MEM,Point,222,17,-5.0%,92,+11.0%,78,+7.1%,0,-35.9%,7,-10.7%,13,-21.3%,24,-5.1%,15,-8.1%
Jamal Crawford,36.6,LAC,Wing,162,84,+5.3%,30,-2.9%,64,+3.9%,62,+3.8%,73,+3.5%,93,+22.7%,80,+6.8%,93,+11.3%
Jae Crowder,26.3,BOS,Forward,557,42,-1.4%,41,-1.1%,49,-0.9%,67,+5.0%,65,+2.2%,41,-4.1%,44,-1.6%,39,-2.2%
Stephen Curry,28.6,GSW,Point,598,98,+9.9%,50,+0.2%,71,+5.3%,86,+11.0%,86,+8.3%,79,+14.4%,84,+7.3%,89,+8.8%
DeMar DeRozan,27.2,TOR,Wing,372,6,-7.9%,80,+6.0%,89,+14.0%,2,-18.6%,36,-2.4%,37,-8.4%,1,-24.5%,2,-17.8%
