Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Richard Jefferson,30.4,SAS,Forward,175,92,-6.4%,98,-19.0%,86,-10.0%,26,+4.8%,72,-3.4%,5,+33.3%,98,-19.4%,21,+7.1%
Joe Johnson,29.3,ATL,Wing,494,23,+3.7%,51,-0.9%,13,+11.4%,38,+2.8%,12,+6.2%,43,+3.8%,29,+4.8%,31,+4.6%
James Jones,30.1,MIA,Wing,267,64,-2.2%,48,+0.1%,45,+0.9%,92,-9.8%,83,-4.9%,35,+8.3%,64,-3.7%,53,-0.3%
Jason Kidd,37.6,DAL,Point,742,94,-7.1%,88,-9.2%,80,-8.8%,66,-2.5%,88,-5.7%,54,+1.0%,63,-3.3%,62,-2.2%
Kyle Korver,29.6,CHI,Wing,264,21,+3.8%,38,+3.4%,34,+4.2%,77,-4.7%,60,-1.6%,7,+29.5%,18,+8.2%,6,+13.1%
Carl Landry,27.1,NOH,Big,212,46,+0.6%,76,-6.0%,97,-18.2%,21,+6.1%,71,-3.2%,2,+46.2%,17,+8.3%,5,+15.0%
Ty Lawson,23.0,DEN,Point,166,85,-4.7%,6,+13.1%,82,-9.3%,6,+10.7%,19,+4.3%,87,-19.4%,96,-15.7%,98,-16.8%
Shawn Marion,32.5,DAL,Forward,688,83,-4.2%,67,-5.2%,83,-9.5%,69,-2.6%,87,-5.7%,45,+2.6%,50,-0.9%,50,-0.0%
Kenyon Martin,32.8,DEN,Big,147,84,-4.6%,7,+11.6%,79,-8.4%,91,-9.4%,98,-9.1%,94,-27.4%,33,+3.5%,74,-4.7%
Wesley Matthews,24.0,POR,Wing,202,6,+8.0%,2,+18.6%,31,+4.9%,50,0.0%,29,+2.4%,21,+13.3%,26,+5.8%,26,+5.9%
Eric Maynor,23.4,OKC,Point,212,19,+4.0%,17,+8.0%,37,+3.0%,94,-12.6%,78,-4.0%,31,+9.5%,14,+9.3%,13,+9.2%
O.J. Mayo,23.0,MEM,Combo,359,38,+1.1%,61,-3.0%,64,-3.8%,29,+4.6%,42,+0.6%,33,+8.8%,25,+6.4%,21,+7.1%
Antonio McDyess,36.2,SAS,Big,144,93,-6.9%,92,-11.5%,40,+2.8%,53,-0.4%,40,+1.3%,64,-4.8%,100,-31.1%,100,-20.2%
Jodie Meeks,23.2,PHI,Wing,122,51,-0.4%,55,-1.9%,59,-2.9%,37,+2.9%,50,-0.2%,34,+8.7%,75,-6.5%,52,-0.3%
Andre Miller,34.6,POR,Point,193,28,+3.1%,16,+8.7%,65,-3.9%,93,-10.5%,95,-7.2%,36,+6.9%,7,+13.5%,8,+11.9%
Mike Miller,30.7,MIA,Wing,210,75,-3.4%,68,-5.2%,46,+0.6%,85,-6.5%,70,-3.2%,46,+2.6%,74,-6.0%,69,-3.5%
Nazr Mohammed,33.2,OKC,Big,139,88,-5.4%,70,-5.3%,66,-4.7%,90,-9.0%,92,-6.3%,83,-13.5%,10,+11.1%,46,+1.2%
Gary Neal,26.1,SAS,Wing,106,4,+8.3%,2,+16.1%,15,+10.8%,68,-2.6%,16,+4.6%,49,+1.8%,30,+4.8%,33,+4.3%
Jameer Nelson,28.7,ORL,Point,216,98,-8.6%,53,-1.0%,96,-17.8%,96,-13.1%,100,-13.5%,26,+11.4%,76,-6.6%,60,-1.8%
Joakim Noah,25.7,CHI,Big,526,26,+3.2%,31,+4.4%,12,+11.5%,71,-3.3%,35,+1.8%,15,+16.7%,55,-1.7%,45,+1.6%
Dirk Nowitzki,32.4,DAL,Big,824,91,-6.2%,69,-5.2%,50,-0.4%,86,-6.6%,73,-3.6%,56,-0.2%,79,-7.7%,77,-5.8%
Jermaine O'Neal,32.1,BOS,Big,196,95,-7.3%,87,-8.9%,57,-2.9%,93,-10.9%,97,-7.8%,66,-5.9%,42,+1.1%,55,-0.7%
Lamar Odom,31.0,LAL,Big,284,59,-1.2%,65,-4.3%,43,+2.1%,52,-0.4%,41,+0.8%,69,-7.2%,35,+3.3%,50,-0.1%
Emeka Okafor,28.1,NOH,Big,187,72,-3.2%,21,+6.7%,26,+5.5%,81,-5.7%,44,+0.4%,87,-19.4%,94,-14.3%,96,-15.0%
Zaza Pachulia,26.7,ATL,Big,193,78,-3.6%,90,-10.5%,73,-5.9%,50,-0.1%,67,-2.7%,55,+0.4%,32,+3.5%,40,+2.7%
Tony Parker,28.5,SAS,Point,220,68,-2.6%,83,-7.9%,88,-11.9%,2,+14.7%,50,-0.2%,28,+10.0%,86,-9.5%,48,0.0%
Chris Paul,25.5,NOH,Point,249,12,+5.9%,55,-1.8%,95,-17.0%,16,+7.0%,30,+2.3%,2,+42.9%,37,+2.9%,7,+12.5%
Kendrick Perkins,26.0,OKC,Big,478,34,+2.1%,40,+2.5%,61,-3.4%,31,+4.4%,43,+0.4%,45,+3.3%,43,+0.8%,45,+1.7%
Paul Pierce,33.1,BOS,Wing,342,14,+5.2%,22,+6.7%,16,+10.4%,97,-14.1%,83,-5.3%,30,+9.7%,6,+15.0%,7,+13.0%
Zach Randolph,29.3,MEM,Big,515,24,+3.6%,29,+5.2%,2,+17.7%,40,+2.4%,2,+10.6%,23,+12.7%,83,-9.0%,66,-3.2%
JJ Redick,26.4,ORL,Wing,116,12,+5.4%,11,+10.7%,62,-3.5%,36,+2.9%,46,+0.1%,1,+51.4%,17,+8.3%,3,+18.2%
