Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Jeremy Tyler,20.4,GSW,Big,537,9,41.8%,23,54%,32,32%,26,28%,19,30%,0,0%,0,0%,0,0%
Ekpe Udoh,24.5,GSW,Big,817,19,44.3%,25,55%,53,38%,80,44%,60,40%,0,0%,0,0%,0,0%
Ekpe Udoh,24.5,MIL,Big,443,7,40.6%,8,50%,47,36%,27,29%,28,32%,0,0%,0,0%,0,0%
Beno Udrih,29.3,MIL,Point,995,45,45.4%,30,49%,95,55%,67,41%,80,45%,0,23%,24,30%,19,27%
Ben Uzoh,23.6,TOR,Point,349,0,34.5%,16,45%,22,29%,5,18%,6,24%,0,0%,0,0%,0,0%
Anderson Varejao,29.1,CLE,Big,782,66,51.6%,52,63%,25,30%,53,37%,29,32%,0,0%,0,0%,0,0%
Greivis Vasquez,24.8,NOP,Combo,1658,44,47.0%,42,55%,73,40%,87,44%,80,42%,10,24%,53,35%,38,33%
Jan Vesely,21.5,WAS,Big,1033,86,55.9%,88,70%,7,18%,12,15%,4,17%,0,0%,0,0%,0,0%
Charlie Villanueva,27.2,DET,Forward,136,96,57.5%,35,59%,38,30%,98,75%,85,43%,0,33%,94,43%,87,42%
Nikola Vucevic,21.0,PHI,Big,758,25,45.3%,48,61%,60,38%,37,33%,43,35%,0,50%,0,20%,0,29%
Dwyane Wade,29.8,MIA,Wing,1616,75,50.7%,83,66%,92,47%,31,34%,77,41%,0,13%,20,28%,7,26%
Von Wafer,26.3,ORL,Wing,404,42,46.9%,29,56%,85,44%,15,29%,34,34%,0,36%,36,32%,37,33%
Henry Walker,24.1,NYK,Wing,595,73,50.6%,93,74%,72,40%,78,43%,79,41%,2,22%,64,36%,34,32%
Kemba Walker,21.5,CHA,Combo,1683,22,41.5%,11,46%,58,37%,20,34%,29,35%,0,36%,33,33%,33,33%
John Wall,21.2,WAS,Point,2374,30,42.9%,77,59%,34,32%,23,31%,27,31%,0,7%,2,12%,0,9%
Ben Wallace,37.1,DET,Big,921,9,41.7%,5,46%,12,25%,93,50%,32,33%,0,100%,0,0%,0,25%
Gerald Wallace,29.3,BKN,Forward,570,35,46.0%,8,48%,21,25%,40,34%,33,32%,62,36%,71,38%,72,37%
Gerald Wallace,29.3,POR,Forward,1496,71,50.5%,42,60%,8,19%,73,41%,42,34%,56,34%,6,20%,21,27%
Luke Walton,31.6,CLE,Big,235,29,45.8%,8,50%,34,33%,47,35%,40,35%,0,43%,0,50%,0,45%
Hakim Warrick,29.3,PHX,Forward,430,8,39.2%,58,62%,31,26%,21,30%,19,29%,0,33%,0,0%,0,14%
CJ Watson,27.5,CHI,Point,1138,42,44.9%,13,44%,19,27%,30,34%,30,32%,93,52%,73,37%,92,40%
Earl Watson,32.4,UTA,Point,1010,3,36.4%,73,58%,33,32%,9,24%,14,29%,0,11%,6,19%,6,18%
Martell Webster,24.9,MIN,Wing,1136,64,49.8%,45,59%,53,35%,51,38%,51,37%,56,40%,39,32%,51,35%
David West,31.2,IND,Big,1922,42,48.8%,45,60%,72,41%,91,49%,89,45%,0,33%,0,0%,0,14%
Delonte West,28.3,DAL,Combo,1039,71,49.7%,71,60%,89,46%,62,41%,82,42%,69,43%,44,34%,59,37%
Russell Westbrook,23.0,OKC,Point,2327,66,48.2%,80,60%,69,39%,72,43%,67,41%,0,33%,33,32%,31,32%
DJ White,25.2,CHA,Big,978,52,49.7%,73,66%,61,39%,84,46%,84,44%,0,0%,0,100%,0,100%
