Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Patty Mills,28.2,SAS,Point,414,29,0.1%,41,1.4%,47,3.3%,41,1.2%,18,8.3%,0,0.0%,0,0.0%
Paul Millsap,31.7,ATL,Big,218,20,0.9%,78,1.8%,80,3.0%,30,4.3%,75,21.7%,0,0.0%,30,14.3%
Nikola Mirotic,25.7,CHI,Big,161,23,1.0%,57,1.4%,38,4.5%,8,2.4%,53,17.0%,0,0.0%,20,11.1%
Greg Monroe,26.4,MIL,Big,140,38,1.3%,100,2.7%,28,4.8%,90,13.7%,80,22.5%,0,0.0%,88,50.0%
Markieff Morris,27.2,WAS,Big,361,75,2.4%,60,1.4%,15,5.3%,38,4.5%,63,18.2%,0,0.0%,18,10.5%
Dejounte Murray,20.1,SAS,Combo,132,100,0.8%,100,4.0%,42,3.7%,42,2.2%,100,14.4%,0,0.0%,83,14.3%
Victor Oladipo,24.5,OKC,Wing,179,82,1.1%,59,1.7%,24,4.0%,26,1.1%,82,14.5%,94,8.3%,0,0.0%
Kelly Olynyk,25.5,BOS,Big,310,65,2.1%,73,1.6%,20,5.0%,45,4.9%,18,10.8%,0,0.0%,57,26.3%
Kelly Oubre,20.9,WAS,Wing,145,76,1.0%,94,2.7%,0,9.3%,91,6.2%,59,11.8%,0,0.0%,82,27.3%
Zaza Pachulia,32.7,GSW,Big,198,25,1.0%,50,1.3%,25,4.8%,65,8.7%,50,16.9%,95,14.3%,30,14.3%
Tony Parker,34.5,SAS,Point,211,0,0.0%,12,0.9%,88,2.1%,47,1.7%,53,9.5%,0,0.0%,0,0.0%
Patrick Patterson,27.6,TOR,Big,181,10,0.6%,88,2.1%,100,1.0%,3,0.6%,15,10.7%,0,0.0%,13,10.0%
Chris Paul,31.5,LAC,Point,220,47,0.3%,100,2.6%,18,4.3%,59,2.2%,88,15.4%,0,0.0%,0,0.0%
Otto Porter,23.4,WAS,Forward,386,69,1.0%,88,2.3%,88,2.4%,56,3.5%,56,15.5%,0,0.0%,81,31.8%
Bobby Portis,21.7,CHI,Big,106,45,1.5%,40,0.9%,78,3.1%,35,4.5%,85,23.3%,0,0.0%,100,75.0%
Norman Powell,23.4,TOR,Wing,212,79,1.1%,62,1.7%,12,5.0%,56,2.4%,56,11.8%,0,0.0%,62,15.0%
Taurean Prince,22.6,ATL,Forward,185,19,0.3%,13,0.5%,94,2.1%,38,3.3%,31,13.1%,0,0.0%,0,0.0%
Zach Randolph,35.3,MEM,Big,189,13,0.6%,55,1.3%,70,3.5%,50,5.5%,88,25.5%,0,0.0%,40,16.7%
JJ Redick,32.4,LAC,Wing,183,0,0.0%,6,0.5%,35,3.7%,0,0.0%,18,7.2%,0,0.0%,0,0.0%
Andre Roberson,24.9,OKC,Wing,185,100,4.8%,97,2.8%,44,3.5%,100,8.2%,6,6.7%,97,9.1%,44,8.3%
Terry Rozier,22.6,BOS,Combo,209,0,0.0%,75,2.1%,100,2.3%,75,3.2%,58,11.8%,0,0.0%,0,0.0%
Dennis Schroder,23.1,ATL,Point,210,0,0.0%,47,1.4%,41,3.6%,53,1.9%,0,3.9%,0,0.0%,94,18.2%
Iman Shumpert,26.4,CLE,Combo,249,50,0.4%,67,1.7%,8,5.5%,50,2.5%,50,11.4%,0,0.0%,92,15.4%
Jonathon Simmons,27.1,SAS,Wing,279,24,0.2%,53,1.4%,38,3.7%,68,3.1%,9,6.9%,0,0.0%,0,0.0%
Marcus Smart,22.7,BOS,Wing,486,88,1.5%,79,2.2%,32,3.9%,82,4.9%,76,12.6%,0,0.0%,53,11.5%
JR Smith,31.1,CLE,Wing,485,47,0.6%,44,1.2%,50,3.4%,18,0.9%,15,7.1%,82,2.6%,68,16.0%
Jason Smith,30.7,WAS,Big,131,68,2.3%,3,0.3%,5,7.3%,23,3.7%,23,12.4%,100,33.3%,25,12.5%
Tony Snell,25.0,MIL,Wing,184,26,0.3%,0,0.3%,15,4.4%,9,0.6%,21,7.5%,97,9.1%,0,0.0%
Lance Stephenson,26.2,IND,Wing,107,0,0.0%,21,0.8%,21,4.1%,21,1.0%,97,19.4%,0,0.0%,59,14.3%
Jeff Teague,28.4,IND,Point,142,94,1.1%,18,0.9%,35,3.7%,0,0.0%,47,9.2%,0,0.0%,88,8.3%
Isaiah Thomas,27.7,BOS,Point,477,24,0.1%,24,1.2%,59,3.0%,24,1.1%,29,8.6%,0,0.0%,0,0.0%
Klay Thompson,26.7,GSW,Wing,592,41,0.4%,32,1.0%,62,3.0%,47,2.1%,26,8.3%,0,0.0%,38,6.1%
Tristan Thompson,25.6,CLE,Big,560,28,1.2%,23,0.7%,93,2.6%,93,14.4%,25,13.3%,0,0.0%,55,25.9%
PJ Tucker,31.5,TOR,Forward,250,38,0.5%,44,1.1%,13,5.0%,100,6.8%,63,15.8%,0,0.0%,88,36.4%
Evan Turner,28.0,POR,Wing,123,65,0.8%,85,2.3%,88,2.3%,44,2.0%,85,14.5%,0,0.0%,97,60.0%
Myles Turner,20.6,IND,Big,133,78,2.5%,95,2.3%,43,4.3%,48,5.0%,57,17.4%,0,0.0%,13,10.0%
Jonas Valanciunas,24.5,TOR,Big,221,43,1.4%,8,0.4%,57,4.0%,25,4.0%,93,26.7%,95,14.3%,68,33.3%
Dwyane Wade,34.8,CHI,Wing,190,97,2.2%,24,0.9%,97,1.6%,74,3.3%,74,12.4%,0,0.0%,56,12.5%
John Wall,26.2,WAS,Point,464,100,1.5%,71,1.9%,94,1.9%,18,1.1%,41,9.0%,94,4.5%,0,0.0%
David West,36.2,GSW,Big,211,93,3.5%,53,1.3%,23,5.0%,33,4.3%,60,17.6%,0,0.0%,28,13.3%
Russell Westbrook,28.0,OKC,Point,194,65,0.5%,94,2.6%,53,3.2%,88,4.2%,100,21.6%,100,5.9%,100,57.1%
Deron Williams,32.4,CLE,Point,229,35,0.2%,59,1.8%,0,5.4%,29,1.1%,12,7.1%,0,0.0%,0,0.0%
Lou Williams,30.0,HOU,Wing,265,21,0.2%,41,1.2%,74,2.8%,65,3.0%,32,8.4%,0,0.0%,0,0.0%
Thaddeus Young,28.4,IND,Big,140,5,0.4%,98,2.5%,73,3.5%,95,15.8%,0,7.8%,0,0.0%,78,44.4%
Paul Zipser,22.7,CHI,Forward,127,31,0.4%,0,0.4%,31,3.6%,0,0.8%,44,14.4%,100,16.7%,31,14.3%
