Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Jalen Suggs,22.4,ORL,Combo,232,66,+5.0,63,+3.1,44,-1.3%,65,-1.5%,79,+6.4,50,-0.0,87,+33.3
Josh Giddey,21.1,OKC,Forward,179,37,-1.5,26,-3.7,67,+2.6%,48,-0.1%,72,+4.7,70,+3.0,61,+7.0
Franz Wagner,22.2,ORL,Wing,258,46,+0.0,37,-1.1,21,-5.2%,89,-4.2%,12,-9.4,47,-0.3,8,-47.8
Isaiah Jackson,21.8,IND,Big,130,34,-2.7,6,-11.4,96,+9.4%,79,-2.7%,53,+1.6,79,+4.5,27,-16.2
Herbert Jones,25.1,NOP,Forward,200,54,+3.0,71,+5.3,10,-7.3%,1,+8.7%,1,-20.9,2,-15.1,28,-15.9
Miles McBride,23.1,NYK,Combo,334,17,-7.6,15,-6.8,67,+2.4%,53,-0.7%,37,-3.0,38,-2.6,50,+1.3
Aaron Wiggins,24.8,OKC,Forward,145,57,+3.1,40,-0.7,98,+9.9%,84,-3.4%,93,+11.7,94,+9.6,46,-0.6
Austin Reaves,25.4,LAL,Combo,210,85,+10.3,74,+7.3,82,+5.5%,92,-4.4%,66,+3.3,72,+3.4,38,-6.5
Sam Hauser,25.9,BOS,Forward,265,79,+8.3,51,+1.0,75,+4.1%,91,-4.3%,90,+10.6,89,+7.5,68,+14.7
Trey Murphy III,23.4,NOP,Wing,241,60,+4.0,33,-1.6,92,+8.0%,100,-10.1%,99,+20.0,98,+11.2,96,+58.2
Jose Alvarado,25.6,NOP,Point,104,76,+7.6,47,+0.5,95,+9.3%,81,-3.3%,89,+10.6,86,+6.6,71,+15.9
Paolo Banchero,21.0,ORL,Big,260,7,-11.6,10,-9.4,3,-12.2%,52,-0.7%,37,-2.7,36,-2.7,47,0.0
Chet Holmgren,21.5,OKC,Big,343,88,+11.5,93,+14.7,26,-3.9%,47,-0.0%,94,+11.7,66,+2.3,98,+71.6
Jalen Williams,22.5,OKC,Wing,375,81,+8.6,95,+17.6,4,-11.2%,73,-2.0%,48,+0.2,34,-2.9,78,+23.1
Christian Braun,22.5,DEN,Wing,202,11,-9.4,24,-4.5,20,-5.5%,45,+0.3%,33,-4.1,39,-2.6,37,-7.4
Nikola Jovic,20.4,MIA,Big,160,1,-19.7,9,-9.5,42,-1.5%,34,+1.1%,8,-11.8,19,-5.2,10,-46.0
Andrew Nembhard,23.8,IND,Combo,552,74,+6.3,87,+11.2,17,-6.2%,9,+4.7%,39,-2.3,11,-7.2,85,+28.4
Jaylin Williams,21.3,OKC,Big,115,5,-12.7,8,-9.8,63,+1.9%,29,+1.8%,11,-10.3,33,-3.1,5,-54.3
Cason Wallace,20.0,OKC,Combo,192,54,+3.0,33,-1.6,43,-1.3%,11,+4.4%,20,-6.7,14,-5.7,51,+2.5
Dereck Lively II,19.7,DAL,Big,459,69,+5.4,67,+3.9,72,+3.2%,83,-3.3%,85,+8.7,85,+6.2,63,+9.1
Jaime Jaquez Jr.,22.7,MIA,Wing,179,77,+7.8,72,+6.3,68,+2.7%,50,-0.5%,41,-1.6,32,-3.3,73,+16.7
Ben Sheppard,22.3,IND,Wing,323,61,+4.3,63,+2.9,76,+4.5%,71,-1.9%,59,+2.5,89,+7.6,18,-28.1
