Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Michael Porter,21.3,DEN,Forward,436,88,58.8%,82,58.1%,87,39.5%,43,75.0%,47,70%,53,58%,47,60%,76,85%
Norman Powell,26.4,TOR,Wing,267,86,58.4%,75,56.9%,86,41.2%,14,79.3%,54,74%,25,72%,79,25%,61,86%
Josh Richardson,26.1,PHI,Combo,144,20,45.5%,10,35.7%,40,37.0%,0,94.4%,20,70%,25,60%,30,40%,10,90%
Austin Rivers,27.2,HOU,Wing,195,0,39.1%,11,36.4%,10,27.3%,0,71.4%,79,53%,54,50%,96,0%,86,67%
Duncan Robinson,25.5,MIA,Wing,599,96,60.6%,100,65.0%,72,40.0%,71,86.8%,11,95%,21,73%,11,100%,29,98%
Rajon Rondo,33.7,LAL,Point,394,50,54.6%,33,49.3%,75,40.8%,0,68.4%,50,38%,75,17%,50,27%,33,70%
Terrence Ross,28.7,ORL,Wing,135,68,55.6%,89,58.8%,17,33.3%,0,85.7%,50,77%,4,100%,43,67%,75,80%
Dennis Schroder,26.1,OKC,Combo,226,15,45.4%,40,48.4%,10,27.3%,0,80.0%,65,37%,55,28%,90,8%,35,83%
Landry Shamet,22.6,LAC,Wing,231,50,51.9%,61,53.8%,28,34.1%,0,71.4%,7,95%,11,83%,11,100%,0,100%
Pascal Siakam,25.6,TOR,Forward,417,12,42.9%,29,48.0%,0,19.6%,14,71.1%,71,54%,59,57%,76,39%,53,90%
Marcus Smart,25.7,BOS,Combo,647,40,50.0%,50,49.3%,25,33.6%,67,87.5%,25,62%,30,39%,45,37%,50,83%
Jayson Tatum,21.7,BOS,Forward,690,35,50.5%,24,47.3%,73,37.9%,71,81.3%,76,46%,82,33%,71,43%,88,64%
Garrett Temple,33.5,BKN,Wing,137,4,43.9%,96,61.5%,0,25.0%,0,83.3%,61,71%,43,60%,68,33%,54,89%
Daniel Theis,27.6,BOS,Big,481,31,53.8%,74,62.6%,0,15.4%,47,78.8%,41,80%,36,74%,10,100%,26,100%
Gary Trent Jr.,20.8,POR,Wing,181,32,49.0%,7,34.8%,83,40.7%,0,77.8%,68,63%,96,0%,50,60%,71,82%
PJ Tucker,34.5,HOU,Big,414,36,54.6%,15,47.6%,48,37.9%,0,0.0%,33,83%,97,33%,10,100%,26,100%
Myles Turner,23.6,IND,Big,145,74,63.6%,77,63.3%,0,42.9%,0,43.8%,49,76%,51,69%,51,67%,26,100%
Fred VanVleet,25.7,TOR,Combo,429,50,52.2%,20,41.3%,65,38.9%,0,84.0%,55,52%,80,16%,40,38%,55,76%
Nikola Vucevic,29.0,ORL,Big,184,56,58.6%,54,56.7%,64,40.9%,0,90.9%,62,71%,87,46%,59,64%,26,100%
Kemba Walker,29.5,BOS,Point,627,42,52.8%,75,56.9%,17,32.0%,83,85.2%,67,35%,58,23%,58,23%,50,56%
Brad Wanamaker,30.3,BOS,Combo,265,75,56.8%,60,51.5%,75,42.3%,0,87.5%,35,61%,10,70%,25,43%,60,64%
TJ Warren,26.2,IND,Forward,156,47,52.2%,47,51.0%,60,36.8%,0,100.0%,65,66%,18,78%,53,50%,59,86%
Russell Westbrook,31.0,HOU,Combo,261,10,45.0%,30,47.7%,5,24.2%,0,53.1%,60,39%,30,39%,60,27%,65,63%
Hassan Whiteside,30.4,POR,Big,116,21,48.1%,21,48.1%,0,0.0%,0,50.0%,46,77%,44,70%,10,100%,0,0%
Grant Williams,20.9,BOS,Big,163,100,77.1%,44,55.6%,0,60.0%,0,70.0%,15,93%,31,75%,10,100%,26,100%
Lou Williams,33.0,LAC,Combo,336,30,46.5%,65,52.1%,0,23.4%,44,81.1%,80,27%,95,11%,65,26%,75,55%
Marvin Williams,33.4,MIL,Big,178,38,55.3%,8,45.8%,76,43.5%,0,100.0%,38,81%,72,50%,41,86%,87,90%
Robert Williams,22.0,BOS,Big,143,97,76.7%,100,76.7%,0,0.0%,0,33.3%,77,65%,69,62%,10,100%,0,0%
Ivica Zubac,22.6,LAC,Big,317,44,56.4%,46,56.4%,0,0.0%,60,81.1%,44,80%,26,79%,44,80%,0,0%
