Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Troy Brown,24.3,DET,Forward,404,5,0.1%,82,1.7%,97,1.6%,22,2.5%,88,17.0%,0,0.0%,45,15.0%
Troy Brown,24.3,MIN,Wing,345,14,0.3%,25,1.0%,75,2.7%,59,3.0%,66,11.0%,0,0.0%,83,23.1%
Jalen Brunson,27.2,NYK,Point,2721,16,0.3%,23,1.1%,86,2.1%,26,1.5%,35,8.9%,74,1.4%,65,5.8%
Thomas Bryant,26.3,MIA,Big,420,66,2.0%,33,1.0%,59,3.5%,61,9.5%,85,22.2%,0,0.0%,64,33.3%
Kobe Bufkin,20.1,ATL,Combo,167,97,1.5%,59,1.5%,6,4.9%,74,2.9%,72,11.2%,0,0.0%,90,15.4%
Reggie Bullock,32.6,HOU,Wing,334,55,0.8%,38,1.2%,41,3.2%,29,1.8%,97,15.2%,0,0.0%,94,29.4%
Alec Burks,32.3,NYK,Wing,304,6,0.2%,27,1.0%,98,1.6%,45,2.6%,62,10.8%,0,0.0%,0,0.0%
Alec Burks,32.3,DET,Wing,894,43,0.6%,22,1.0%,67,2.9%,20,1.6%,57,10.5%,71,1.9%,48,9.1%
Jared Butler,23.2,WAS,Combo,471,59,0.6%,84,2.2%,5,4.9%,42,2.0%,29,8.0%,0,0.0%,85,14.3%
Jimmy Butler,34.1,MIA,Forward,2042,17,0.4%,83,1.7%,98,1.3%,77,5.5%,34,10.9%,0,0.0%,8,2.5%
Jamal Cain,24.6,MIA,Forward,222,74,1.2%,91,1.9%,32,3.7%,78,5.5%,16,8.8%,0,0.0%,20,6.7%
Kentavious Caldwell-Pope,30.7,DEN,Wing,2400,66,0.9%,85,1.8%,77,2.7%,12,1.3%,4,6.4%,66,1.6%,0,0.0%
Toumani Camara,23.5,POR,Forward,1677,60,0.9%,79,1.7%,29,3.9%,94,7.5%,50,11.8%,73,2.6%,40,13.4%
Clint Capela,29.5,ATL,Big,1882,83,2.8%,31,0.9%,66,3.2%,97,16.1%,83,22.0%,59,2.0%,85,43.6%
Jevon Carter,28.1,CHI,Combo,966,73,0.8%,57,1.5%,56,2.9%,8,1.1%,1,4.9%,0,0.0%,62,6.0%
Wendell Carter,24.5,ORL,Big,1404,23,1.1%,49,1.1%,69,3.2%,54,8.7%,74,20.5%,63,2.6%,48,27.1%
Alex Caruso,29.7,CHI,Wing,2039,96,1.8%,98,2.6%,20,3.9%,61,3.1%,34,9.3%,88,3.5%,92,28.1%
Julian Champagnie,22.3,SAS,Forward,1397,81,1.4%,68,1.4%,83,2.2%,34,2.9%,31,10.7%,64,1.9%,52,17.0%
Justin Champagnie,22.3,WAS,Big,211,57,1.8%,86,1.8%,92,2.3%,42,7.4%,26,14.1%,0,0.0%,46,26.7%
Max Christie,20.7,LAL,Wing,829,69,0.9%,8,0.8%,76,2.7%,28,1.8%,68,11.2%,0,0.0%,63,11.8%
Sidy Cissoko,19.6,SAS,Forward,114,79,1.3%,97,2.2%,0,6.7%,76,5.5%,4,7.4%,0,0.0%,93,40.0%
Brandon Clarke,27.1,MEM,Big,131,69,2.1%,76,1.5%,97,2.2%,50,8.4%,23,13.4%,0,0.0%,55,30.0%
Jordan Clarkson,31.4,UTA,Wing,1672,8,0.2%,13,0.9%,96,1.7%,54,2.8%,23,8.6%,65,1.4%,11,1.1%
Nicolas Claxton,24.5,BKN,Big,2112,92,3.5%,35,1.0%,75,3.0%,59,9.2%,90,23.1%,43,0.8%,83,41.9%
Noah Clowney,19.3,BKN,Forward,318,96,2.4%,12,0.8%,49,3.0%,93,7.0%,75,14.6%,98,12.5%,78,27.3%
Amir Coffey,26.4,LAC,Forward,1365,25,0.5%,62,1.3%,54,2.9%,12,2.0%,7,8.2%,0,0.0%,24,7.6%
John Collins,26.1,UTA,Big,1898,45,1.6%,26,0.9%,47,3.9%,48,8.1%,78,20.9%,56,1.6%,77,40.7%
Zach Collins,25.9,SAS,Big,1502,46,1.6%,36,1.0%,17,4.9%,43,7.5%,30,15.1%,55,1.6%,76,40.0%
Mike Conley,36.1,MIN,Point,2193,42,0.4%,77,1.8%,49,2.6%,51,1.9%,19,8.2%,0,0.0%,44,2.6%
Pat Connaughton,30.8,MIL,Wing,1638,37,0.5%,26,1.0%,88,2.4%,58,3.0%,72,11.5%,94,5.0%,28,5.6%
Bilal Coulibaly,19.3,WAS,Wing,1596,90,1.2%,58,1.4%,29,3.4%,63,3.1%,56,10.5%,76,2.2%,96,29.9%
Ricky Council,22.2,PHI,Wing,222,0,0.0%,37,1.2%,84,2.5%,82,4.5%,82,12.1%,0,0.0%,98,37.5%
Robert Covington,32.9,PHI,Big,395,65,2.0%,99,3.3%,25,4.6%,41,7.3%,21,13.1%,0,0.0%,8,8.7%
Torrey Craig,32.9,CHI,Forward,1042,66,1.0%,55,1.3%,12,4.5%,88,6.3%,71,13.6%,88,4.4%,89,36.0%
Jae Crowder,33.3,MIL,Forward,1142,14,0.4%,69,1.4%,66,2.7%,25,2.6%,33,10.8%,76,3.0%,87,32.5%
Cade Cunningham,22.1,DET,Wing,2072,38,0.6%,36,1.1%,70,2.8%,14,1.5%,79,11.8%,73,1.9%,15,3.2%
Seth Curry,33.2,DAL,Wing,423,17,0.4%,66,1.5%,58,3.0%,69,3.5%,12,7.7%,0,0.0%,46,8.7%
Seth Curry,33.2,CHA,Wing,158,72,1.0%,60,1.4%,96,1.7%,31,2.0%,22,8.5%,0,0.0%,0,0.0%
Stephen Curry,35.6,GSW,Point,2419,58,0.6%,12,0.9%,91,1.8%,33,1.6%,74,12.0%,0,0.0%,23,0.9%
Dyson Daniels,20.6,NOP,Combo,1253,74,0.8%,92,2.6%,42,3.2%,93,4.9%,85,12.4%,88,2.7%,94,16.4%
Anthony Davis,30.6,LAL,Big,2699,89,3.2%,71,1.5%,89,2.5%,63,9.7%,95,25.2%,43,0.8%,19,16.0%
Johnny Davis,21.7,WAS,Wing,506,47,0.7%,45,1.3%,15,4.0%,46,2.7%,37,9.5%,0,0.0%,61,10.7%
DeMar DeRozan,34.2,CHI,Forward,2987,50,0.8%,65,1.3%,81,2.2%,7,1.5%,24,9.9%,0,0.0%,35,12.0%
Donte DiVincenzo,26.7,NYK,Wing,2346,57,0.8%,90,2.0%,69,2.9%,53,2.8%,54,10.5%,0,0.0%,30,6.3%
Gradey Dick,19.9,TOR,Forward,1204,2,0.1%,39,1.1%,52,3.0%,13,2.0%,14,8.7%,80,3.4%,13,5.0%
Ousmane Dieng,20.4,OKC,Big,274,6,0.5%,50,1.1%,74,3.0%,6,3.4%,6,10.8%,0,0.0%,0,0.0%
Spencer Dinwiddie,30.6,BKN,Point,1471,28,0.3%,26,1.1%,74,2.3%,40,1.7%,23,8.6%,0,0.0%,0,0.0%
Spencer Dinwiddie,30.6,LAL,Combo,671,78,0.8%,8,0.8%,44,3.2%,2,0.7%,8,5.8%,0,0.0%,69,8.0%
Luka Doncic,24.7,DAL,Point,2619,72,0.7%,67,1.6%,70,2.3%,58,2.2%,98,21.7%,67,0.6%,93,19.0%
Luguentz Dort,24.5,OKC,Wing,2243,79,1.0%,54,1.4%,13,4.1%,71,3.6%,27,8.8%,61,1.1%,52,9.2%
Ayo Dosunmu,23.8,CHI,Combo,2188,76,0.8%,44,1.3%,45,3.2%,60,2.4%,17,7.4%,0,0.0%,53,5.2%
Jeff Dowtin,26.5,PHI,Wing,120,22,0.4%,95,2.2%,100,0.0%,21,1.6%,60,10.7%,0,0.0%,0,0.0%
Andre Drummond,30.2,CHI,Big,1343,60,1.9%,95,2.4%,54,3.7%,100,19.6%,100,31.8%,70,3.7%,96,55.1%
Chris Duarte,26.4,SAC,Wing,661,26,0.5%,83,1.8%,9,4.7%,70,3.5%,65,11.0%,0,0.0%,54,9.7%
Kris Dunn,29.6,UTA,Combo,1190,90,1.2%,83,2.2%,9,4.3%,90,3.9%,76,11.3%,0,0.0%,44,4.3%
Kevin Durant,35.1,PHX,Big,2789,46,1.6%,41,1.1%,99,1.8%,0,1.6%,32,15.3%,44,0.9%,32,20.8%
Jalen Duren,20.0,DET,Big,1777,36,1.3%,15,0.8%,50,3.7%,75,10.7%,97,27.3%,89,6.4%,97,55.8%
Tari Eason,22.5,HOU,Forward,474,94,2.0%,99,2.8%,17,4.4%,99,8.4%,96,19.0%,0,0.0%,75,25.0%
Anthony Edwards,22.2,MIN,Combo,2766,67,0.8%,65,1.6%,86,2.0%,44,2.0%,92,13.3%,71,0.7%,29,2.4%
Kessler Edwards,23.2,SAC,Forward,170,72,1.2%,98,2.3%,5,5.4%,35,2.9%,73,13.9%,0,0.0%,64,20.0%
Keon Ellis,23.8,SAC,Combo,911,98,1.5%,85,2.2%,2,5.0%,76,2.9%,44,9.4%,83,2.0%,77,12.2%
Joel Embiid,29.6,PHI,Big,1309,76,2.5%,75,1.5%,83,2.8%,45,7.7%,89,22.9%,0,0.0%,63,32.7%
Drew Eubanks,26.7,PHX,Big,1132,75,2.4%,46,1.1%,56,3.6%,62,9.6%,45,16.6%,0,0.0%,80,41.7%
Tosan Evbuomwan,22.7,DET,Forward,282,42,0.7%,17,0.9%,69,2.6%,45,3.3%,36,11.1%,92,5.9%,86,31.6%
Dante Exum,28.3,DAL,Wing,1067,9,0.2%,16,0.9%,35,3.4%,43,2.6%,61,10.7%,0,0.0%,58,10.3%
Bruno Fernando,25.2,ATL,Big,625,70,2.1%,83,1.7%,4,6.1%,65,9.7%,59,18.4%,0,0.0%,86,44.4%
Dorian Finney-Smith,30.5,BKN,Big,1926,19,1.0%,61,1.3%,67,3.2%,25,5.3%,5,10.5%,73,3.8%,25,19.0%
Malachi Flynn,25.5,TOR,Combo,447,66,0.8%,56,1.5%,38,3.3%,56,2.3%,67,10.6%,0,0.0%,72,8.7%
Malachi Flynn,25.5,DET,Combo,315,30,0.3%,95,2.8%,79,2.3%,16,1.3%,79,11.6%,99,7.7%,0,0.0%
