bet_id,date,game_id,player,market,side,line,entry_odds_dec,entry_time,close_line,close_odds_dec,close_time,direction,clv_line,clv_price,clv_novig,clv_pct,beat_closing,result,won,profit,predicted_pra,player_sigma,ev_entry,stake
2025-10-24_zach_lavine_30.5_UNDER,2025-10-24,Utah Jazz @ Sacramento Kings,Zach LaVine,PRA,UNDER,30.5,1.900900900900901,2025-10-24T22:11:25.965504,,,,-1,,,,,,34.0,0.0,-4.48275688635473,25.361563517915304,13.173497669088327,0.2389186332762393,4.48275688635473
2025-10-24_kyshawn_george_19.5_UNDER,2025-10-24,Washington Wizards @ Dallas Mavericks,Kyshawn George,PRA,UNDER,19.5,1.9433962264150944,2025-10-24T22:11:25.966591,,,,-1,,,,,,49.0,0.0,-6.216812658049661,16.807550644567222,7.692866955006693,0.2376091579848381,6.216812658049661
2025-10-24_tobias_harris_21.5_UNDER,2025-10-24,Detroit Pistons @ Houston Rockets,Tobias Harris,PRA,UNDER,21.5,1.8547008547008548,2025-10-24T22:11:25.967472,,,,-1,,,,,,21.0,1.0,3.6630036630036633,17.470967741935482,9.641643352319424,0.2277783997491514,4.285714285714286
2025-10-24_mikal_bridges_23.5_UNDER,2025-10-24,Boston Celtics @ New York Knicks,Mikal Bridges,PRA,UNDER,23.5,1.8849557522123896,2025-10-24T22:11:25.968500,,,,-1,,,,,,20.0,1.0,4.734436452959105,19.904761904761905,9.787365642833798,0.2126208334806627,5.349913191843788
2025-10-24_stephen_curry_34.5_UNDER,2025-10-24,Golden State Warriors @ Portland Trail Blazers,Stephen Curry,PRA,UNDER,34.5,1.847457627118644,2025-10-24T22:11:25.969388,,,,-1,,,,,,44.0,0.0,-5.106062554150872,29.0,13.76695443240586,0.2105287069972358,5.106062554150872
2025-10-24_cade_cunningham_40.5_UNDER,2025-10-24,Detroit Pistons @ Houston Rockets,Cade Cunningham,PRA,UNDER,40.5,1.8547008547008548,2025-10-24T22:11:25.971297,,,,-1,,,,,,37.0,1.0,3.6630036630036633,35.70614035087719,12.385622459357776,0.2067435611192173,4.285714285714286
2025-10-24_caris_levert_16.5_OVER,2025-10-24,Detroit Pistons @ Houston Rockets,Caris LeVert,PRA,OVER,16.5,1.8264462809917352,2025-10-24T22:11:25.972328,,,,1,,,,,,,,,19.904761904761905,8.313112147702304,0.2035140483541968,4.285714285714286
2025-10-24_rj_barrett_28.5_UNDER,2025-10-24,Milwaukee Bucks @ Toronto Raptors,R.J. Barrett,PRA,UNDER,28.5,1.819672131147541,2025-10-24T22:11:25.974261,,,,-1,,,,,,28.0,1.0,5.410211890896432,22.418803418803417,15.16338946308966,0.1933525991982245,6.600458506893646
2025-10-24_jimmy_butler_29.5_UNDER,2025-10-24,Golden State Warriors @ Portland Trail Blazers,Jimmy Butler,PRA,UNDER,29.5,1.9090909090909092,2025-10-24T22:11:25.976338,,,,-1,,,,,,21.0,1.0,4.641875049228066,25.96825396825397,11.414216814658658,0.1864954312823522,5.106062554150872
2025-10-24_kevin_durant_33.5_UNDER,2025-10-24,Detroit Pistons @ Houston Rockets,Kevin Durant,PRA,UNDER,33.5,1.869565217391304,2025-10-24T22:11:25.977254,,,,-1,,,,,,41.0,0.0,-4.285714285714286,29.0,13.078517997681118,0.1864360231782232,4.285714285714286
