Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Dwight Howard,30.9,ATL,Big,155,34,+3.4,29,+1.5,27,+1.9%,22,+16.3,93,-2.9,61,-3.4%,75,-35.0,3,+5.0,3,+10.7%,11,+47.9
Serge Ibaka,27.1,TOR,Big,305,30,+4.5,20,+2.5,71,-1.8%,20,+19.1,54,-0.1,7,+20.7%,55,-9.4,13,+3.7,89,-6.6%,12,+43.8
Andre Iguodala,32.8,GSW,Wing,417,28,+4.7,67,-1.7,54,+0.1%,76,-19.6,50,-0.0,24,+7.6%,50,-4.0,77,-1.6,59,-1.1%,78,-24.9
Joe Ingles,29.1,UTA,Wing,296,92,-17.2,66,-1.5,55,-0.1%,51,+1.2,66,-1.0,58,-2.0%,68,-22.3,53,+0.1,33,+3.0%,36,+13.8
Kyrie Irving,24.6,CLE,Point,652,32,+4.2,37,+1.1,30,+1.4%,28,+13.0,6,+2.8,22,+8.2%,5,+69.4,72,-1.3,27,+4.0%,54,-3.2
LeBron James,31.8,CLE,Forward,742,86,-13.3,81,-3.1,84,-2.8%,65,-9.4,83,-1.8,53,-1.4%,80,-44.1,83,-2.3,79,-5.0%,59,-6.9
Richard Jefferson,36.4,CLE,Forward,144,18,+8.7,5,+5.8,44,+0.8%,2,+42.1,15,+2.0,20,+9.5%,9,+50.0,9,+4.2,68,-2.2%,11,+49.1
Brandon Jennings,27.1,WAS,Combo,156,13,+10.0,9,+4.4,28,+1.7%,7,+35.3,15,+2.0,59,-2.6%,6,+69.3,40,+0.6,38,+1.6%,41,+8.1
Amir Johnson,29.5,BOS,Big,127,41,+1.4,96,-5.6,40,+1.2%,92,-35.2,80,-1.7,32,+4.7%,72,-29.6,93,-3.6,82,-6.0%,93,-47.2
Joe Johnson,35.3,UTA,Forward,295,11,+10.5,25,+1.9,70,-1.6%,26,+14.9,56,-0.4,85,-13.8%,59,-13.8,21,+2.4,49,+0.4%,23,+27.6
DeAndre Jordan,28.3,LAC,Big,224,33,+3.4,55,-0.2,21,+2.5%,45,+4.7,72,-1.2,2,+24.2%,94,-81.3,33,+1.0,41,+1.4%,21,+27.9
Cory Joseph,25.2,TOR,Combo,205,43,+0.9,59,-0.4,85,-3.1%,37,+8.0,77,-1.6,96,-28.8%,41,+6.8,39,+0.7,72,-2.9%,37,+13.1
Kyle Korver,35.6,CLE,Wing,312,49,-0.6,46,+0.1,37,+1.3%,58,-5.0,75,-1.4,49,+0.1%,72,-31.7,24,+1.9,44,+1.2%,42,+7.3
David Lee,33.5,SAS,Big,237,71,-5.7,24,+2.3,87,-3.3%,7,+35.0,7,+2.4,81,-11.5%,7,+57.7,49,+0.2,77,-4.6%,29,+20.6
Kawhi Leonard,25.3,SAS,Wing,428,82,-10.0,28,+1.8,98,-5.3%,20,+20.2,27,+0.9,50,-0.1%,19,+34.4,51,+0.1,76,-4.3%,50,+1.2
Damian Lillard,26.3,POR,Point,150,3,+19.9,0,+10.5,3,+4.9%,2,+45.4,0,+4.0,100,-44.8%,4,+70.8,1,+6.9,45,+1.0%,15,+39.3
Shaun Livingston,31.1,GSW,Combo,201,22,+8.0,65,-1.5,91,-3.8%,67,-10.9,52,-0.1,48,+0.1%,34,+13.8,78,-1.6,95,-9.3%,88,-38.1
Robin Lopez,28.6,CHI,Big,161,26,+5.9,98,-6.7,34,+1.4%,93,-45.5,97,-4.0,63,-4.3%,93,-71.9,85,-2.4,7,+9.4%,98,-53.6
Kevin Love,28.2,CLE,Big,576,77,-8.3,76,-2.5,53,+0.2%,68,-12.8,39,+0.4,88,-17.0%,30,+16.7,90,-3.3,18,+6.3%,86,-35.5
Kyle Lowry,30.6,TOR,Point,299,78,-8.4,74,-2.2,5,+4.3%,86,-25.0,31,+0.6,4,+22.9%,81,-46.4,85,-2.6,11,+7.7%,81,-28.3
Shelvin Mack,26.5,UTA,Point,141,37,+2.8,31,+1.4,59,-0.3%,38,+7.7,57,-0.4,7,+18.4%,51,-5.9,26,+1.6,90,-7.1%,38,+10.1
Thon Maker,19.7,MIL,Big,114,55,-2.1,67,-1.5,11,+3.6%,55,-3.1,47,+0.0,11,+16.2%,25,+23.1,76,-1.5,43,+1.3%,64,-11.0
