Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Bennedict Mathurin,21.4,IND,Wing,1512,30,+1.1%,9,+5.2%,67,-1.7%,84,-6.0%,79,-2.8%,56,-1.0%,39,+0.6%,47,+0.1%
Shaedon Sharpe,20.4,POR,Wing,1052,56,-0.3%,64,-1.2%,15,+4.1%,67,-2.7%,26,+2.0%,65,-2.1%,76,-1.8%,78,-1.9%
Dyson Daniels,20.6,NOP,Combo,1253,38,+0.6%,58,-0.5%,22,+2.9%,56,-1.0%,28,+1.8%,73,-3.3%,23,+2.2%,37,+0.7%
Jeremy Sochan,20.5,SAS,Combo,2178,42,+0.4%,24,+2.8%,13,+4.4%,47,+0.3%,18,+3.1%,89,-6.6%,66,-1.1%,84,-2.5%
Johnny Davis,21.7,WAS,Wing,506,35,+0.8%,38,+1.2%,32,+1.9%,88,-7.4%,63,-1.0%,48,+0.1%,25,+1.9%,28,+1.3%
Ousmane Dieng,20.4,OKC,Big,274,90,-2.9%,85,-3.6%,70,-2.1%,31,+2.5%,58,-0.7%,72,-3.3%,80,-2.3%,85,-2.6%
Jalen Williams,22.5,OKC,Wing,2222,64,-0.7%,51,-0.0%,65,-1.5%,36,+1.7%,56,-0.5%,40,+1.0%,79,-2.2%,65,-1.1%
Jalen Duren,20.0,DET,Big,1777,78,-1.6%,72,-2.0%,65,-1.5%,59,-1.4%,69,-1.6%,81,-4.6%,53,-0.2%,68,-1.3%
Ochai Agbaji,23.5,UTA,Wing,956,80,-1.8%,79,-2.7%,72,-2.3%,25,+3.6%,62,-0.9%,54,-0.8%,75,-1.7%,72,-1.5%
Ochai Agbaji,23.5,TOR,Wing,610,68,-0.8%,7,+5.7%,2,+10.0%,53,-0.7%,3,+7.0%,93,-8.9%,97,-5.7%,98,-6.7%
Mark Williams,21.9,CHA,Big,508,80,-1.9%,32,+1.9%,92,-5.5%,9,+7.2%,72,-2.0%,86,-6.2%,60,-0.8%,82,-2.2%
AJ Griffin,20.2,ATL,Forward,128,0,+6.3%,2,+8.8%,46,+0.3%,15,+5.5%,33,+1.4%,57,-1.2%,5,+5.3%,11,+3.5%
Tari Eason,22.5,HOU,Forward,474,99,-6.8%,74,-2.2%,79,-3.1%,17,+5.0%,62,-0.9%,99,-16.3%,98,-7.4%,99,-9.7%
Dalen Terry,21.3,CHI,Wing,624,48,+0.1%,91,-5.0%,78,-3.0%,21,+4.2%,60,-0.8%,12,+6.2%,19,+2.5%,9,+3.7%
Jake LaRavia,22.0,MEM,Wing,766,77,-1.6%,59,-0.5%,51,-0.4%,61,-1.7%,60,-0.8%,83,-4.9%,55,-0.3%,70,-1.4%
Malaki Branham,20.5,SAS,Wing,1527,21,+1.6%,81,-2.9%,7,+5.5%,22,+4.2%,7,+5.0%,63,-1.8%,18,+2.5%,27,+1.4%
Christian Braun,22.5,DEN,Wing,1600,91,-3.0%,98,-8.7%,90,-4.9%,44,+0.6%,84,-3.3%,21,+3.7%,42,+0.4%,31,+1.2%
Walker Kessler,22.3,UTA,Big,1469,83,-2.0%,98,-8.0%,62,-1.3%,9,+7.0%,39,+0.7%,59,-1.4%,43,+0.4%,51,-0.2%
David Roddy,22.6,MEM,Forward,1077,17,+1.9%,18,+3.4%,56,-0.8%,32,+2.4%,46,+0.1%,59,-1.4%,44,+0.3%,50,-0.0%
MarJon Beauchamp,22.1,MIL,Wing,500,45,+0.3%,38,+1.3%,50,-0.2%,28,+2.9%,38,+0.8%,15,+5.1%,89,-3.5%,73,-1.6%
Blake Wesley,20.6,SAS,Combo,784,70,-1.0%,54,-0.2%,36,+1.4%,56,-1.0%,39,+0.7%,44,+0.6%,77,-1.9%,67,-1.3%
Nikola Jovic,20.4,MIA,Big,862,74,-1.3%,25,+2.8%,16,+4.0%,37,+1.5%,16,+3.2%,99,-15.8%,65,-1.1%,97,-5.1%
Patrick Baldwin Jr.,21.0,WAS,Big,405,74,-1.4%,83,-3.2%,19,+3.4%,96,-12.4%,68,-1.4%,50,-0.3%,43,+0.3%,40,+0.6%
Peyton Watson,21.1,DEN,Forward,1448,96,-4.5%,96,-6.7%,78,-3.0%,75,-4.0%,83,-3.1%,39,+1.1%,92,-3.8%,84,-2.5%
Andrew Nembhard,23.8,IND,Combo,1675,84,-2.1%,92,-5.2%,78,-3.0%,46,+0.4%,74,-2.1%,13,+6.0%,52,-0.1%,30,+1.3%
Caleb Houstan,20.8,ORL,Wing,716,78,-1.7%,56,-0.3%,94,-6.3%,54,-0.9%,90,-4.5%,22,+3.6%,87,-3.3%,70,-1.4%
Jaylin Williams,21.3,OKC,Big,840,31,+1.0%,23,+3.0%,40,+1.0%,22,+4.1%,27,+1.9%,39,+1.1%,55,-0.3%,47,+0.1%
