Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
James Thomas,23.9,POR,Big,108,17,9.8%,64,133.3,47,6.2%,75,0.63,5,28.6%
John Thomas,29.1,MIN,Big,498,5,8.3%,76,138.2,36,4.9%,66,0.58,30,20.6%
Kenny Thomas,27.3,PHI,Big,1331,80,16.9%,30,114.3,84,10.1%,68,0.60,70,15.8%
Kenny Thomas,27.3,SAC,Big,816,84,17.5%,59,129.0,94,14.3%,95,0.82,78,14.3%
Kurt Thomas,32.1,NYK,Big,2854,58,14.3%,11,102.5,75,9.0%,75,0.63,93,11.1%
Tim Thomas,27.7,NYK,Forward,1934,72,18.2%,57,122.1,43,9.3%,28,0.51,54,14.7%
Jamaal Tinsley,26.7,IND,Point,1296,96,26.5%,63,121.0,83,35.0%,33,1.32,20,18.1%
Robert Traylor,27.7,CLE,Big,1288,61,14.7%,19,106.6,64,7.4%,56,0.51,63,16.7%
Jake Tsakalidis,25.4,MEM,Big,252,23,10.8%,45,119.6,16,3.4%,20,0.31,68,15.8%
Nikoloz Tskitishvili,21.6,DEN,Big,102,68,15.4%,2,87.1,3,1.8%,1,0.12,11,25.4%
Hedo Turkoglu,25.6,ORL,Wing,1713,86,21.5%,54,122.7,75,15.5%,48,0.72,47,13.9%
Beno Udrih,22.3,SAS,Point,1036,48,19.3%,70,124.6,22,22.7%,13,1.18,33,16.9%
Nick Van Exel,32.9,POR,Combo,1612,70,20.2%,30,104.5,67,23.1%,54,1.15,75,13.0%
Keith Van Horn,29.0,MIL,Forward,815,57,16.7%,52,121.3,28,8.2%,20,0.49,50,14.9%
Keith Van Horn,29.0,DAL,Forward,663,78,19.1%,83,132.8,35,8.9%,15,0.47,76,11.5%
Anderson Varejao,22.1,CLE,Big,792,16,9.7%,78,140.2,30,4.6%,49,0.47,89,11.7%
