Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray McCallum,24.4,SAS,Combo,155,86,+4.5,60,+0.3,6,-3.0%,92,+12.5,67,+0.3,9,-8.0%,91,+21.8,50,-0.0,7,-5.9%,63,+4.4
Ray McCallum,24.4,MEM,Combo,216,46,-0.9,16,-1.2,55,+0.1%,16,-8.8,1,-2.1,1,-18.3%,1,-42.3,96,+1.8,22,-2.7%,96,+22.0
CJ McCollum,24.1,POR,Combo,2756,62,+0.9,26,-0.8,47,-0.1%,31,-4.3,49,-0.0,7,-9.4%,32,-7.0,13,-1.1,59,+0.7%,26,-8.0
TJ McConnell,23.6,PHI,Point,1548,77,+2.9,36,-0.6,21,-1.4%,21,-7.4,15,-0.8,61,+1.6%,7,-24.3,56,+0.1,10,-4.9%,51,+0.6
Chris McCullough,20.7,BKN,Big,334,60,+0.7,99,+3.4,97,+3.4%,98,+22.3,99,+2.4,99,+16.2%,95,+26.6,77,+0.7,92,+5.0%,83,+11.0
KJ McDaniels,22.7,HOU,Wing,189,98,+9.5,89,+1.6,77,+1.1%,66,+3.7,95,+1.2,60,+1.2%,74,+9.1,65,+0.4,24,-2.6%,54,+1.2
Doug McDermott,23.8,CHI,Wing,1801,37,-1.7,70,+0.6,41,-0.4%,57,+1.5,19,-0.6,45,-1.0%,15,-17.4,88,+1.2,61,+1.0%,78,+9.1
JaVale McGee,27.8,DAL,Big,345,8,-7.0,24,-0.9,68,+0.7%,13,-10.3,62,+0.2,99,+17.0%,50,+0.1,14,-1.0,55,-0.0%,10,-15.1
Ben McLemore,22.7,SAC,Wing,1415,74,+2.4,77,+0.8,90,+2.1%,67,+3.8,58,+0.1,60,+1.4%,61,+4.6,79,+0.8,93,+5.3%,63,+4.4
Josh McRoberts,28.7,MIA,Big,553,45,-0.9,22,-1.0,31,-0.9%,15,-9.0,28,-0.4,28,-3.7%,34,-5.5,23,-0.7,26,-2.4%,14,-12.5
Salah Mejri,29.4,DAL,Big,352,92,+6.2,94,+2.0,39,-0.5%,98,+22.6,64,+0.2,15,-6.4%,79,+11.4,97,+1.9,43,-0.8%,99,+31.6
Khris Middleton,24.2,MIL,Wing,2849,97,+9.2,94,+2.0,78,+1.2%,94,+14.3,98,+1.8,71,+3.6%,91,+21.8,59,+0.2,34,-1.6%,67,+5.4
CJ Miles,28.6,IND,Wing,1442,57,+0.1,84,+1.3,86,+1.8%,73,+5.9,96,+1.4,91,+9.6%,86,+16.5,48,-0.1,93,+5.2%,46,-1.3
Andre Miller,39.6,MIN,Point,271,94,+7.3,20,-1.0,1,-4.3%,23,-6.8,3,-1.5,17,-6.1%,1,-42.6,70,+0.5,1,-9.1%,88,+13.5
Andre Miller,39.6,SAS,Point,166,94,+7.1,75,+0.8,62,+0.4%,89,+11.4,21,-0.6,26,-4.2%,14,-18.6,89,+1.3,73,+2.2%,98,+27.6
Mike Miller,35.7,DEN,Forward,351,3,-10.7,1,-4.0,23,-1.3%,2,-27.4,17,-0.7,80,+5.3%,27,-10.3,1,-3.6,26,-2.4%,1,-46.0
Patty Mills,27.2,SAS,Combo,1610,74,+2.5,66,+0.5,86,+1.8%,63,+2.7,49,-0.0,76,+4.5%,53,+1.9,76,+0.7,91,+4.9%,71,+6.3
Elijah Millsap,28.2,UTA,Forward,155,50,-0.6,37,-0.6,47,-0.1%,39,-2.3,2,-1.7,0,-29.6%,2,-37.9,89,+1.2,94,+5.8%,96,+22.2
Paul Millsap,30.7,ATL,Big,2635,80,+3.4,72,+0.7,29,-0.9%,75,+6.4,56,+0.1,10,-7.5%,69,+7.1,73,+0.6,50,-0.3%,74,+7.3
Nikola Mirotic,24.7,CHI,Forward,1630,85,+4.2,46,-0.2,71,+0.9%,32,-4.2,42,-0.1,72,+3.6%,27,-10.3,47,-0.1,75,+2.3%,41,-2.9
Greg Monroe,25.4,MIL,Big,2311,93,+7.0,92,+1.9,46,-0.2%,95,+15.2,92,+1.0,68,+3.1%,75,+9.5,87,+1.2,23,-2.7%,92,+16.8
E'Twaun Moore,26.7,CHI,Combo,1220,68,+1.7,45,-0.3,51,-0.0%,46,-0.7,52,+0.0,17,-6.1%,56,+3.2,48,-0.1,64,+1.2%,52,+0.7
Marcus Morris,26.2,DET,Wing,2846,81,+3.6,28,-0.8,45,-0.2%,33,-4.1,24,-0.5,33,-3.0%,6,-25.4,31,-0.5,44,-0.8%,48,-0.3
Markieff Morris,26.2,PHX,Big,906,24,-3.5,91,+1.8,18,-1.7%,94,+15.2,56,+0.1,62,+1.6%,40,-3.7,97,+1.9,15,-4.0%,98,+26.0
Markieff Morris,26.2,WAS,Big,703,62,+1.0,56,+0.1,11,-2.4%,41,-1.9,43,-0.1,34,-3.0%,34,-5.4,74,+0.6,12,-4.6%,58,+2.5
Anthony Morrow,30.1,OKC,Wing,802,71,+2.0,18,-1.1,25,-1.2%,20,-7.5,39,-0.2,18,-5.8%,46,-1.7,24,-0.7,67,+1.6%,28,-7.0
Donatas Motiejunas,25.1,HOU,Big,540,45,-0.9,27,-0.8,72,+0.9%,36,-3.6,50,+0.0,83,+6.5%,63,+5.1,18,-0.9,50,-0.4%,23,-9.2
Timofey Mozgov,29.3,CLE,Big,1279,7,-7.5,6,-2.0,87,+1.9%,5,-17.1,18,-0.7,88,+8.1%,18,-15.5,14,-1.1,89,+4.3%,15,-12.3
Emmanuel Mudiay,19.7,DEN,Combo,2047,66,+1.4,75,+0.8,97,+3.6%,45,-1.4,71,+0.4,98,+15.0%,26,-10.7,70,+0.5,89,+4.3%,58,+2.6
Shabazz Muhammad,23.0,MIN,Wing,1595,21,-4.3,53,+0.0,45,-0.3%,50,-0.1,83,+0.6,53,+0.2%,87,+17.6,24,-0.7,65,+1.3%,22,-9.8
Xavier Munford,23.4,MEM,Combo,221,76,+2.7,99,+3.6,34,-0.8%,99,+33.0,90,+0.9,87,+7.8%,83,+14.3,99,+2.7,5,-6.7%,99,+39.9
Mike Muscala,24.3,ATL,Big,470,24,-3.5,17,-1.1,23,-1.3%,25,-6.2,34,-0.3,52,+0.1%,23,-11.7,25,-0.7,11,-4.7%,37,-4.2
Larry Nance Jr.,22.8,LAL,Forward,1252,83,+3.8,90,+1.7,51,-0.0%,91,+11.9,50,+0.0,58,+0.9%,25,-11.2,93,+1.5,21,-3.0%,94,+19.1
Shabazz Napier,24.3,ORL,Point,505,43,-1.2,6,-2.0,25,-1.1%,9,-12.3,14,-0.8,43,-1.4%,28,-10.1,13,-1.1,52,-0.2%,23,-9.6
