Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Jimmy Butler,35.1,GSW,Forward,436,9,0.4%,74,1.7%,91,2.1%,87,6.3%,48,12.2%,0,0.0%,48,17.9%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,71,0.9%,79,1.7%,50,3.4%,17,1.5%,50,9.6%,0,0.0%,50,10.0%
Wendell Carter,25.5,ORL,Big,188,29,1.1%,12,0.5%,53,3.4%,82,12.6%,85,20.9%,0,0.0%,29,14.3%
Alex Caruso,30.7,OKC,Forward,561,70,1.2%,100,3.4%,13,4.5%,35,3.0%,22,7.9%,0,0.0%,30,11.1%
Mike Conley,37.1,MIN,Point,356,50,0.4%,36,1.1%,79,2.6%,86,3.3%,50,9.2%,100,5.0%,0,0.0%
Cade Cunningham,23.1,DET,Combo,247,100,1.7%,68,1.9%,68,2.6%,37,2.6%,89,15.8%,0,0.0%,100,37.5%
Stephen Curry,36.6,GSW,Point,318,79,1.0%,50,1.3%,93,1.8%,0,0.6%,100,16.3%,0,0.0%,0,0.0%
Donte DiVincenzo,27.8,MIN,Combo,369,42,0.6%,84,2.4%,21,4.1%,58,3.1%,32,10.1%,79,4.0%,47,5.3%
Luka Doncic,25.7,LAL,Point,207,71,0.7%,43,1.1%,14,3.6%,21,1.1%,93,15.1%,0,0.0%,71,6.7%
Luguentz Dort,25.5,OKC,Wing,665,54,0.8%,83,1.9%,21,4.8%,75,4.7%,38,8.4%,0,0.0%,38,3.8%
Kris Dunn,30.6,LAC,Combo,151,84,1.4%,95,2.5%,0,5.6%,89,7.5%,42,10.3%,0,0.0%,0,0.0%
Jalen Duren,21.0,DET,Big,203,82,2.6%,9,0.4%,12,5.0%,88,13.0%,59,17.9%,0,0.0%,56,25.0%
Tari Eason,23.5,HOU,Forward,131,96,2.7%,96,2.7%,39,3.8%,83,6.0%,65,13.5%,0,0.0%,100,55.6%
Zach Edey,22.6,MEM,Big,172,91,3.4%,0,0.0%,56,3.3%,91,13.3%,71,19.5%,0,0.0%,29,14.3%
Anthony Edwards,23.2,MIN,Combo,584,68,1.0%,42,1.3%,95,2.2%,53,3.0%,100,17.5%,63,2.9%,42,3.4%
Dorian Finney-Smith,31.5,LAL,Forward,169,30,0.6%,0,0.3%,17,4.4%,91,6.4%,0,5.6%,0,0.0%,13,9.1%
Darius Garland,24.8,CLE,Point,147,0,0.0%,7,0.6%,7,4.4%,14,0.7%,43,8.5%,0,0.0%,0,0.0%
Shai Gilgeous-Alexander,26.3,OKC,Point,849,93,1.2%,86,1.9%,57,3.0%,50,2.5%,71,11.4%,86,2.4%,79,10.0%
Rudy Gobert,32.4,MIN,Big,411,79,2.3%,26,0.8%,47,3.6%,79,11.1%,68,19.0%,65,3.6%,94,38.5%
Aaron Gordon,29.1,DEN,Big,521,6,0.5%,18,0.7%,74,2.5%,71,10.1%,12,11.0%,71,4.0%,9,2.7%
AJ Green,25.1,MIL,Wing,134,25,0.4%,0,0.0%,33,4.4%,21,1.6%,42,8.9%,0,0.0%,0,0.0%
Draymond Green,34.7,GSW,Big,418,47,1.5%,94,2.2%,9,5.0%,0,2.2%,41,15.1%,79,5.9%,15,9.1%
Jalen Green,22.7,HOU,Wing,214,42,0.5%,13,0.8%,100,1.0%,13,1.5%,83,14.8%,0,0.0%,0,0.0%
Rui Hachimura,26.7,LAL,Forward,182,43,0.8%,13,0.8%,52,3.2%,13,2.4%,30,9.1%,0,0.0%,35,12.5%
Tyrese Haliburton,24.7,IND,Combo,770,63,1.0%,58,1.7%,100,2.1%,0,0.9%,84,14.3%,68,3.0%,74,15.7%
Tim Hardaway Jr.,32.6,DET,Forward,188,0,0.0%,9,0.5%,100,1.8%,4,1.1%,13,7.4%,0,0.0%,13,9.1%
James Harden,35.2,LAC,Point,275,100,1.3%,57,1.5%,71,2.7%,36,1.6%,79,12.4%,0,0.0%,100,21.4%
Tobias Harris,32.3,DET,Forward,232,83,1.5%,35,1.1%,61,3.0%,61,3.5%,91,16.4%,0,0.0%,9,5.9%
Josh Hart,29.7,NYK,Wing,641,67,0.8%,67,1.4%,38,3.9%,96,7.1%,100,18.2%,75,2.2%,67,17.9%
Isaiah Hartenstein,26.5,OKC,Big,515,32,1.2%,71,1.6%,26,4.3%,76,10.9%,74,19.6%,94,12.5%,88,35.7%
Sam Hauser,26.9,BOS,Forward,106,17,0.5%,4,0.5%,9,4.5%,0,0.0%,35,9.9%,0,0.0%,0,0.0%
Tyler Herro,24.8,MIA,Combo,225,0,0.0%,5,0.6%,58,3.0%,11,1.0%,74,11.6%,0,0.0%,79,16.7%
Buddy Hield,31.9,GSW,Wing,338,63,0.8%,88,1.9%,71,3.0%,83,5.3%,33,8.1%,0,0.0%,0,0.0%
Haywood Highsmith,27.9,MIA,Forward,139,61,1.1%,61,1.7%,4,4.6%,74,4.8%,52,12.5%,0,0.0%,78,33.3%
Jrue Holiday,34.4,BOS,Combo,263,11,0.2%,32,1.2%,11,4.3%,79,4.1%,5,7.2%,95,8.3%,58,7.7%
Chet Holmgren,22.5,OKC,Big,684,88,3.2%,47,1.1%,65,2.8%,47,6.0%,79,20.8%,62,3.1%,65,28.2%
Al Horford,38.4,BOS,Big,347,74,2.1%,35,0.9%,38,3.8%,41,5.3%,21,12.9%,0,0.0%,47,17.4%
DeAndre Hunter,26.9,CLE,Forward,185,4,0.3%,26,0.9%,43,3.7%,57,3.5%,43,11.6%,0,0.0%,70,25.0%
Jaren Jackson,25.1,MEM,Big,211,15,0.7%,41,1.0%,35,3.9%,21,4.5%,6,8.7%,97,14.3%,56,25.0%
LeBron James,39.8,LAL,Big,203,76,2.3%,100,2.3%,88,1.9%,50,6.6%,44,15.4%,0,0.0%,50,20.0%
Ty Jerome,27.3,CLE,Combo,186,26,0.3%,21,1.2%,37,3.5%,47,2.8%,26,10.1%,0,0.0%,0,0.0%
Isaiah Joe,25.3,OKC,Wing,167,21,0.3%,25,1.0%,79,2.4%,54,3.9%,29,8.0%,0,0.0%,58,11.8%
Nikola Jokic,29.7,DEN,Big,562,26,1.1%,91,2.2%,62,2.9%,38,5.3%,94,25.1%,0,0.0%,68,30.3%
Derrick Jones Jr.,27.7,LAC,Big,128,97,3.8%,62,1.4%,100,1.1%,9,4.2%,0,5.9%,0,0.0%,24,12.5%
Cory Joseph,33.2,ORL,Point,142,86,1.1%,64,1.6%,36,3.5%,7,0.7%,14,5.4%,0,0.0%,86,11.1%
Luke Kornet,29.3,BOS,Big,180,100,3.8%,68,1.5%,18,4.6%,65,9.8%,35,14.4%,0,0.0%,0,0.0%
Jonathan Kuminga,22.1,GSW,Forward,184,65,1.2%,30,1.0%,57,3.1%,48,3.4%,9,6.6%,91,6.7%,52,18.2%
Kawhi Leonard,33.3,LAC,Forward,264,57,1.0%,43,1.4%,96,2.0%,65,4.3%,83,15.1%,87,5.3%,91,42.9%
Kevon Looney,28.7,GSW,Big,128,50,1.6%,79,1.7%,0,9.5%,94,13.8%,88,21.3%,0,0.0%,0,0.0%
Bennedict Mathurin,22.4,IND,Wing,369,58,0.8%,17,0.8%,29,4.4%,100,7.6%,67,11.5%,79,3.8%,42,8.7%
Miles McBride,24.1,NYK,Combo,334,32,0.3%,16,0.9%,63,2.6%,5,0.9%,0,5.6%,0,0.0%,0,0.0%
TJ McConnell,32.6,IND,Point,385,21,0.3%,100,2.0%,64,2.8%,93,3.6%,86,14.8%,0,0.0%,93,18.5%
Jaden McDaniels,24.1,MIN,Forward,494,78,1.4%,65,1.7%,26,4.2%,78,5.9%,39,10.8%,0,0.0%,39,15.4%
Sam Merrill,28.5,CLE,Wing,159,46,0.7%,33,1.1%,17,4.9%,63,4.3%,46,9.0%,0,0.0%,0,0.0%
Davion Mitchell,26.2,MIA,Point,209,57,0.5%,14,0.9%,29,3.5%,57,2.6%,0,4.8%,0,0.0%,0,0.0%
Donovan Mitchell,28.2,CLE,Combo,288,47,0.6%,89,2.5%,79,2.3%,63,3.4%,79,12.1%,84,4.5%,0,0.0%
Evan Mobley,23.4,CLE,Big,257,59,1.7%,65,1.5%,94,1.5%,56,7.3%,62,18.2%,91,11.1%,76,33.3%
Moses Moody,22.4,GSW,Wing,214,83,1.0%,71,1.4%,75,2.8%,38,3.4%,4,6.7%,83,5.6%,96,30.8%
Ja Morant,25.2,MEM,Point,149,64,0.6%,71,1.6%,100,1.1%,71,3.1%,29,6.9%,0,0.0%,0,0.0%
Jamal Murray,27.7,DEN,Combo,578,58,1.0%,47,1.3%,89,2.3%,16,1.5%,37,10.1%,74,3.4%,37,2.6%
Andrew Nembhard,24.8,IND,Combo,762,37,0.3%,74,1.9%,47,3.4%,21,1.9%,16,7.4%,58,2.3%,53,7.5%
Aaron Nesmith,25.0,IND,Wing,649,92,1.4%,58,1.4%,8,6.2%,58,4.0%,79,14.3%,96,10.7%,75,23.4%
Gary Payton II,31.9,GSW,Wing,199,13,0.3%,96,2.5%,25,4.8%,71,4.7%,13,7.4%,88,10.0%,71,22.2%
Scotty Pippen,24.0,MEM,Combo,189,16,0.3%,53,1.3%,5,5.6%,42,2.6%,63,11.2%,0,0.0%,89,20.0%
Brandin Podziemski,21.7,GSW,Combo,412,21,0.3%,63,1.9%,84,2.3%,74,3.9%,58,11.1%,100,10.0%,84,17.2%
Kevin Porter,24.5,MIL,Combo,148,0,0.0%,26,1.2%,53,3.3%,26,2.0%,53,10.4%,0,0.0%,0,0.0%
Michael Porter,26.3,DEN,Forward,435,35,0.7%,17,0.9%,74,2.5%,39,3.3%,70,14.1%,0,0.0%,65,21.7%
Bobby Portis,29.7,MIL,Big,158,12,0.6%,15,0.6%,82,2.2%,26,5.0%,65,18.4%,0,0.0%,100,66.7%
Kristaps Porzingis,29.3,BOS,Big,230,71,2.0%,82,2.0%,24,4.3%,68,10.1%,15,11.8%,0,0.0%,38,15.8%
Quinten Post,24.6,GSW,Big,162,18,1.0%,50,1.1%,6,6.1%,12,4.3%,38,14.6%,0,0.0%,29,14.3%
Norman Powell,31.4,LAC,Wing,237,38,0.4%,75,1.6%,67,3.0%,0,0.5%,21,7.6%,0,0.0%,0,0.0%
Payton Pritchard,26.8,BOS,Point,298,0,0.0%,21,0.9%,50,3.0%,79,3.2%,7,5.2%,0,0.0%,50,3.8%
Julius Randle,29.9,MIN,Big,527,0,0.2%,44,1.0%,68,2.7%,29,5.1%,9,10.5%,85,7.7%,71,30.8%
Austin Reaves,26.4,LAL,Combo,196,53,0.8%,0,0.2%,26,3.9%,32,2.3%,47,10.3%,0,0.0%,68,14.3%
Naz Reid,25.2,MIN,Big,367,62,1.9%,59,1.3%,15,4.7%,15,4.3%,32,14.4%,74,4.8%,85,35.3%
Mitchell Robinson,26.6,NYK,Big,369,68,2.0%,85,2.0%,21,4.4%,100,18.9%,50,16.1%,59,2.8%,24,12.5%
Dennis Schroder,31.1,DET,Point,164,29,0.3%,93,1.9%,43,3.0%,64,2.9%,21,6.3%,0,0.0%,0,0.0%
Alperen Sengun,22.3,HOU,Big,252,9,0.6%,97,2.3%,32,4.0%,53,7.3%,91,22.5%,97,14.3%,76,33.3%
Ben Sheppard,23.3,IND,Wing,261,8,0.2%,46,1.2%,13,5.6%,33,2.9%,17,7.6%,0,0.0%,100,31.8%
Pascal Siakam,30.6,IND,Big,768,24,1.0%,76,1.6%,44,3.6%,6,4.2%,26,14.1%,56,2.3%,18,10.9%
Jabari Smith Jr.,21.5,HOU,Big,138,65,1.9%,6,0.3%,91,1.8%,15,4.3%,24,14.0%,82,6.3%,41,16.7%
Max Strus,28.6,CLE,Wing,252,33,0.4%,29,1.0%,42,3.5%,88,6.3%,96,16.5%,0,0.0%,0,0.0%
Jayson Tatum,26.7,BOS,Forward,321,52,1.0%,91,2.4%,65,2.7%,30,3.0%,100,22.1%,0,0.0%,96,50.0%
Amen Thompson,21.8,HOU,Combo,227,79,1.4%,79,2.3%,42,3.4%,95,8.2%,68,11.3%,89,5.6%,95,28.6%
Ausar Thompson,21.8,DET,Wing,134,100,1.9%,92,2.2%,4,7.4%,92,6.4%,88,15.3%,0,0.0%,83,25.0%
Obi Toppin,26.7,IND,Forward,429,48,0.8%,48,1.5%,30,4.1%,52,3.4%,87,16.1%,0,0.0%,74,32.3%
Karl-Anthony Towns,29.0,NYK,Big,639,21,1.0%,32,0.9%,29,4.2%,44,5.7%,97,26.6%,76,5.7%,97,45.2%
Gary Trent Jr.,25.8,MIL,Wing,170,0,0.0%,100,3.4%,83,2.4%,4,0.6%,0,6.2%,0,0.0%,0,0.0%
Myles Turner,28.6,IND,Big,671,94,3.4%,24,0.8%,41,3.8%,24,4.6%,18,12.3%,68,3.8%,12,6.7%
Fred VanVleet,30.7,HOU,Point,276,36,0.4%,29,1.1%,86,2.2%,29,1.1%,57,9.3%,0,0.0%,0,0.0%
Dean Wade,27.9,CLE,Forward,137,13,0.4%,22,0.9%,83,2.5%,100,7.6%,96,21.2%,0,0.0%,43,16.7%
Franz Wagner,23.2,ORL,Forward,228,39,0.7%,52,1.6%,35,4.0%,9,1.3%,78,14.9%,96,7.7%,78,33.3%
Cason Wallace,21.0,OKC,Combo,514,74,1.0%,100,2.6%,16,4.2%,84,4.5%,11,7.2%,0,0.0%,32,2.5%
Peyton Watson,22.1,DEN,Forward,179,91,1.9%,87,2.4%,22,4.2%,96,6.6%,61,12.7%,0,0.0%,87,37.5%
Russell Westbrook,36.0,DEN,Point,312,14,0.2%,79,1.6%,0,5.1%,100,5.6%,64,9.6%,93,4.3%,57,4.5%
Derrick White,30.3,BOS,Combo,415,89,1.5%,11,0.8%,74,2.5%,68,3.6%,21,9.9%,0,0.0%,63,9.1%
Aaron Wiggins,25.8,OKC,Wing,276,88,1.1%,54,1.3%,63,3.1%,67,4.6%,63,11.0%,0,0.0%,79,23.5%
Andrew Wiggins,29.7,MIA,Wing,200,96,1.8%,4,0.7%,96,2.3%,50,3.8%,58,10.8%,0,0.0%,88,28.6%
Jalen Williams,23.6,OKC,Forward,795,26,0.6%,70,1.7%,78,2.5%,22,2.8%,57,12.7%,83,5.1%,22,10.0%
Ivica Zubac,27.6,LAC,Big,255,44,1.4%,38,0.9%,59,3.2%,85,12.6%,56,17.3%,0,0.0%,56,25.0%
