Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Tim Duncan,34.5,SAS,Big,211,0,62.5%,26,10.4%,33,1.1%,0,0.0%
Kevin Durant,22.1,OKC,Forward,721,50,83.8%,58,14.4%,100,3.7%,42,14.3%
Raymond Felton,26.3,DEN,Combo,151,0,81.8%,67,12.7%,78,2.7%,56,14.3%
Derek Fisher,36.2,LAL,Point,324,0,84.2%,32,7.0%,32,1.3%,53,20.0%
Danilo Gallinari,22.2,DEN,Forward,147,0,71.4%,67,15.4%,83,2.9%,0,0.0%
Kevin Garnett,34.5,BOS,Big,327,50,75.9%,16,8.7%,49,1.6%,0,0.0%
Marc Gasol,25.8,MEM,Big,515,33,69.0%,79,18.9%,88,3.2%,79,22.6%
Pau Gasol,30.3,LAL,Big,354,61,80.0%,58,15.0%,58,1.8%,44,15.8%
Paul George,20.5,IND,Forward,129,0,87.5%,42,11.4%,8,0.7%,0,0.0%
Taj Gibson,25.4,CHI,Big,272,0,60.0%,28,11.0%,40,1.2%,93,37.5%
Manu Ginobili,33.3,SAS,Wing,173,13,78.0%,94,16.7%,100,4.3%,65,23.1%
Danny Granger,27.5,IND,Wing,183,0,87.5%,24,5.4%,26,0.7%,88,40.0%
Jeff Green,24.2,BOS,Forward,168,0,72.2%,92,16.4%,58,1.7%,67,22.2%
Tyler Hansbrough,25.0,IND,Big,164,0,88.9%,53,14.7%,63,1.9%,67,20.0%
James Harden,21.2,OKC,Wing,534,50,82.5%,100,21.3%,65,1.6%,41,13.9%
Udonis Haslem,30.4,MIA,Big,286,0,90.0%,14,8.3%,5,0.7%,91,33.3%
Brendan Haywood,30.9,DAL,Big,273,0,48.8%,100,42.9%,7,0.7%,40,14.3%
Roy Hibbert,23.9,IND,Big,128,0,68.8%,60,15.7%,86,3.1%,35,12.5%
Nene Hilario,28.1,DEN,Big,161,6,56.3%,95,33.3%,72,2.5%,65,19.0%
George Hill,24.5,SAS,Combo,188,100,86.7%,67,12.7%,100,4.5%,56,14.3%
Kirk Hinrich,29.8,ATL,Point,173,0,100.0%,0,0.0%,11,1.1%,89,0.0%
Jrue Holiday,20.4,PHI,Combo,186,0,80.0%,33,7.9%,22,1.3%,0,0.0%
Al Horford,24.4,ATL,Big,466,56,76.9%,5,5.5%,77,2.6%,0,0.0%
Dwight Howard,24.9,ORL,Big,257,22,68.2%,98,36.9%,100,5.8%,81,24.4%
Serge Ibaka,21.1,OKC,Big,490,83,82.5%,35,11.2%,2,0.6%,33,11.1%
Andre Iguodala,26.8,PHI,Wing,181,0,71.4%,76,11.9%,53,1.3%,0,0.0%
Zydrunas Ilgauskas,35.4,MIA,Big,103,0,66.7%,21,9.1%,16,0.9%,0,0.0%
Jarrett Jack,27.0,NOP,Combo,111,0,68.8%,89,12.8%,67,2.3%,0,0.0%
LeBron James,25.8,MIA,Forward,918,25,76.3%,75,15.8%,92,3.0%,92,28.8%
Richard Jefferson,30.4,SAS,Forward,175,0,81.8%,50,14.3%,0,0.5%,50,20.0%
Joe Johnson,29.3,ATL,Wing,494,25,81.0%,47,7.7%,79,2.0%,68,25.0%
James Jones,30.1,MIA,Wing,267,0,100.0%,9,2.0%,41,0.9%,0,0.0%
Jason Kidd,37.6,DAL,Point,742,57,80.0%,16,2.5%,47,1.6%,68,25.0%
Kyle Korver,29.6,CHI,Wing,264,0,100.0%,3,1.0%,47,1.0%,0,0.0%
Carl Landry,27.1,NOP,Big,212,94,91.7%,84,20.0%,70,2.4%,84,25.0%
Ty Lawson,23.0,DEN,Point,166,0,91.3%,53,10.7%,74,2.5%,0,0.0%
Shawn Marion,32.5,DAL,Forward,688,75,85.1%,33,9.1%,33,1.3%,75,22.7%
Kenyon Martin,32.8,DEN,Big,147,0,61.1%,37,12.3%,21,0.9%,0,0.0%
Wesley Matthews,24.0,POR,Wing,202,0,84.2%,91,13.8%,44,1.0%,38,11.1%
Eric Maynor,23.4,OKC,Point,212,0,78.9%,63,12.7%,5,0.2%,26,10.0%
O.J. Mayo,23.0,MEM,Combo,359,25,79.3%,44,8.1%,0,0.6%,100,36.4%
Antonio McDyess,36.2,SAS,Big,144,0,57.1%,0,0.0%,81,3.0%,100,0.0%
Jodie Meeks,23.2,PHI,Wing,122,0,83.3%,32,6.1%,18,0.4%,0,0.0%
Andre Miller,34.6,POR,Point,193,0,79.2%,58,11.0%,68,2.4%,32,12.5%
Mike Miller,30.7,MIA,Wing,210,0,0.0%,0,0.0%,9,0.2%,100,0.0%
Nazr Mohammed,33.2,OKC,Big,139,0,40.0%,30,11.1%,65,2.0%,0,0.0%
Gary Neal,26.1,SAS,Wing,106,0,100.0%,21,4.3%,38,0.8%,0,0.0%
Jameer Nelson,28.7,ORL,Point,216,0,78.6%,21,6.1%,89,3.1%,0,0.0%
Joakim Noah,25.7,CHI,Big,526,44,71.4%,70,16.9%,28,1.1%,49,16.7%
Dirk Nowitzki,32.4,DAL,Big,824,100,94.1%,44,13.8%,98,4.1%,47,16.1%
Jermaine O'Neal,32.1,BOS,Big,196,0,90.9%,56,14.9%,9,0.7%,95,42.9%
Lamar Odom,31.0,LAL,Big,284,28,68.6%,72,17.3%,23,1.0%,88,26.3%
Emeka Okafor,28.1,NOP,Big,187,0,36.4%,67,16.7%,14,0.8%,49,16.7%
Zaza Pachulia,26.7,ATL,Big,193,0,77.3%,88,23.3%,93,3.5%,0,0.0%
Tony Parker,28.5,SAS,Point,220,29,75.6%,74,13.2%,84,2.6%,21,7.1%
Chris Paul,25.5,NOP,Point,249,43,79.6%,100,16.1%,100,4.6%,37,14.3%
Kendrick Perkins,26.0,OKC,Big,478,11,57.6%,65,16.4%,51,1.6%,84,25.0%
Paul Pierce,33.1,BOS,Wing,342,100,88.2%,65,10.1%,76,1.8%,79,31.3%
Zach Randolph,29.3,MEM,Big,515,78,82.1%,51,14.4%,91,3.5%,30,10.8%
JJ Redick,26.4,ORL,Wing,116,0,75.0%,62,9.3%,82,2.0%,68,25.0%
Jason Richardson,29.8,ORL,Wing,153,0,100.0%,44,7.3%,0,0.0%,0,0.0%
Rajon Rondo,24.7,BOS,Point,344,0,61.1%,68,13.0%,63,2.4%,79,26.7%
Derrick Rose,22.1,CHI,Point,648,71,82.8%,84,15.1%,37,1.4%,47,19.0%
Brandon Roy,26.3,POR,Wing,137,0,61.5%,59,8.9%,91,2.9%,97,50.0%
Thabo Sefolosha,26.5,OKC,Wing,344,0,100.0%,41,7.0%,12,0.3%,50,20.0%
Josh Smith,24.9,ATL,Forward,436,0,59.7%,100,16.8%,67,1.8%,58,21.2%
DeShawn Stevenson,29.6,DAL,Wing,326,0,75.0%,29,5.7%,29,0.8%,0,0.0%
Peja Stojakovic,33.4,DAL,Wing,348,0,77.8%,18,3.3%,3,0.1%,0,0.0%
Amar'e Stoudemire,28.0,NYK,Big,133,0,66.7%,77,18.5%,53,1.6%,49,16.7%
Jeff Teague,22.4,ATL,Point,228,0,82.4%,79,13.5%,16,1.1%,84,30.0%
Jason Terry,33.1,DAL,Wing,682,75,84.3%,53,8.3%,88,2.2%,35,4.2%
Hedo Turkoglu,31.6,ORL,Wing,209,0,57.1%,26,5.6%,68,1.6%,0,0.0%
Greivis Vasquez,23.8,MEM,Wing,129,0,72.7%,82,12.2%,85,2.1%,50,20.0%
Dwyane Wade,28.8,MIA,Wing,825,0,77.7%,97,19.5%,59,1.5%,47,17.4%
Gerald Wallace,28.3,POR,Forward,225,100,86.7%,83,16.3%,75,2.0%,0,0.0%
CJ Watson,26.5,CHI,Point,122,0,88.9%,37,7.1%,95,3.2%,68,25.0%
Delonte West,27.3,BOS,Combo,166,0,80.0%,11,6.0%,44,1.8%,0,0.0%
Russell Westbrook,22.0,OKC,Point,637,100,85.0%,89,15.3%,79,2.5%,42,18.3%
Lou Williams,24.0,PHI,Point,126,0,73.7%,95,15.5%,58,2.3%,63,22.2%
Marvin Williams,24.4,ATL,Forward,200,0,75.0%,17,5.8%,17,1.0%,0,0.0%
Metta World Peace,31.0,LAL,Wing,284,0,73.7%,79,11.9%,56,1.3%,76,30.0%
Sam Young,25.4,MEM,Wing,245,0,60.0%,32,6.1%,6,0.2%,44,16.7%
Thaddeus Young,22.4,PHI,Big,123,0,63.6%,12,8.2%,60,1.9%,67,20.0%
