Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Andrea Bargnani,26.0,TOR,Forward,1030,31,0.8%,6,0.8%,96,1.7%,23,2.6%,60,14.3%,56,2.7%,79,24.6%
Matt Barnes,31.6,LAL,Wing,1429,96,1.6%,27,1.1%,6,4.7%,99,7.5%,97,16.1%,88,3.6%,90,23.2%
Brandon Bass,26.5,BOS,Big,1850,40,1.6%,25,0.9%,86,3.1%,14,5.8%,22,13.9%,70,5.1%,40,25.6%
Tony Battie,35.7,PHI,Big,286,25,1.2%,11,0.7%,50,4.4%,2,2.5%,78,20.0%,92,10.0%,14,18.2%
Shane Battier,33.1,MIA,Wing,1451,94,1.2%,86,2.0%,41,3.2%,84,4.1%,9,6.6%,62,1.2%,49,9.6%
Nicolas Batum,22.9,POR,Wing,1747,97,1.9%,59,1.5%,72,2.4%,90,4.9%,72,11.3%,0,0.0%,67,13.7%
Jerryd Bayless,23.2,TOR,Combo,684,42,0.3%,58,1.6%,13,4.2%,27,1.2%,67,9.2%,91,2.8%,78,7.3%
Michael Beasley,22.8,MIN,Forward,1043,52,0.9%,2,0.8%,65,2.8%,35,3.8%,75,15.0%,0,0.0%,60,19.1%
Rodrigue Beaubois,23.7,DAL,Combo,1069,96,1.2%,87,2.2%,33,3.7%,53,1.8%,89,11.3%,0,0.0%,40,1.8%
Marco Belinelli,25.6,NOP,Combo,1944,13,0.1%,18,1.1%,73,2.7%,22,1.1%,42,8.1%,0,0.0%,73,6.0%
Raja Bell,35.1,UTA,Wing,794,9,0.1%,8,0.8%,9,4.5%,5,0.8%,4,6.1%,0,0.0%,17,3.8%
Mike Bibby,33.5,NYK,Point,522,61,0.3%,59,1.8%,34,3.7%,14,1.0%,88,11.2%,0,0.0%,50,2.9%
Andris Biedrins,25.6,GSW,Big,737,81,3.2%,73,1.5%,4,7.7%,23,6.6%,63,18.0%,0,0.0%,47,27.8%
Chauncey Billups,35.1,LAC,Combo,605,33,0.3%,4,0.7%,84,2.5%,2,0.7%,47,8.3%,0,0.0%,0,0.0%
Bismack Biyombo,19.2,CHA,Big,1377,95,4.2%,7,0.6%,56,4.1%,34,7.7%,50,16.5%,30,1.4%,71,33.3%
DeJuan Blair,22.5,SAS,Big,1319,4,0.4%,94,2.0%,31,5.1%,85,11.8%,21,13.8%,66,4.8%,91,44.2%
Steve Blake,31.7,LAL,Point,1234,22,0.1%,38,1.5%,61,2.7%,8,0.8%,5,6.0%,0,0.0%,83,6.6%
Andray Blatche,25.2,WAS,Big,623,38,1.5%,70,1.4%,70,3.7%,22,6.5%,71,19.2%,42,2.4%,25,22.5%
Eric Bledsoe,21.9,LAC,Combo,431,98,1.9%,98,3.2%,2,5.4%,98,5.3%,87,11.2%,93,5.4%,0,0.0%
Andrew Bogut,26.9,MIL,Big,363,88,3.7%,76,1.5%,50,4.4%,19,6.3%,89,21.8%,0,0.0%,7,15.4%
Matt Bonner,31.6,SAS,Big,1299,18,0.9%,4,0.5%,98,2.4%,2,2.5%,20,13.5%,32,1.5%,28,23.0%
Trevor Booker,23.9,WAS,Big,1243,46,1.7%,83,1.7%,40,4.7%,65,10.0%,38,15.5%,40,2.3%,39,25.3%
Carlos Boozer,29.9,CHI,Big,1946,9,0.6%,72,1.5%,77,3.4%,20,6.3%,94,22.8%,0,0.0%,58,30.5%
Chris Bosh,27.6,MIA,Big,1977,27,1.2%,50,1.2%,94,2.6%,11,5.4%,54,16.9%,59,3.9%,65,31.6%
Earl Boykins,35.4,HOU,Point,110,0,0.0%,0,0.4%,88,2.2%,0,0.0%,47,8.6%,0,0.0%,0,0.0%
Avery Bradley,20.9,BOS,Combo,1300,67,0.5%,40,1.5%,24,3.9%,80,3.1%,9,6.0%,0,0.0%,33,1.6%
Elton Brand,32.6,PHI,Big,1728,78,3.1%,80,1.6%,47,4.5%,50,8.8%,42,15.7%,60,4.0%,41,25.6%
Corey Brewer,25.7,DEN,Wing,1245,66,0.7%,93,2.3%,22,3.8%,74,3.6%,28,8.3%,84,3.2%,51,9.9%
Ronnie Brewer,26.6,CHI,Wing,1585,59,0.6%,85,2.0%,95,1.6%,89,4.7%,47,9.6%,72,1.9%,25,5.1%
Jon Brockman,24.6,MIL,Big,169,0,0.0%,5,0.5%,12,6.1%,90,12.4%,63,17.8%,0,0.0%,51,28.6%
MarShon Brooks,22.8,BKN,Wing,1611,44,0.5%,59,1.5%,47,3.1%,87,4.3%,34,8.5%,91,3.9%,47,9.2%
Derrick Brown,24.1,CHA,Forward,1292,10,0.4%,58,1.6%,52,3.1%,81,6.5%,13,10.8%,73,3.8%,10,10.1%
Kwame Brown,29.6,GSW,Big,186,0,0.0%,93,1.9%,58,4.1%,53,9.0%,91,22.2%,86,7.7%,34,25.0%
Shannon Brown,25.9,PHX,Wing,1309,51,0.6%,57,1.5%,94,1.7%,55,2.8%,31,8.4%,0,0.0%,48,9.5%
Kobe Bryant,33.2,LAL,Wing,2228,39,0.4%,53,1.4%,93,1.7%,68,3.2%,65,10.8%,66,1.5%,8,1.8%
Chase Budinger,23.4,HOU,Wing,1268,24,0.3%,19,1.0%,83,2.2%,63,3.0%,92,14.0%,0,0.0%,82,19.4%
Alec Burks,20.3,UTA,Wing,884,16,0.3%,32,1.1%,30,3.6%,96,6.6%,33,8.5%,64,1.3%,14,3.0%
Caron Butler,31.6,LAC,Wing,1866,15,0.2%,46,1.3%,59,2.7%,45,2.5%,58,10.4%,65,1.5%,45,8.6%
Jimmy Butler,22.1,CHI,Wing,269,58,0.6%,64,1.5%,73,2.4%,94,6.1%,15,7.3%,0,0.0%,59,11.8%
Rasual Butler,32.4,TOR,Wing,439,61,0.6%,6,0.8%,22,3.8%,21,1.4%,86,12.8%,0,0.0%,88,22.2%
Andrew Bynum,24.0,LAL,Big,2109,75,2.9%,7,0.6%,100,2.0%,67,10.2%,93,22.4%,40,2.3%,94,46.8%
Will Bynum,28.8,DET,Point,450,64,0.4%,64,1.9%,5,5.0%,56,1.9%,75,9.8%,98,5.1%,70,3.8%
Jose Calderon,30.1,TOR,Point,1789,25,0.1%,28,1.3%,73,2.4%,25,1.2%,58,8.8%,0,0.0%,30,1.7%
Marcus Camby,37.6,HOU,Big,458,86,3.5%,84,1.7%,70,3.7%,83,11.6%,99,27.9%,0,0.0%,98,52.6%
Marcus Camby,37.6,POR,Big,891,85,3.4%,84,1.7%,53,4.3%,93,12.7%,100,28.4%,39,2.2%,94,47.1%
Brian Cardinal,34.5,DAL,Forward,213,15,0.5%,40,1.3%,0,7.5%,8,1.4%,15,11.0%,0,0.0%,19,12.5%
DeMarre Carroll,25.3,UTA,Wing,318,10,0.2%,73,1.7%,4,5.0%,100,9.4%,13,7.1%,0,0.0%,35,7.1%
Matt Carroll,31.2,CHA,Wing,455,57,0.6%,14,0.9%,17,3.9%,30,1.6%,32,8.5%,0,0.0%,60,12.0%
Anthony Carter,36.4,TOR,Point,187,98,1.2%,70,2.0%,6,4.8%,92,3.0%,97,13.6%,0,0.0%,100,22.2%
Vince Carter,34.8,DAL,Wing,1507,80,0.9%,72,1.7%,23,3.7%,41,2.3%,62,10.7%,0,0.0%,84,20.0%
Omri Casspi,23.4,CLE,Forward,1261,40,0.9%,33,1.2%,42,3.6%,52,4.6%,29,11.9%,65,3.3%,85,27.7%
Mario Chalmers,25.5,MIA,Point,1795,58,0.3%,88,2.5%,31,3.7%,11,1.0%,63,9.0%,0,0.0%,50,2.9%
Tyson Chandler,29.1,NYK,Big,2055,64,2.4%,57,1.2%,74,3.5%,77,10.9%,73,19.6%,69,5.0%,31,23.4%
Wilson Chandler,24.5,DEN,Forward,210,81,1.5%,38,1.3%,56,2.9%,27,2.8%,83,15.9%,0,0.0%,73,23.1%
Josh Childress,28.4,PHX,Wing,443,47,0.5%,30,1.1%,24,3.7%,98,7.3%,91,14.0%,0,0.0%,79,19.0%
Earl Clark,23.8,ORL,Big,499,81,3.2%,42,1.1%,16,6.0%,26,7.1%,61,17.6%,0,0.0%,16,19.2%
Norris Cole,23.0,MIA,Point,1143,27,0.1%,41,1.5%,22,4.3%,59,2.0%,6,6.1%,0,0.0%,0,0.0%
Jason Collins,32.9,ATL,Big,265,7,0.6%,6,0.6%,22,5.6%,5,4.3%,11,12.2%,0,0.0%,0,0.0%
Darren Collison,24.2,IND,Point,1870,69,0.4%,20,1.2%,84,2.2%,52,1.7%,50,8.6%,0,0.0%,59,3.2%
Nick Collison,31.0,OKC,Big,1249,22,1.2%,57,1.2%,29,5.1%,70,10.4%,6,11.0%,83,7.1%,25,22.4%
Mike Conley,24.1,MEM,Point,2167,56,0.3%,95,2.8%,64,2.7%,19,1.1%,16,6.9%,0,0.0%,44,2.4%
Brian Cook,30.9,WAS,Big,124,5,0.5%,75,1.5%,9,6.7%,6,4.5%,91,22.1%,0,0.0%,85,40.0%
Daequan Cook,24.5,OKC,Wing,917,62,0.6%,22,1.1%,42,3.2%,17,1.4%,74,11.4%,0,0.0%,11,2.6%
DeMarcus Cousins,21.2,SAC,Big,1922,57,2.0%,95,2.1%,36,4.8%,92,12.6%,90,22.0%,96,12.0%,99,53.6%
Jamal Crawford,31.6,POR,Combo,1580,51,0.4%,33,1.5%,100,1.8%,18,1.1%,24,7.2%,0,0.0%,29,1.0%
Jordan Crawford,23.0,WAS,Wing,1713,9,0.2%,61,1.5%,75,2.3%,52,2.7%,18,7.5%,0,0.0%,10,2.6%
Dante Cunningham,24.5,MEM,Big,1080,45,1.7%,78,1.6%,68,3.8%,54,9.0%,22,13.9%,32,1.5%,9,16.4%
Stephen Curry,23.6,GSW,Point,728,83,0.6%,86,2.4%,33,3.7%,69,2.2%,83,10.3%,0,0.0%,64,3.6%
Samuel Dalembert,31.5,HOU,Big,1432,94,4.2%,51,1.2%,44,4.6%,86,11.8%,83,20.8%,0,0.0%,73,33.8%
Marquis Daniels,30.8,BOS,Wing,440,88,1.0%,84,2.0%,28,3.7%,81,4.1%,60,10.7%,0,0.0%,65,13.0%
Baron Davis,32.6,NYK,Point,584,52,0.3%,91,2.6%,25,4.1%,81,2.6%,41,7.9%,0,0.0%,0,0.0%
Ed Davis,22.4,TOR,Big,1459,65,2.4%,58,1.2%,53,4.3%,57,9.2%,85,21.1%,55,3.4%,34,25.0%
Glen Davis,25.8,ORL,Big,1395,13,0.8%,71,1.5%,92,2.7%,36,7.8%,48,16.4%,75,5.7%,45,27.6%
Austin Daye,23.4,DET,Wing,494,99,2.1%,75,1.8%,5,4.8%,49,2.6%,84,12.3%,0,0.0%,94,25.9%
DeMar DeRozan,22.2,TOR,Wing,2180,40,0.4%,21,1.1%,46,3.1%,37,2.1%,22,7.8%,0,0.0%,56,11.1%
Carlos Delfino,29.2,MIL,Wing,1517,32,0.4%,92,2.3%,58,2.8%,13,1.2%,87,12.8%,67,1.8%,75,16.4%
Luol Deng,26.5,CHI,Wing,2114,81,0.9%,34,1.2%,97,1.5%,78,3.8%,77,11.7%,69,1.9%,94,25.9%
Boris Diaw,29.5,CHA,Forward,1007,54,1.0%,10,0.9%,67,2.8%,48,4.5%,77,15.1%,75,4.2%,35,15.2%
Boris Diaw,29.5,SAS,Big,366,15,0.9%,74,1.5%,23,5.6%,12,5.5%,23,13.9%,86,7.7%,57,30.4%
DeSagana Diop,29.8,CHA,Big,300,60,2.2%,26,0.9%,57,4.1%,57,9.2%,42,15.6%,96,12.5%,34,25.0%
Keyon Dooling,31.5,BOS,Combo,629,22,0.2%,13,1.0%,29,3.8%,0,0.6%,7,5.6%,0,0.0%,47,2.5%
Toney Douglas,25.6,NYK,Combo,617,9,0.1%,69,1.8%,47,3.3%,64,2.3%,62,9.1%,0,0.0%,76,6.1%
Goran Dragic,25.5,HOU,Combo,1707,40,0.3%,84,2.2%,27,3.8%,84,3.3%,27,7.3%,76,1.4%,56,3.3%
Jared Dudley,26.3,PHX,Wing,2009,46,0.5%,22,1.1%,81,2.2%,91,4.9%,53,10.0%,91,3.8%,59,11.8%
Chris Duhon,29.2,ORL,Point,1199,72,0.4%,33,1.4%,55,2.8%,28,1.3%,36,7.9%,75,1.0%,34,1.8%
Tim Duncan,35.5,SAS,Big,1630,76,2.9%,43,1.1%,99,2.3%,30,7.3%,96,24.5%,38,1.9%,64,31.5%
Mike Dunleavy,31.1,MIL,Wing,1403,25,0.3%,10,0.8%,70,2.5%,34,2.0%,78,11.8%,61,1.1%,31,6.8%
Kevin Durant,23.1,OKC,Forward,2535,83,1.5%,56,1.5%,94,1.8%,10,1.8%,98,17.2%,35,0.8%,94,30.6%
Jerome Dyson,24.5,NOP,Point,178,84,0.6%,97,3.0%,17,4.4%,30,1.3%,59,8.9%,0,0.0%,0,0.0%
Devin Ebanks,22.0,LAL,Wing,377,78,0.8%,23,1.1%,63,2.6%,95,6.3%,19,7.5%,85,3.2%,0,0.0%
Wayne Ellington,23.9,MIN,Wing,935,52,0.6%,38,1.2%,66,2.6%,16,1.4%,36,8.6%,0,0.0%,20,4.5%
Monta Ellis,26.0,GSW,Combo,1360,60,0.5%,71,1.8%,89,2.2%,33,1.3%,44,8.1%,0,0.0%,89,8.5%
Monta Ellis,26.0,MIL,Wing,752,37,0.4%,69,1.7%,57,2.8%,2,0.5%,41,8.8%,0,0.0%,83,19.5%
Semih Erden,25.3,CLE,Big,303,19,0.9%,55,1.2%,4,7.4%,16,5.9%,62,17.6%,0,0.0%,17,20.0%
Jeremy Evans,24.0,UTA,Forward,162,100,6.3%,48,1.4%,6,5.2%,100,11.9%,81,15.8%,0,0.0%,52,18.2%
Maurice Evans,33.0,WAS,Wing,318,0,0.0%,81,1.9%,10,4.3%,51,2.7%,2,4.6%,0,0.0%,47,9.1%
Reggie Evans,31.5,LAC,Big,739,6,0.5%,92,1.9%,13,6.1%,95,13.4%,98,26.3%,86,7.5%,61,31.1%
Tyreke Evans,22.1,SAC,Wing,2152,68,0.7%,72,1.7%,74,2.3%,59,2.9%,69,11.2%,76,2.3%,22,4.6%
Kenneth Faried,21.9,DEN,Big,996,60,2.2%,73,1.5%,54,4.2%,99,14.7%,73,19.5%,51,3.2%,74,33.9%
Jordan Farmar,24.9,BKN,Combo,796,7,0.1%,27,1.3%,87,2.3%,9,1.0%,31,7.6%,0,0.0%,67,5.1%
Derrick Favors,20.3,UTA,Big,1349,70,2.7%,61,1.3%,64,4.0%,89,12.3%,70,19.1%,48,2.9%,76,35.2%
Raymond Felton,27.3,POR,Point,1899,55,0.3%,63,1.9%,70,2.6%,41,1.5%,19,7.1%,78,1.1%,41,2.2%
Rudy Fernandez,26.6,DEN,Wing,685,16,0.2%,88,2.1%,86,2.2%,18,1.4%,37,8.6%,0,0.0%,35,7.1%
Landry Fields,23.3,NYK,Wing,1855,47,0.5%,78,1.9%,90,2.0%,66,3.2%,76,11.4%,90,3.6%,87,21.0%
Derek Fisher,37.2,LAL,Point,1100,34,0.1%,47,1.6%,44,3.3%,9,0.9%,17,7.0%,84,1.6%,86,7.1%
Derek Fisher,37.2,OKC,Point,361,0,0.0%,14,1.1%,39,3.4%,2,0.3%,9,6.4%,0,0.0%,89,9.5%
Jonny Flynn,22.7,POR,Point,270,39,0.2%,2,0.5%,67,2.6%,75,2.4%,48,8.6%,100,8.3%,94,11.8%
Gary Forbes,26.7,TOR,Wing,649,17,0.3%,67,1.6%,36,3.3%,84,4.1%,71,11.2%,0,0.0%,28,6.0%
T.J. Ford,28.6,SAS,Point,160,88,0.7%,92,2.6%,3,5.2%,73,2.3%,67,9.2%,0,0.0%,0,0.0%
Jeff Foster,34.8,IND,Big,140,4,0.4%,100,2.6%,2,8.6%,98,13.7%,53,16.8%,0,0.0%,96,50.0%
Randy Foye,28.1,LAC,Wing,1632,71,0.8%,36,1.2%,43,3.2%,22,1.5%,10,6.9%,80,2.6%,41,7.9%
Jimmer Fredette,22.7,SAC,Combo,1056,18,0.1%,22,1.2%,80,2.6%,38,1.4%,2,4.9%,0,0.0%,0,0.0%
Channing Frye,28.5,PHX,Big,1653,59,2.2%,49,1.2%,47,4.5%,7,4.7%,56,17.1%,46,2.8%,75,34.6%
Sundiata Gaines,25.5,BKN,Combo,723,20,0.2%,100,3.4%,51,3.2%,91,3.5%,80,11.0%,89,2.0%,80,7.5%
Danilo Gallinari,23.2,DEN,Forward,1347,42,0.9%,50,1.4%,81,2.5%,21,2.3%,42,13.1%,42,1.2%,13,10.3%
Francisco Garcia,29.8,SAC,Wing,770,100,2.5%,82,2.0%,20,3.8%,10,1.1%,81,12.0%,95,4.7%,32,6.9%
Kevin Garnett,35.5,BOS,Big,1855,49,1.8%,71,1.5%,86,3.1%,4,4.0%,92,22.3%,61,4.1%,89,43.0%
Marc Gasol,26.8,MEM,Big,2363,75,2.9%,53,1.2%,78,3.4%,11,5.3%,72,19.3%,33,1.6%,84,39.5%
Pau Gasol,31.3,LAL,Big,2425,52,1.9%,12,0.7%,99,2.2%,40,8.1%,67,18.8%,63,4.3%,71,32.7%
Rudy Gay,25.2,MEM,Forward,2415,75,1.3%,73,1.8%,90,2.3%,75,5.7%,33,12.4%,50,1.5%,50,17.8%
Alonzo Gee,24.4,CLE,Wing,1785,48,0.5%,87,2.0%,39,3.3%,93,5.6%,73,11.3%,82,2.8%,97,26.5%
Paul George,21.5,IND,Wing,1937,91,1.1%,97,2.5%,16,4.0%,64,3.1%,97,15.7%,59,1.0%,76,16.5%
Daniel Gibson,25.7,CLE,Wing,885,83,0.9%,42,1.2%,35,3.3%,12,1.2%,51,9.9%,0,0.0%,44,8.5%
Taj Gibson,26.4,CHI,Big,1199,83,3.3%,28,0.9%,66,3.9%,79,11.0%,15,12.9%,53,3.3%,34,25.0%
Manu Ginobili,34.3,SAS,Wing,787,74,0.8%,54,1.4%,44,3.2%,57,2.8%,83,12.2%,0,0.0%,62,12.5%
Mickell Gladness,25.3,GSW,Big,222,93,4.2%,8,0.6%,35,4.9%,15,5.9%,19,13.4%,0,0.0%,4,13.6%
Ryan Gomes,29.2,LAC,Forward,366,0,0.0%,90,2.0%,50,3.1%,31,3.2%,25,11.6%,0,0.0%,8,8.7%
Drew Gooden,30.1,MIL,Big,1462,26,1.2%,66,1.4%,89,3.0%,46,8.7%,43,15.7%,73,5.6%,77,35.6%
Ben Gordon,28.6,DET,Combo,1343,58,0.5%,20,1.1%,36,3.6%,20,1.1%,60,8.9%,0,0.0%,53,2.9%
Eric Gordon,22.9,NOP,Combo,303,87,0.7%,80,2.0%,64,2.9%,7,0.8%,49,8.6%,0,0.0%,0,0.0%
Marcin Gortat,27.7,PHX,Big,2108,66,2.5%,37,1.0%,93,2.7%,60,9.5%,89,21.6%,48,2.9%,68,31.9%
Andrew Goudelock,22.9,LAL,Combo,399,0,0.0%,0,0.5%,49,3.3%,36,1.4%,16,6.7%,0,0.0%,0,0.0%
Danny Granger,28.5,IND,Wing,2060,89,1.0%,52,1.4%,68,2.5%,83,4.1%,55,10.3%,59,1.0%,80,19.2%
Aaron Gray,26.9,TOR,Big,804,24,1.2%,63,1.3%,10,6.6%,78,11.0%,98,25.1%,0,0.0%,90,43.1%
Danny Green,24.4,SAS,Wing,1471,95,1.6%,71,1.7%,53,2.9%,75,3.6%,78,11.8%,83,2.9%,7,1.5%
Gerald Green,25.8,BKN,Forward,753,67,1.1%,63,1.6%,29,4.0%,13,1.8%,19,11.5%,90,6.3%,77,24.4%
Willie Green,30.3,ATL,Wing,784,33,0.4%,40,1.2%,26,3.7%,20,1.4%,17,7.4%,0,0.0%,39,7.7%
Donte Greene,23.7,SAC,Big,736,51,1.9%,45,1.1%,73,3.5%,0,2.2%,14,12.8%,43,2.6%,22,21.7%
Blake Griffin,22.6,LAC,Big,2383,22,1.1%,40,1.1%,68,3.8%,64,9.9%,77,20.0%,52,3.3%,92,45.5%
Hamed Haddadi,26.5,MEM,Big,184,100,7.5%,0,0.0%,3,8.3%,99,14.2%,31,15.1%,0,0.0%,82,37.5%
Jordan Hamilton,21.1,DEN,Wing,229,41,0.5%,0,0.4%,67,2.5%,80,3.9%,99,19.1%,100,11.8%,91,23.5%
Richard Hamilton,33.7,CHI,Wing,695,6,0.1%,9,0.8%,32,3.4%,62,3.0%,9,6.7%,86,3.3%,20,4.5%
Tyler Hansbrough,26.0,IND,Big,1371,2,0.4%,81,1.7%,41,4.7%,35,7.8%,7,11.5%,80,6.5%,53,29.6%
Luke Harangody,23.8,CLE,Big,173,20,0.9%,80,1.6%,98,2.4%,71,10.5%,24,14.0%,99,15.4%,51,28.6%
James Harden,22.2,OKC,Wing,1873,38,0.4%,56,1.5%,51,3.0%,33,1.9%,63,10.8%,0,0.0%,69,14.8%
Josh Harrellson,22.7,NYK,Big,475,58,2.2%,91,1.9%,75,3.5%,42,8.4%,61,17.6%,57,3.7%,26,22.6%
Al Harrington,31.7,DEN,Big,1751,3,0.4%,69,1.4%,65,4.0%,4,4.1%,58,17.5%,79,6.5%,75,34.7%
Devin Harris,28.7,UTA,Point,1738,70,0.4%,48,1.7%,47,3.1%,5,0.7%,8,6.3%,80,1.2%,31,1.8%
Manny Harris,22.1,CLE,Wing,391,36,0.4%,48,1.3%,65,2.6%,53,2.7%,95,15.0%,0,0.0%,0,0.0%
Terrel Harris,24.2,MIA,Combo,277,49,0.4%,9,1.0%,9,4.9%,100,6.2%,93,11.5%,98,7.1%,0,0.0%
Tobias Harris,19.3,MIL,Forward,403,46,0.9%,25,1.0%,40,3.7%,83,6.5%,50,13.6%,0,0.0%,0,0.0%
Udonis Haslem,31.4,MIA,Big,1548,17,0.9%,40,1.1%,67,3.9%,39,8.1%,88,21.3%,0,0.0%,63,31.3%
Spencer Hawes,23.5,PHI,Big,918,74,2.8%,20,0.8%,40,4.7%,52,8.9%,80,20.6%,39,2.3%,51,28.6%
Chuck Hayes,28.4,SAC,Big,1026,16,0.9%,79,1.6%,34,4.9%,27,7.2%,40,15.6%,0,0.0%,30,23.2%
Gordon Hayward,21.6,UTA,Wing,1999,91,1.1%,35,1.2%,91,2.0%,65,3.1%,38,8.7%,58,1.0%,26,5.2%
Brendan Haywood,31.9,DAL,Big,1143,68,2.6%,34,1.0%,42,4.7%,94,12.9%,46,16.0%,34,1.8%,5,13.8%
Gerald Henderson,23.9,CHA,Wing,1811,56,0.6%,41,1.2%,53,2.9%,71,3.4%,47,9.5%,87,3.4%,27,5.3%
Xavier Henry,20.6,NOP,Wing,721,50,0.6%,68,1.7%,40,3.2%,67,3.2%,72,11.2%,77,2.3%,30,6.8%
Roy Hibbert,24.9,IND,Big,1933,87,3.6%,16,0.8%,59,4.1%,86,11.8%,60,17.5%,68,4.9%,62,31.2%
JJ Hickson,23.2,POR,Big,595,42,1.6%,22,0.8%,90,2.9%,82,11.5%,47,16.2%,81,6.7%,71,33.3%
JJ Hickson,23.2,SAC,Big,620,32,1.3%,60,1.2%,96,2.6%,68,10.2%,32,15.2%,91,8.6%,91,43.9%
Cory Higgins,22.4,CHA,Combo,285,93,1.0%,2,0.5%,4,5.3%,42,1.6%,56,8.8%,96,6.7%,0,0.0%
Nene Hilario,29.1,DEN,Big,825,42,1.7%,94,2.0%,89,3.0%,14,5.7%,81,20.7%,68,4.9%,48,27.9%
Nene Hilario,29.1,WAS,Big,271,71,2.8%,39,1.0%,73,3.6%,27,7.1%,82,20.7%,98,15.0%,85,40.0%
George Hill,25.5,IND,Combo,1253,84,0.7%,36,1.5%,40,3.4%,71,2.6%,71,9.6%,0,0.0%,71,6.0%
Grant Hill,39.1,PHX,Forward,1376,65,1.1%,46,1.4%,73,2.7%,19,2.2%,6,9.7%,58,2.8%,33,14.7%
Jordan Hill,24.3,HOU,Big,438,61,2.2%,30,1.0%,30,5.1%,73,10.6%,96,24.3%,0,0.0%,96,50.0%
Kirk Hinrich,30.8,ATL,Combo,1211,69,0.5%,29,1.4%,31,3.8%,11,1.0%,40,8.1%,0,0.0%,49,2.8%
Jrue Holiday,21.4,PHI,Combo,2177,56,0.5%,82,2.2%,69,2.7%,76,2.7%,29,7.3%,71,1.0%,58,3.7%
Ryan Hollins,27.1,BOS,Big,147,55,2.0%,2,0.3%,43,4.6%,7,4.8%,2,10.1%,0,0.0%,34,25.0%
