Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Mason Plumlee,28.7,DEN,Big,208,6,57.1%,78,15.7%,73,2.6%,63,25.0%
Jakob Poeltl,23.0,SAS,Big,176,0,55.6%,30,8.1%,38,1.6%,83,33.3%
Norman Powell,25.4,TOR,Wing,341,0,72.2%,45,7.0%,39,0.9%,58,25.0%
JJ Redick,34.4,PHI,Wing,375,0,85.0%,18,3.2%,76,1.5%,58,25.0%
Austin Rivers,26.3,HOU,Combo,208,0,66.7%,0,3.5%,50,1.3%,94,100.0%
Terrence Ross,27.7,ORL,Wing,143,0,82.4%,73,10.5%,97,2.8%,52,16.7%
Terry Rozier,24.6,BOS,Combo,149,0,71.4%,61,11.3%,94,2.5%,56,16.7%
Ricky Rubio,28.0,UTA,Point,167,0,85.0%,43,9.7%,79,3.1%,0,0.0%
D'Angelo Russell,22.7,BKN,Combo,147,0,84.6%,39,6.6%,11,0.6%,83,42.9%
Dennis Schroder,25.1,OKC,Combo,150,0,72.2%,83,12.9%,17,0.6%,0,0.0%
Mike Scott,30.3,PHI,Big,192,0,100.0%,0,2.1%,5,0.4%,0,0.0%
Landry Shamet,21.6,LAC,Wing,171,0,100.0%,39,5.1%,64,1.2%,0,0.0%
Iman Shumpert,28.4,HOU,Wing,102,0,25.0%,52,7.7%,9,0.4%,0,0.0%
Pascal Siakam,24.6,TOR,Big,888,47,75.9%,33,8.8%,20,1.1%,55,19.4%
Ben Simmons,22.3,PHI,Combo,420,0,57.5%,72,12.0%,83,2.3%,78,40.0%
Jayson Tatum,20.7,BOS,Forward,292,33,74.4%,36,10.8%,45,2.3%,27,23.1%
Klay Thompson,28.7,GSW,Wing,817,100,90.2%,27,4.0%,33,0.9%,45,13.3%
PJ Tucker,33.5,HOU,Big,425,0,82.6%,5,4.4%,48,1.9%,63,25.0%
Evan Turner,30.0,POR,Combo,245,0,80.0%,89,15.1%,28,0.7%,28,12.5%
Myles Turner,22.6,IND,Big,125,0,61.5%,80,17.1%,10,0.7%,40,14.3%
Fred VanVleet,24.7,TOR,Combo,578,43,79.3%,22,6.0%,44,1.0%,22,10.0%
Nikola Vucevic,28.0,ORL,Big,147,0,78.6%,28,7.9%,83,3.1%,0,0.0%
Russell Westbrook,30.0,OKC,Point,197,71,88.5%,86,11.6%,21,0.9%,79,28.6%
Derrick White,24.3,SAS,Point,190,14,73.1%,100,15.7%,36,1.7%,86,30.8%
Lou Williams,32.0,LAC,Combo,175,71,82.9%,100,18.2%,56,1.6%,72,22.7%
Thaddeus Young,30.4,IND,Big,130,0,57.1%,15,6.8%,35,1.5%,83,33.3%
