Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
JJ Hickson,27.2,WAS,Big,102,14,-8.8,-24,3,-11.2,1,-7.5%,70,-0.7%,57,+0.5%,99,+8.8,74,-2.5,88,-2.5%,5,-2.5%,27,+1.3%,5,+5.5
Nene Hilario,33.1,WAS,Big,1077,64,+1.8,+5,54,-0.1,78,+1.8%,78,-1.0%,1,-7.0%,98,+6.4,67,-1.8,35,+0.8%,97,+3.0%,75,-1.4%,13,+4.0
George Hill,29.5,IND,Point,2517,59,+1.1,+3,55,+0.1,72,+1.2%,53,-0.1%,22,-2.2%,64,+1.0,60,-1.1,39,+0.7%,69,+0.6%,63,-0.6%,57,-0.3
Jordan Hill,28.3,IND,Big,1486,41,-1.7,-5,60,+0.5,39,-1.0%,56,-0.2%,91,+3.9%,23,-2.6,30,+2.2,76,-1.5%,2,-3.0%,42,+0.5%,38,+1.2
Solomon Hill,24.6,IND,Forward,807,70,+2.6,+7,83,+3.8,34,-1.2%,92,-2.0%,93,+4.5%,73,+1.8,39,+1.1,66,-0.9%,29,-0.7%,35,+0.8%,43,+0.8
Darrun Hilliard,22.6,DET,Wing,305,82,+5.0,+13,69,+1.7,94,+3.6%,27,+1.0%,15,-3.0%,39,-0.9,79,-3.2,90,-2.7%,32,-0.6%,21,+1.6%,71,-1.4
Kirk Hinrich,34.8,CHI,Combo,553,53,+0.1,+0,37,-1.6,42,-0.8%,26,+1.0%,49,+0.0%,44,-0.5,66,-1.7,57,-0.2%,93,+2.2%,72,-1.1%,16,+3.4
Jrue Holiday,25.4,NOP,Point,1815,90,+7.4,+18,88,+4.8,67,+0.9%,94,-2.1%,37,-0.9%,88,+4.2,75,-2.5,54,-0.1%,88,+1.7%,70,-0.9%,34,+1.5
Justin Holiday,26.6,ATL,Wing,193,13,-9.3,-24,14,-5.5,40,-0.9%,3,+2.8%,43,-0.4%,78,+2.3,20,+3.7,21,+1.6%,85,+1.4%,2,+5.6%,33,+1.6
Justin Holiday,26.6,CHI,Combo,485,39,-2.1,-6,22,-3.9,34,-1.2%,5,+2.4%,62,+0.7%,75,+1.9,67,-1.8,33,+0.9%,81,+1.2%,93,-3.3%,45,+0.6
Ryan Hollins,31.1,MEM,Big,387,1,-19.6,-41,5,-9.5,11,-3.2%,9,+1.9%,41,-0.6%,2,-8.2,3,+10.1,2,+4.7%,9,-2.0%,74,-1.3%,26,+2.2
Rondae Hollis-Jefferson,20.8,BKN,Forward,602,87,+6.5,+14,35,-2.1,25,-1.8%,45,+0.2%,89,+3.6%,30,-1.9,98,-8.6,95,-3.6%,83,+1.3%,77,-1.5%,61,-0.6
Richaun Holmes,22.0,PHI,Big,610,86,+6.1,+12,97,+8.5,90,+2.9%,64,-0.5%,96,+5.1%,69,+1.5,29,+2.4,43,+0.4%,67,+0.6%,44,+0.5%,11,+4.1
Rodney Hood,23.0,UTA,Wing,2533,62,+1.5,+4,85,+4.2,88,+2.8%,49,+0.0%,68,+1.2%,18,-3.4,27,+2.7,30,+1.1%,15,-1.5%,34,+0.9%,63,-0.8
Al Horford,29.4,ATL,Big,2607,54,+0.3,+1,49,-0.6,60,+0.3%,90,-1.8%,4,-5.3%,11,-4.0,59,-1.0,59,-0.4%,33,-0.6%,63,-0.6%,87,-3.1
Dwight Howard,29.9,HOU,Big,2272,60,+1.3,+4,41,-1.3,68,+1.0%,21,+1.2%,47,-0.1%,61,+0.8,75,-2.6,52,-0.1%,44,-0.2%,73,-1.2%,95,-4.9
Marcelo Huertas,32.4,LAL,Point,718,97,+13.4,+28,90,+5.5,95,+3.9%,19,+1.2%,80,+2.4%,21,-2.8,97,-7.8,91,-2.8%,79,+1.1%,89,-2.8%,49,+0.2
Kris Humphries,30.7,WAS,Big,447,21,-6.0,-15,33,-2.5,22,-2.1%,12,+1.7%,87,+3.3%,63,+0.9,22,+3.6,31,+1.0%,17,-1.4%,76,-1.5%,50,+0.2
Kris Humphries,30.7,ATL,Big,276,17,-7.3,-18,70,+1.8,39,-1.0%,62,-0.4%,89,+3.5%,94,+5.4,4,+9.2,18,+1.9%,4,-2.7%,13,+2.5%,3,+6.7
RJ Hunter,22.0,BOS,Wing,240,16,-7.9,-22,1,-14.5,11,-3.3%,3,+2.7%,5,-5.0%,3,-6.7,95,-6.7,73,-1.2%,98,+3.0%,99,-6.9%,6,+5.5
Serge Ibaka,26.1,OKC,Big,2477,90,+7.6,+16,90,+5.7,78,+1.8%,98,-2.8%,28,-1.5%,64,+1.0,68,-1.9,81,-1.8%,41,-0.3%,41,+0.5%,81,-2.2
Andre Iguodala,31.8,GSW,Forward,1694,74,+3.3,+5,69,+1.7,40,-0.9%,51,-0.0%,88,+3.5%,94,+5.6,65,-1.6,72,-1.2%,94,+2.4%,10,+2.9%,16,+3.4
Ersan Ilyasova,28.5,DET,Big,1428,24,-5.2,-14,39,-1.5,51,-0.2%,14,+1.5%,83,+2.7%,25,-2.5,20,+3.7,7,+3.5%,81,+1.2%,39,+0.7%,61,-0.6
Ersan Ilyasova,28.5,ORL,Big,434,5,-13.5,-31,31,-2.7,6,-4.2%,39,+0.4%,97,+5.5%,40,-0.9,2,+10.8,0,+7.7%,82,+1.3%,88,-2.5%,5,+5.5
Joe Ingles,28.1,UTA,Forward,1161,31,-3.5,-10,22,-4.0,28,-1.6%,33,+0.7%,29,-1.5%,47,-0.3,54,-0.5,64,-0.6%,40,-0.3%,55,-0.1%,28,+1.9
Damien Inglis,20.5,MIL,Forward,117,4,-13.8,-26,0,-16.5,11,-3.2%,1,+3.2%,0,-9.3%,33,-1.5,76,-2.7,96,-4.2%,32,-0.6%,31,+1.0%,87,-2.9
Kyrie Irving,23.6,CLE,Combo,1652,38,-2.3,-5,72,+2.1,62,+0.5%,77,-1.0%,68,+1.3%,27,-2.2,17,+4.4,8,+3.2%,57,+0.2%,39,+0.7%,80,-2.1
Jarrett Jack,32.0,BKN,Combo,1024,64,+1.9,+4,52,-0.3,48,-0.4%,32,+0.7%,87,+3.4%,44,-0.5,71,-2.2,65,-0.7%,66,+0.6%,79,-1.8%,22,+2.6
Reggie Jackson,25.5,DET,Point,2419,76,+3.5,+9,88,+4.9,77,+1.7%,86,-1.4%,75,+1.9%,69,+1.4,36,+1.4,33,+0.9%,65,+0.5%,24,+1.5%,39,+1.2
LeBron James,30.8,CLE,Forward,2704,98,+14.4,+34,99,+12.2,98,+5.6%,73,-0.8%,85,+3.0%,86,+3.6,71,-2.2,81,-1.8%,77,+1.0%,52,-0.1%,65,-0.8
Al Jefferson,30.8,CHA,Big,1093,45,-1.0,-3,30,-2.8,51,-0.3%,94,-2.1%,9,-4.0%,10,-4.4,66,-1.8,66,-0.8%,71,+0.7%,62,-0.5%,75,-1.6
Richard Jefferson,35.4,CLE,Forward,1173,10,-9.7,-22,4,-9.9,9,-3.5%,30,+0.8%,3,-5.6%,32,-1.5,52,-0.2,37,+0.8%,47,-0.1%,64,-0.6%,49,+0.2
John Jenkins,24.7,DAL,Wing,144,93,+8.8,+21,98,+9.8,97,+4.9%,81,-1.1%,56,+0.4%,5,-5.9,40,+1.0,52,-0.0%,36,-0.4%,36,+0.8%,60,-0.6
John Jenkins,24.7,PHX,Wing,272,10,-10.0,-19,16,-5.1,24,-1.9%,49,+0.1%,6,-4.6%,32,-1.6,13,+4.9,64,-0.7%,1,-3.8%,4,+4.2%,59,-0.4
Brandon Jennings,26.1,DET,Point,406,73,+3.1,+8,71,+2.1,59,+0.2%,35,+0.6%,63,+0.8%,84,+3.2,60,-1.0,75,-1.4%,6,-2.4%,97,-4.3%,40,+1.0
Brandon Jennings,26.1,ORL,Point,434,39,-2.1,-6,27,-3.2,15,-2.7%,43,+0.3%,27,-1.7%,81,+2.7,60,-1.1,38,+0.7%,64,+0.5%,89,-2.7%,15,+3.6
Jonas Jerebko,28.7,BOS,Forward,1098,54,+0.3,+1,33,-2.3,42,-0.8%,13,+1.7%,64,+0.9%,48,-0.2,76,-2.6,63,-0.6%,77,+1.0%,46,+0.3%,61,-0.6
Amir Johnson,28.5,BOS,Big,1796,77,+3.7,+9,82,+3.6,79,+1.8%,74,-0.9%,81,+2.5%,15,-3.7,50,-0.0,50,+0.0%,43,-0.2%,28,+1.2%,94,-4.6
Chris Johnson,25.5,UTA,Wing,778,67,+2.2,+6,41,-1.3,40,-0.9%,82,-1.2%,19,-2.6%,65,+1.0,82,-3.6,78,-1.6%,65,+0.5%,68,-0.8%,59,-0.4
James Johnson,28.7,TOR,Forward,907,21,-5.9,-15,26,-3.4,48,-0.4%,29,+0.8%,31,-1.2%,19,-3.1,29,+2.5,14,+2.5%,46,-0.1%,70,-1.0%,88,-3.1
