bet_num,date,bet_size,bet_result,profit,bankroll
1938,2025-03-09,42.81000277803077,LOSS,-42.81000277803077,1872.1503600563478
1939,2025-03-09,10.0,LOSS,-10.0,1862.1503600563478
1941,2025-03-09,14.319936268833288,LOSS,-14.319936268833288,1847.8304237875145
1943,2025-03-10,44.98627159002698,WIN,49.48489874902968,1897.3153225365443
1944,2025-03-10,10.0,WIN,8.0,1905.3153225365443
1946,2025-03-10,16.903957541544273,LOSS,-16.903957541544273,1888.411364995
1947,2025-03-10,70.32443923241382,LOSS,-70.32443923241382,1818.0869257625861
1948,2025-03-10,24.725982190371173,WIN,24.725982190371173,1842.8129079529574
1949,2025-03-10,18.527640976559024,LOSS,-18.527640976559024,1824.2852669763984
1951,2025-03-10,20.497669259746804,LOSS,-20.497669259746804,1803.7875977166516
1952,2025-03-10,10.0,LOSS,-10.0,1793.7875977166516
1955,2025-03-10,10.0,WIN,9.345794392523363,1803.133392109175
1957,2025-03-10,13.86609578531953,WIN,13.205805509828124,1816.3391976190032
1959,2025-03-10,10.0,WIN,9.09090909090909,1825.4301067099123
1960,2025-03-10,10.0,LOSS,-10.0,1815.4301067099123
1961,2025-03-10,10.0,LOSS,-10.0,1805.4301067099123
1964,2025-03-10,10.0,LOSS,-10.0,1795.4301067099123
1968,2025-03-10,10.0,LOSS,-10.0,1785.4301067099123
1969,2025-03-10,10.0,LOSS,-10.0,1775.4301067099123
1977,2025-03-10,10.0,WIN,8.849557522123895,1784.279664232036
1978,2025-03-10,34.30914897223313,WIN,36.02460642084479,1820.3042706528809
1979,2025-03-10,11.846540193408961,WIN,11.175981314536756,1831.4802519674176
1980,2025-03-10,10.0,LOSS,-10.0,1821.4802519674176
1981,2025-03-10,10.0,LOSS,-10.0,1811.4802519674176
1982,2025-03-10,24.636131426756883,WIN,24.636131426756883,1836.1163833941746
1985,2025-03-10,10.0,LOSS,-10.0,1826.1163833941746
1987,2025-03-10,10.0,WIN,9.09090909090909,1835.2072924850836
1988,2025-03-10,10.0,LOSS,-10.0,1825.2072924850836
1989,2025-03-10,20.508029138362392,LOSS,-20.508029138362392,1804.6992633467212
1993,2025-03-10,10.0,LOSS,-10.0,1794.6992633467212
1994,2025-03-10,13.80123733513626,LOSS,-13.80123733513626,1780.898026011585
2000,2025-03-10,10.0,WIN,8.695652173913043,1789.593678185498
2002,2025-03-10,10.0,LOSS,-10.0,1779.593678185498
2006,2025-03-10,10.0,WIN,8.695652173913043,1788.289330359411
2007,2025-03-10,13.751944950463846,WIN,13.097090429013187,1801.3864207884242
2008,2025-03-11,13.852661575862957,WIN,13.193011024631389,1814.5794318130556
2011,2025-03-11,10.0,LOSS,-10.0,1804.5794318130556
2012,2025-03-11,10.0,WIN,9.09090909090909,1813.6703409039646
2015,2025-03-11,10.0,WIN,9.174311926605505,1822.84465283057
2019,2025-03-11,10.0,WIN,8.695652173913043,1831.5403050044831
2020,2025-03-11,24.908948148060972,WIN,24.908948148060972,1856.449253152544
2025,2025-03-11,35.69686706776176,WIN,37.48171042114985,1893.930963573694
2030,2025-03-11,10.0,LOSS,-10.0,1883.930963573694
2031,2025-03-11,10.0,LOSS,-10.0,1873.930963573694
2048,2025-03-11,36.03301538528844,WIN,37.83466615455286,1911.765629728247
2051,2025-03-11,55.47445136002746,LOSS,-55.47445136002746,1856.2911783682196
2052,2025-03-11,14.274879161651583,WIN,13.595123011096746,1869.8863013793164
2053,2025-03-11,12.169220049376603,LOSS,-12.169220049376603,1857.7170813299397
2055,2025-03-12,18.677487535691206,LOSS,-18.677487535691206,1839.0395937942485
2057,2025-03-12,14.142214476277745,WIN,13.468775691693091,1852.5083694859416
2062,2025-03-12,10.0,LOSS,-10.0,1842.5083694859416
2065,2025-03-12,25.058113825008807,LOSS,-25.058113825008807,1817.4502556609327
2066,2025-03-12,10.0,WIN,8.771929824561402,1826.222185485494
2069,2025-03-12,44.46020920663779,LOSS,-44.46020920663779,1781.7619762788563
2073,2025-03-12,10.0,WIN,7.092198581560284,1788.8541748604166
2074,2025-03-12,10.0,WIN,9.174311926605505,1798.028486787022
2075,2025-03-12,34.573519188790435,LOSS,-34.573519188790435,1763.4549675982316
2077,2025-03-12,10.0,WIN,8.695652173913043,1772.1506197721446
2078,2025-03-12,34.07592477447579,WIN,35.77972101319958,1807.9303407853442
2079,2025-03-12,24.587852634680683,WIN,24.587852634680683,1832.518193420025
2083,2025-03-12,14.092064907399967,LOSS,-14.092064907399967,1818.426128512625
2084,2025-03-12,10.0,WIN,9.09090909090909,1827.517037603534
2089,2025-03-12,24.85423171140806,WIN,24.85423171140806,1852.371269314942
2090,2025-03-12,10.0,LOSS,-10.0,1842.371269314942
2091,2025-03-12,16.345517901362218,WIN,15.71684413592521,1858.0881134508672
2092,2025-03-12,12.092437442338257,WIN,11.407959851262508,1869.4960733021298
2093,2025-03-12,10.0,LOSS,-10.0,1859.4960733021298
2099,2025-03-13,10.0,WIN,7.692307692307693,1867.1883809944375
2104,2025-03-13,10.0,WIN,8.47457627118644,1875.6629572656238
2105,2025-03-13,10.0,WIN,6.8965517241379315,1882.5595089897618
2111,2025-03-13,10.0,WIN,9.09090909090909,1891.6504180806708
2115,2025-03-13,19.018653303383054,WIN,18.464711945032093,1910.115130025703
2118,2025-03-13,10.0,LOSS,-10.0,1900.115130025703
2119,2025-03-13,14.611885349897628,WIN,13.916081285616789,1914.0312113113198
2126,2025-03-14,10.0,WIN,9.09090909090909,1923.1221204022288
2132,2025-03-14,14.788809105893112,WIN,14.084580100850584,1937.2067005030794
2136,2025-03-14,17.186897846863374,LOSS,-17.186897846863374,1920.0198026562161
2137,2025-03-14,19.30387909590559,LOSS,-19.30387909590559,1900.7159235603106
2141,2025-03-14,10.0,LOSS,-10.0,1890.7159235603106
2144,2025-03-14,46.03033857540469,WIN,50.633372432945166,1941.3492959932557
2146,2025-03-14,26.40235042550828,LOSS,-26.40235042550828,1914.9469455677474
2148,2025-03-14,10.0,WIN,9.25925925925926,1924.2062048270068
2150,2025-03-14,14.797145715119655,WIN,14.092519728685387,1938.2987245556922
2151,2025-03-14,26.360862653957415,LOSS,-26.360862653957415,1911.9378619017348
2158,2025-03-14,16.962712710792243,WIN,16.31030068345408,1928.2481625851888
2161,2025-03-14,14.828228370280074,WIN,14.122122257409595,1942.3702848425983
2167,2025-03-15,14.936827490439553,WIN,14.225549990894812,1956.595834833493
2168,2025-03-15,17.358918246642805,LOSS,-17.358918246642805,1939.2369165868502
2169,2025-03-15,10.0,LOSS,-10.0,1929.2369165868502
2170,2025-03-15,10.0,LOSS,-10.0,1919.2369165868502
2174,2025-03-15,10.0,LOSS,-10.0,1909.2369165868502
2175,2025-03-15,14.682031888552851,WIN,13.982887512907478,1923.2198040997575
2178,2025-03-15,26.155789335756705,WIN,26.155789335756705,1949.3755934355142
2180,2025-03-15,19.599022216400652,WIN,19.028176909126845,1968.403770344641
2181,2025-03-15,10.0,WIN,8.333333333333336,1976.7371036779743
2182,2025-03-15,10.0,WIN,8.928571428571429,1985.6656751065457
2185,2025-03-15,15.269769041569308,LOSS,-15.269769041569308,1970.3959060649763
2186,2025-03-15,15.15234451763964,LOSS,-15.15234451763964,1955.2435615473366
2188,2025-03-15,15.03582298829899,LOSS,-15.03582298829899,1940.2077385590376
2190,2025-03-15,10.0,LOSS,-10.0,1930.2077385590376
2192,2025-03-16,10.0,LOSS,-10.0,1920.2077385590376
2193,2025-03-16,10.0,WIN,9.174311926605505,1929.382050485643
2194,2025-03-16,14.836947968234568,WIN,14.130426636413876,1943.512477122057
2196,2025-03-16,10.0,WIN,9.25925925925926,1952.7717363813163
2198,2025-03-16,10.0,WIN,8.695652173913043,1961.4673885552293
2204,2025-03-16,17.402138671262048,LOSS,-17.402138671262048,1944.0652498839672
2206,2025-03-16,43.46065869740602,WIN,46.937511393198506,1991.0027612771657
2209,2025-03-16,38.284138809700906,LOSS,-38.284138809700906,1952.718622467465
2219,2025-03-16,26.556973265557524,WIN,26.556973265557524,1979.2755957330223
2222,2025-03-16,26.918148101969106,WIN,26.918148101969106,2006.1937438349914
2226,2025-03-16,10.0,LOSS,-10.0,1996.1937438349914
2229,2025-03-16,27.148234916155886,LOSS,-27.148234916155886,1969.0455089188356
2231,2025-03-16,15.141959963585817,WIN,14.420914251034112,1983.4664231698698
2232,2025-03-16,48.28839164771742,LOSS,-48.28839164771742,1935.1780315221524
2233,2025-03-16,10.0,WIN,8.695652173913043,1943.8736836960654
2235,2025-03-16,10.0,WIN,9.09090909090909,1952.9645927869744
