PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,is_star,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2025-03-26,aaron nesmith,16,19.767586,3.7675858,3.7675858,17.5,105.0,-115.0,"BetOnline.ag, Fanatics, DraftKings",16,19.767586,17.5,2.2675860000000014,2.2675860000000014,0.4878048780487805,0.5348837209302325,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-27,aaron nesmith,15,19.88258,4.88258,4.88258,17.5,115.0,-114.0,"BetOnline.ag, Fanatics, DraftKings",15,19.88258,17.5,2.382580000000001,2.382580000000001,0.46511627906976744,0.5327102803738317,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-31,aaron nesmith,30,17.519186,-12.480814,12.480814,18.5,-110.0,105.0,"Fanatics, DraftKings, BetOnline.ag",30,17.519186,18.5,-0.9808139999999987,0.9808139999999987,0.5238095238095238,0.4878048780487805,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-04-02,aaron nesmith,20,20.484348,0.4843483,0.4843483,18.5,-110.0,-114.0,"Fanatics, BetOnline.ag, BetMGM",20,20.484348,18.5,1.9843480000000007,1.9843480000000007,0.5238095238095238,0.5327102803738317,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-04-04,aaron nesmith,15,19.588455,4.588455,4.588455,18.5,-109.0,-115.0,"Fanatics, BetMGM, Bovada",15,19.588455,18.5,1.0884549999999997,1.0884549999999997,0.5215311004784688,0.5348837209302325,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-04-08,aaron nesmith,14,20.998009,6.9980087,6.9980087,16.5,-110.0,108.0,"BetOnline.ag, DraftKings, Bovada",14,20.998009,16.5,4.498009,4.498009,0.5238095238095238,0.4807692307692308,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-04-10,aaron nesmith,29,20.819489,-8.180511,8.180511,17.5,-115.0,-105.0,"DraftKings, BetOnline.ag, BetMGM",29,20.819489,17.5,3.319489000000001,3.319489000000001,0.5348837209302325,0.5121951219512195,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-04-13,aaron nesmith,15,21.487007,6.487007,6.487007,15.5,-115.0,-115.0,Bovada,15,21.487007,15.5,5.987006999999998,5.987006999999998,0.5348837209302325,0.5348837209302325,False,OVER,-100.0,False,False,True
Aaron Wiggins,2024-12-28,aaron wiggins,23,9.465301,-13.534699,13.534699,16.5,-118.0,-106.0,"BetOnline.ag, Caesars, BetMGM",23,9.465301,16.5,-7.034699,7.034699,0.5412844036697247,0.5145631067961165,False,NONE,0.0,False,False,False
Aaron Wiggins,2025-01-05,aaron wiggins,18,13.320652,-4.679348,4.679348,13.5,-123.0,-104.0,"Caesars, BetMGM, BetOnline.ag",18,13.320652,13.5,-0.17934799999999917,0.17934799999999917,0.5515695067264574,0.5098039215686274,False,NONE,0.0,False,False,False
