PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2024-04-03,aaron nesmith,IND,BKN,16,15.55916,-0.4408397674560547,0.4408397674560547,18.5,-108.0,-115.0,"DraftKings, PointsBet (US), BetMGM",16,15.55916,18.5,-2.9408399999999997,2.9408399999999997,0.5192307692307693,0.5348837209302325,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-05,aaron nesmith,IND,OKC,22,14.433865,-7.566135406494141,7.566135406494141,18.5,110.0,100.0,"DraftKings, PointsBet (US), BetMGM",22,14.433865,18.5,-4.066134999999999,4.066134999999999,0.47619047619047616,0.5,UNDER,-100.0,False,False,True
Aaron Nesmith,2024-04-07,aaron nesmith,IND,MIA,24,23.84476,-0.1552391052246093,0.1552391052246093,18.5,-105.0,-120.0,"DraftKings, PointsBet (US), Caesars",24,23.84476,18.5,5.344760000000001,5.344760000000001,0.5121951219512195,0.5454545454545454,OVER,95.23809523809523,True,False,False
Aaron Nesmith,2024-04-09,aaron nesmith,IND,TOR,14,14.370959,0.3709592819213867,0.3709592819213867,20.5,-102.0,-120.0,"DraftKings, Caesars, BetOnline.ag",14,14.370959,20.5,-6.129041000000001,6.129041000000001,0.504950495049505,0.5454545454545454,UNDER,83.33333333333334,True,False,False
Aaron Nesmith,2024-04-12,aaron nesmith,IND,CLE,21,18.829609,-2.170391082763672,2.170391082763672,17.5,-101.0,-110.0,"DraftKings, PointsBet (US), BetOnline.ag",21,18.829609,17.5,1.3296090000000014,1.3296090000000014,0.5024875621890548,0.5238095238095238,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-14,aaron nesmith,IND,ATL,12,10.823644,-1.176356315612793,1.176356315612793,19.5,-109.0,-115.0,"DraftKings, PointsBet (US), BetMGM",12,10.823644,19.5,-8.676356,8.676356,0.5215311004784688,0.5348837209302325,UNDER,86.95652173913044,True,False,False
Aaron Nesmith,2024-04-21,aaron nesmith,IND,MIL,14,20.337929,6.337928771972656,6.337928771972656,17.5,100.0,-110.0,"DraftKings, Caesars, BetOnline.ag",14,20.337929,17.5,2.837928999999999,2.837928999999999,0.5,0.5238095238095238,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-26,aaron nesmith,IND,MIL,24,22.578234,-1.4217662811279297,1.4217662811279297,19.5,185.0,-105.0,"DraftKings, FanDuel, PointsBet (US)",24,22.578234,19.5,3.0782339999999984,3.0782339999999984,0.3508771929824561,0.5121951219512195,OVER,185.0,True,False,False
Aaron Nesmith,2024-04-28,aaron nesmith,IND,MIL,17,20.158726,3.15872573852539,3.15872573852539,20.5,100.0,115.0,"PointsBet (US), FanDuel, BetOnline.ag",17,20.158726,20.5,-0.3412739999999985,0.3412739999999985,0.5,0.46511627906976744,NONE,0.0,False,False,False
Aaron Nesmith,2024-05-02,aaron nesmith,IND,MIL,19,16.125723,-2.874277114868164,2.874277114868164,19.5,-102.0,-106.0,"DraftKings, FanDuel, BetMGM",19,16.125723,19.5,-3.3742769999999993,3.3742769999999993,0.504950495049505,0.5145631067961165,UNDER,94.33962264150944,True,False,False
Aaron Nesmith,2024-05-06,aaron nesmith,IND,NYK,21,16.42061,-4.579389572143555,4.579389572143555,17.5,100.0,-108.0,"BetOnline.ag, PointsBet (US), DraftKings",21,16.42061,17.5,-1.07939,1.07939,0.5,0.5192307692307693,NONE,0.0,False,False,False
