PLAYER_NAME,PLAYER_ID,GAME_DATE,actual_pra,predicted_pra,error,residual,player_lower,game_date,line,over_price,under_price,bookmaker,betting_line,edge,abs_edge,bet_side,bet_result,bet_won,bet_pushed,bet_lost,quality_score,score_edge,score_confidence,score_context,score_consistency
Dyson Daniels,1630700,2024-12-08,28,29.19399,1.193990707397461,1.193990707397461,dyson daniels,2024-12-08,22.5,180.0,105.0,"BetOnline.ag, DraftKings, BetMGM",22.5,6.693989999999999,6.693989999999999,OVER,180.0,True,False,False,0.8400000000000001,0.9,0.8,1.0,0.6
Dyson Daniels,1630700,2025-02-23,35,32.47,2.529998779296875,-2.529998779296875,dyson daniels,2025-02-23,25.5,105.0,-110.0,"BetOnline.ag, Fanatics, FanDuel",25.5,6.969999999999999,6.969999999999999,OVER,105.0,True,False,False,0.7949999999999999,1.0,0.5,1.0,0.6
Dyson Daniels,1630700,2025-03-12,18,19.837627,1.837627410888672,1.837627410888672,dyson daniels,2025-03-12,25.5,-103.0,-115.0,"DraftKings, Fanatics, FanDuel",25.5,-5.662372999999999,5.662372999999999,UNDER,86.95652173913044,True,False,False,0.75,0.5,1.0,0.6,1.0
Bennedict Mathurin,1631097,2024-11-24,26,22.620007,3.379993438720703,-3.379993438720703,bennedict mathurin,2024-11-24,29.5,-109.0,-113.0,"BetOnline.ag, Caesars, BetMGM",29.5,-6.879992999999999,6.879992999999999,UNDER,88.49557522123894,True,False,False,0.975,1.0,1.0,0.9,1.0
Bennedict Mathurin,1631097,2025-03-20,47,30.596199,16.40380096435547,-16.40380096435547,bennedict mathurin,2025-03-20,24.5,-105.0,-103.0,"DraftKings, Fanatics, FanDuel",24.5,6.096198999999999,6.096198999999999,OVER,95.23809523809523,True,False,False,0.78,0.7,0.8,1.0,0.6
Shaedon Sharpe,1631101,2024-11-17,39,33.04804,5.951961517333984,-5.951961517333984,shaedon sharpe,2024-11-17,26.5,-105.0,-104.0,"DraftKings, FanDuel, BetOnline.ag",26.5,6.54804,6.54804,OVER,95.23809523809523,True,False,False,0.765,0.9,0.5,1.0,0.6
Max Christie,1631108,2025-03-27,17,19.908297,2.908296585083008,2.908296585083008,max christie,2025-03-27,13.5,100.0,-109.0,"DraftKings, Fanatics, BetMGM",13.5,6.408297000000001,6.408297000000001,OVER,100.0,True,False,False,0.81,0.7,1.0,0.6,1.0
Mark Williams,1631109,2025-04-08,17,21.716436,4.716436386108398,4.716436386108398,mark williams,2025-04-08,28.5,-108.0,100.0,"Fanatics, BetOnline.ag, Bovada",28.5,-6.783563999999998,6.783563999999998,UNDER,100.0,True,False,False,0.975,1.0,1.0,0.9,1.0
Jeremy Sochan,1631110,2024-12-25,32,31.324852,0.6751480102539062,-0.6751480102539062,jeremy sochan,2024-12-25,24.5,-103.0,115.0,"DraftKings, FanDuel, Bovada",24.5,6.824852,6.824852,OVER,97.0873786407767,True,False,False,0.87,1.0,0.8,1.0,0.6
Jaylin Williams,1631119,2025-01-26,15,18.652676,3.65267562866211,3.65267562866211,jaylin williams,2025-01-26,12.5,108.0,-125.0,"BetMGM, Caesars",12.5,6.152676,6.152676,OVER,108.0,True,False,False,0.81,0.7,1.0,0.6,1.0
Julian Strawther,1631124,2024-12-08,18,18.045885,0.0458850860595703,0.0458850860595703,julian strawther,2024-12-08,12.5,-130.0,108.0,"BetMGM, Caesars",12.5,5.545884999999998,5.545884999999998,OVER,76.92307692307693,True,False,False,0.75,0.5,1.0,0.6,1.0
Christian Braun,1631128,2024-12-08,29,26.247818,2.7521820068359375,-2.7521820068359375,christian braun,2024-12-08,20.5,-116.0,-106.0,"BetOnline.ag, BetMGM, Caesars",20.5,5.747817999999999,5.747817999999999,OVER,86.20689655172413,True,False,False,0.825,0.5,1.0,0.9,1.0
Christian Braun,1631128,2025-03-09,24,28.746485,4.746484756469727,4.746484756469727,christian braun,2025-03-09,22.5,-110.0,105.0,"FanDuel, Fanatics, DraftKings",22.5,6.246485,6.246485,OVER,90.9090909090909,True,False,False,0.78,0.7,0.8,1.0,0.6
Drew Timme,1631166,2025-04-06,22,19.643045,2.356954574584961,-2.356954574584961,drew timme,2025-04-06,25.5,-114.0,-114.0,"DraftKings, Fanatics, BetOnline.ag",25.5,-5.856954999999999,5.856954999999999,UNDER,87.71929824561403,True,False,False,0.75,0.5,1.0,0.6,1.0
Marcus Sasser,1631204,2025-04-07,12,17.156502,5.156501770019531,5.156501770019531,marcus sasser,2025-04-07,10.5,115.0,-155.0,BetMGM,10.5,6.656502,6.656502,OVER,115.0,True,False,False,0.8,0.9,0.8,0.6,0.9
Tyrese Martin,1631213,2025-03-18,13,18.229296,5.22929573059082,5.22929573059082,tyrese martin,2025-03-18,11.5,-120.0,-104.0,"BetOnline.ag, BetMGM",11.5,6.7292960000000015,6.7292960000000015,OVER,83.33333333333334,True,False,False,0.87,0.9,1.0,0.6,1.0
Keion Brooks Jr.,1631232,2025-04-08,19,20.61453,1.6145305633544922,1.6145305633544922,keion brooks jr.,2025-04-08,14.5,100.0,-130.0,Bovada,14.5,6.1145299999999985,6.1145299999999985,OVER,100.0,True,False,False,0.885,0.7,1.0,0.9,1.0
Victor Wembanyama,1641705,2024-10-24,27,33.60413,6.604129791259766,6.604129791259766,victor wembanyama,2024-10-24,40.5,-108.0,163.0,"DraftKings, FanDuel, Bovada",40.5,-6.895870000000002,6.895870000000002,UNDER,163.0,True,False,False,0.7949999999999999,1.0,0.5,1.0,0.6
Anthony Black,1641710,2025-03-25,25,21.342278,3.6577224731445312,-3.6577224731445312,anthony black,2025-03-25,15.5,-115.0,-110.0,"BetOnline.ag, Fanatics, FanDuel",15.5,5.842278,5.842278,OVER,86.95652173913044,True,False,False,0.825,0.5,1.0,0.9,1.0
Anthony Black,1641710,2025-04-13,32,21.842758,10.157241821289062,-10.157241821289062,anthony black,2025-04-13,27.5,110.0,-145.0,Bovada,27.5,-5.657242,5.657242,UNDER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Cason Wallace,1641717,2025-03-12,21,21.28748,0.2874794006347656,0.2874794006347656,cason wallace,2025-03-12,15.5,-114.0,110.0,"FanDuel, Fanatics, DraftKings",15.5,5.787479999999999,5.787479999999999,OVER,87.71929824561403,True,False,False,0.825,0.5,1.0,0.9,1.0
Keyonte George,1641718,2025-02-01,20,25.60097,5.600969314575195,5.600969314575195,keyonte george,2025-02-01,19.5,-113.0,100.0,"BetOnline.ag, FanDuel, BetMGM",19.5,6.10097,6.10097,OVER,88.49557522123894,True,False,False,0.885,0.7,1.0,0.9,1.0
Dereck Lively II,1641726,2025-01-12,28,28.107393,0.1073932647705078,0.1073932647705078,dereck lively ii,2025-01-12,21.5,-106.0,100.0,"FanDuel, DraftKings, BetRivers",21.5,6.607392999999998,6.607392999999998,OVER,94.33962264150944,True,False,False,0.8400000000000001,0.9,0.8,1.0,0.6
Bilal Coulibaly,1641731,2024-11-10,32,26.16568,5.834320068359375,-5.834320068359375,bilal coulibaly,2024-11-10,19.5,-108.0,-105.0,"Caesars, BetMGM, BetOnline.ag",19.5,6.665679999999998,6.665679999999998,OVER,92.5925925925926,True,False,False,0.9450000000000001,0.9,1.0,0.9,1.0
Colby Jones,1641732,2025-03-29,26,20.014019,5.985980987548828,-5.985980987548828,colby jones,2025-03-29,13.5,105.0,100.0,"DraftKings, BetMGM, Bovada",13.5,6.514019000000001,6.514019000000001,OVER,105.0,True,False,False,0.9450000000000001,0.9,1.0,0.9,1.0
Adem Bona,1641737,2025-03-29,27,20.404417,6.595582962036133,-6.595582962036133,adem bona,2025-03-29,14.5,-116.0,115.0,"BetOnline.ag, Bovada",14.5,5.904416999999999,5.904416999999999,OVER,86.20689655172413,True,False,False,0.825,0.5,1.0,0.9,1.0
Toumani Camara,1641739,2025-03-16,31,25.964516,5.035484313964844,-5.035484313964844,toumani camara,2025-03-16,19.5,-115.0,105.0,"BetOnline.ag, Fanatics, BetMGM",19.5,6.464516,6.464516,OVER,86.95652173913044,True,False,False,0.885,0.7,1.0,0.9,1.0
Toumani Camara,1641739,2025-03-23,29,24.161434,4.838565826416016,-4.838565826416016,toumani camara,2025-03-23,18.5,100.0,-105.0,"DraftKings, Fanatics, Caesars",18.5,5.661434,5.661434,OVER,100.0,True,False,False,0.825,0.5,1.0,0.9,1.0
Zach Edey,1641744,2025-04-08,36,28.60096,7.399040222167969,-7.399040222167969,zach edey,2025-04-08,22.5,-115.0,100.0,"BetOnline.ag, Bovada, BetMGM",22.5,6.100960000000001,6.100960000000001,OVER,86.95652173913044,True,False,False,0.78,0.7,0.8,1.0,0.6
Tosan Evbuomwan,1641787,2025-04-08,19,20.547846,1.5478458404541016,1.5478458404541016,tosan evbuomwan,2025-04-08,14.5,100.0,-130.0,Bovada,14.5,6.047846,6.047846,OVER,100.0,True,False,False,0.885,0.7,1.0,0.9,1.0
Zaccharie Risacher,1642258,2024-11-17,17,23.042345,6.04234504699707,6.04234504699707,zaccharie risacher,2024-11-17,17.5,-123.0,-103.0,"BetOnline.ag, BetMGM, Caesars",17.5,5.542345000000001,5.542345000000001,OVER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Zaccharie Risacher,1642258,2024-11-29,15,18.456682,3.4566822052001953,3.4566822052001953,zaccharie risacher,2024-11-29,11.5,-118.0,-106.0,"Caesars, BetMGM, BetOnline.ag",11.5,6.956682000000001,6.956682000000001,OVER,84.7457627118644,True,False,False,0.9,1.0,1.0,0.6,1.0
Zaccharie Risacher,1642258,2024-11-30,19,19.431429,0.4314289093017578,0.4314289093017578,zaccharie risacher,2024-11-30,13.5,-112.0,-105.0,"BetOnline.ag, Caesars, BetMGM",13.5,5.931429000000001,5.931429000000001,OVER,89.28571428571429,True,False,False,0.75,0.5,1.0,0.6,1.0
