PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost,predicted_PRA_calibrated,quality_score
Jalen Johnson,2024-11-30,jalen johnson,32,30.835672,-1.1643276,1.1643276,32.5,-114.0,175.0,"DraftKings, FanDuel, BetOnline.ag",32,30.835672,32.5,-6.692982456140349,6.692982456140349,0.5327102803738317,0.3636363636363636,UNDER,0.0,True,False,False,25.80701754385965,0.795
Chris Boucher,2024-12-01,chris boucher,10,16.163368,6.163368,6.163368,11.5,-109.0,-115.0,"BetOnline.ag, Caesars, BetMGM",10,16.163368,11.5,6.00228310502283,6.00228310502283,0.5215311004784688,0.5348837209302325,OVER,-100.0,False,False,True,17.50228310502283,0.765
Bennedict Mathurin,2024-12-01,bennedict mathurin,31,22.29235,-8.707649,8.707649,26.5,-115.0,-105.0,"DraftKings, BetOnline.ag, Caesars",31,22.29235,26.5,-6.085253456221199,6.085253456221199,0.5348837209302325,0.5121951219512195,UNDER,-100.0,False,False,True,20.4147465437788,0.7749999999999999
Elfrid Payton,2024-12-01,elfrid payton,14,18.466389,4.4663887,4.4663887,11.5,108.0,-114.0,"Caesars, BetOnline.ag, BetMGM",14,18.466389,11.5,6.00228310502283,6.00228310502283,0.4807692307692308,0.5327102803738317,OVER,108.0,True,False,False,17.50228310502283,0.765
Evan Mobley,2024-12-07,evan mobley,53,29.430672,-23.569328,23.569328,30.5,-105.0,-115.0,"BetOnline.ag, DraftKings, Caesars",53,29.430672,30.5,-6.8089887640449405,6.8089887640449405,0.5121951219512195,0.5348837209302325,UNDER,0.0,False,False,False,23.69101123595506,0.865
Jalen Suggs,2024-12-08,jalen suggs,32,24.17719,-7.822809,7.822809,28.5,110.0,150.0,"BetOnline.ag, FanDuel, DraftKings",32,24.17719,28.5,-6.812138728323699,6.812138728323699,0.4761904761904761,0.4,UNDER,-100.0,False,False,True,21.6878612716763,0.865
Josh Okogie,2024-12-08,josh okogie,5,9.474532,4.474532,4.474532,7.5,100.0,-130.0,"Caesars, BetMGM",5,9.474532,7.5,6.650900900900901,6.650900900900901,0.5,0.5652173913043478,OVER,0.0,False,False,False,14.1509009009009,0.75
Georges Niang,2024-12-08,georges niang,23,15.517051,-7.4829493,7.4829493,10.5,-120.0,100.0,"Caesars, BetMGM",23,15.517051,10.5,6.03846153846154,6.03846153846154,0.5454545454545454,0.5,OVER,83.33333333333334,True,False,False,16.53846153846154,0.765
Dalen Terry,2024-12-08,dalen terry,0,9.049025,9.049025,9.049025,6.5,-115.0,-113.0,"Caesars, BetMGM",0,9.049025,6.5,6.764840182648404,6.764840182648404,0.5348837209302325,0.5305164319248826,OVER,0.0,False,False,False,13.264840182648404,0.78
Jalen Suggs,2024-12-15,jalen suggs,22,28.114752,6.114752,6.114752,30.5,163.0,-110.0,"FanDuel, DraftKings, Caesars",22,28.114752,30.5,-6.8089887640449405,6.8089887640449405,0.3802281368821292,0.5238095238095238,UNDER,0.0,True,False,False,23.69101123595506,0.865
Jordan Poole,2024-12-15,jordan poole,31,29.33577,-1.6642303,1.6642303,30.5,104.0,-114.0,"FanDuel, DraftKings, Caesars",31,29.33577,30.5,-6.8089887640449405,6.8089887640449405,0.4901960784313725,0.5327102803738317,UNDER,0.0,False,False,False,23.69101123595506,0.865
Gabe Vincent,2024-12-21,gabe vincent,6,9.277893,3.277893,3.277893,7.5,-105.0,-125.0,"Caesars, BetMGM",6,9.277893,7.5,6.650900900900901,6.650900900900901,0.5121951219512195,0.5555555555555556,OVER,0.0,False,False,False,14.1509009009009,0.75
