PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2024-04-26,aaron nesmith,24,22.221046,-1.7789536,1.7789536,19.5,185.0,-105.0,"DraftKings, FanDuel, PointsBet (US)",24,22.221046,19.5,2.721046000000001,2.721046000000001,0.3508771929824561,0.5121951219512195,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-28,aaron nesmith,17,26.998535,9.998535,9.998535,20.5,100.0,115.0,"PointsBet (US), FanDuel, BetOnline.ag",17,26.998535,20.5,6.498535,6.498535,0.5,0.46511627906976744,OVER,-100.0,False,False,True
Aaron Nesmith,2024-05-02,aaron nesmith,19,11.677503,-7.3224974,7.3224974,19.5,-102.0,-106.0,"DraftKings, FanDuel, BetMGM",19,11.677503,19.5,-7.822497,7.822497,0.504950495049505,0.5145631067961165,UNDER,94.33962264150944,True,False,False
Aaron Nesmith,2024-05-06,aaron nesmith,21,21.449951,0.44995117,0.44995117,17.5,100.0,-108.0,"BetOnline.ag, PointsBet (US), DraftKings",21,21.449951,17.5,3.9499509999999987,3.9499509999999987,0.5,0.5192307692307693,OVER,100.0,True,False,False
Aaron Nesmith,2024-05-10,aaron nesmith,17,10.81066,-6.1893396,6.1893396,17.5,-110.0,-110.0,"DraftKings, FanDuel, BetOnline.ag",17,10.81066,17.5,-6.68934,6.68934,0.5238095238095238,0.5238095238095238,UNDER,90.9090909090909,True,False,False
Aaron Nesmith,2024-05-12,aaron nesmith,21,20.057564,-0.9424362,0.9424362,16.5,-118.0,-102.0,"DraftKings, Caesars, BetOnline.ag",21,20.057564,16.5,3.5575639999999993,3.5575639999999993,0.5412844036697247,0.504950495049505,OVER,84.7457627118644,True,False,False
Aaron Nesmith,2024-05-19,aaron nesmith,24,17.771973,-6.2280273,6.2280273,16.5,100.0,-115.0,"DraftKings, FanDuel, BetMGM",24,17.771973,16.5,1.2719729999999991,1.2719729999999991,0.5,0.5348837209302325,NONE,0.0,False,False,False
Aaron Wiggins,2024-01-28,aaron wiggins,8,12.765104,4.7651043,4.7651043,10.5,-108.0,-120.0,"BetOnline.ag, BetMGM",8,12.765104,10.5,2.265103999999999,2.265103999999999,0.5192307692307693,0.5454545454545454,NONE,0.0,False,False,False
Aaron Wiggins,2024-02-10,aaron wiggins,11,15.174809,4.1748095,4.1748095,10.5,-112.0,-110.0,"BetOnline.ag, BetMGM",11,15.174809,10.5,4.674809,4.674809,0.5283018867924528,0.5238095238095238,OVER,89.28571428571429,True,False,False
Aaron Wiggins,2024-02-11,aaron wiggins,7,13.396804,6.396804,6.396804,12.5,104.0,-127.0,"BetOnline.ag, Caesars, BetMGM",7,13.396804,12.5,0.8968039999999995,0.8968039999999995,0.49019607843137253,0.5594713656387665,NONE,0.0,False,False,False
Aaron Wiggins,2024-03-10,aaron wiggins,8,12.760571,4.7605705,4.7605705,10.5,-105.0,-120.0,"BetOnline.ag, BetMGM",8,12.760571,10.5,2.2605710000000006,2.2605710000000006,0.5121951219512195,0.5454545454545454,NONE,0.0,False,False,False
Aaron Wiggins,2024-03-22,aaron wiggins,6,10.600061,4.6000614,4.6000614,8.5,-105.0,-123.0,"BetOnline.ag, BetMGM",6,10.600061,8.5,2.100061,2.100061,0.5121951219512195,0.5515695067264574,NONE,0.0,False,False,False
Aaron Wiggins,2024-03-24,aaron wiggins,11,6.5596056,-4.4403944,4.4403944,6.5,-130.0,100.0,"BetOnline.ag, BetMGM",11,6.5596056,6.5,0.05960560000000026,0.05960560000000026,0.5652173913043478,0.5,NONE,0.0,False,False,False
Aaron Wiggins,2024-04-02,aaron wiggins,20,9.542423,-10.457577,10.457577,18.5,-105.0,-119.0,"DraftKings, PointsBet (US), BetMGM",20,9.542423,18.5,-8.957577,8.957577,0.5121951219512195,0.54337899543379,UNDER,-100.0,False,False,True
