bet_num,date,bet_size,bet_won,profit,bankroll
39,2024-11-17,79.22156289531199,True,72.01960263210181,1409.09239411416
40,2024-11-17,83.48872435126403,True,75.89884031933093,1484.991234433491
41,2024-11-24,87.98573064018439,True,79.98702785471308,1564.978262288204
42,2024-11-24,92.72496204057613,True,84.29542003688739,1649.2736823250914
43,2024-11-24,97.71946567776172,False,-97.71946567776172,1551.5542166473297
44,2024-11-29,91.92958733635433,True,83.57235212395848,1635.1265687712882
45,2024-12-01,96.88124919969889,True,88.07386290881716,1723.2004316801053
46,2024-12-01,102.0996255770463,True,92.81784143367845,1816.0182731137838
47,2024-12-01,107.59908268199175,True,97.81734789271977,1913.8356210065035
48,2024-12-01,113.39476054463539,True,103.08614594966853,2016.921766956172
49,2024-12-01,119.50261469215326,True,108.63874062923023,2125.5605075854023
50,2024-12-01,125.93946007443516,True,114.49041824948651,2240.050925834889
51,2024-12-01,132.72301735571725,True,120.6572885051975,2360.708214340086
52,2024-12-01,139.87196169965017,True,127.1563288178638,2487.86454315795
53,2024-12-01,147.4059741821086,True,134.00543107464418,2621.869974232594
54,2024-12-01,155.34579597328127,True,141.22345088480114,2763.093425117395
55,2024-12-01,163.71328543820573,True,148.83025948927792,2911.923684606673
56,2024-12-08,172.53147831294547,False,-172.53147831294547,2739.392206293727
57,2024-12-08,162.30898822290342,False,-162.30898822290342,2577.083218070824
58,2024-12-08,152.6921806706964,False,-152.6921806706964,2424.3910374001275
59,2024-12-08,143.64516896595762,True,130.58651724177966,2554.9775546419073
60,2024-12-08,151.38242011253308,False,-151.38242011253308,2403.5951345293743
61,2024-12-08,142.4130117208655,False,-142.4130117208655,2261.1821228085087
62,2024-12-08,133.9750407764042,False,-133.9750407764042,2127.2070820321046
63,2024-12-08,126.03701961040227,False,-126.03701961040227,2001.1700624217024
64,2024-12-08,118.56932619848592,False,-118.56932619848592,1882.6007362232165
65,2024-12-08,111.54409362122564,False,-111.54409362122564,1771.056642601991
66,2024-12-15,104.93510607416802,True,95.39555097651638,1866.4521935785074
67,2024-12-15,110.58729246952662,True,100.5339022450242,1966.9860958235315
68,2024-12-15,116.54392617754431,True,105.94902379776755,2072.9351196212992
69,2024-12-15,122.82140583756204,False,-122.82140583756204,1950.1137137837372
70,2024-12-15,115.5442375416865,False,-115.5442375416865,1834.5694762420508
71,2024-12-15,108.69824146734156,False,-108.69824146734156,1725.8712347747091
72,2024-12-25,102.25787066040157,False,-102.25787066040157,1623.6133641143076
73,2024-12-25,96.19909182377278,False,-96.19909182377278,1527.4142722905349
74,2024-12-25,90.49929563321425,False,-90.49929563321425,1436.9149766573207
75,2024-12-25,85.1372123669463,True,77.397465788133,1514.3124424454538
76,2024-12-25,89.72301221489319,True,81.56637474081198,1595.878817186266
77,2024-12-29,94.5558199182863,True,85.95983628935119,1681.838653475617
78,2024-12-29,99.64894021843037,True,90.58994565311852,1772.4285991287356
79,2024-12-29,105.01639449837764,True,95.46944954397966,1867.8980486727153
80,2024-12-29,110.67295938385844,True,100.61178125805313,1968.5098299307683
81,2024-12-29,116.63420742339808,True,106.03109765763462,2074.540927588403
82,2024-12-29,122.91654995961295,True,111.74231814510267,2186.2832457335057
83,2024-12-29,129.5372823097103,True,117.76116573610027,2304.044411469606
84,2024-12-31,136.51463137957424,True,124.10421034506749,2428.148621814674
85,2025-01-05,143.8678058425195,True,130.78891440229043,2558.9375362169644
86,2025-01-12,151.61704902085523,False,-151.61704902085523,2407.3204871961093
87,2025-01-12,142.63373886636955,False,-142.63373886636955,2264.6867483297397
88,2025-01-12,134.18268983853716,False,-134.18268983853716,2130.5040584912026
89,2025-01-12,126.23236546560382,False,-126.23236546560382,2004.2716930255988
90,2025-01-12,118.75309781176679,True,107.95736164706072,2112.2290546726595
91,2025-01-12,125.14957148935514,True,113.77233771759558,2226.001392390255
92,2025-01-12,131.8905824991227,True,119.90052954465699,2345.901921934912
93,2025-01-12,138.9946888746436,True,126.35880806785781,2472.26073000277
94,2025-01-19,146.4814482526642,True,133.16495295696745,2605.425682959737
