Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Chris Paul,29.5,LAC,Point,444,100,58.2%,0,15%,47,17%,93,37%,73,54%,47,3%,60,28%,53,31%
Paul Pierce,37.1,WAS,Wing,297,97,65.2%,20,14%,34,10%,49,16%,43,26%,51,12%,91,47%,83,59%
Quincy Pondexter,26.6,NOP,Wing,124,3,37.0%,83,40%,83,20%,17,10%,54,30%,40,10%,26,20%,26,30%
Otto Porter,21.4,WAS,Wing,329,60,51.1%,89,42%,54,14%,20,11%,31,24%,66,16%,17,18%,37,34%
Pablo Prigioni,37.5,HOU,Point,279,47,43.1%,7,17%,0,4%,0,11%,0,15%,53,4%,100,64%,100,68%
Zach Randolph,33.3,MEM,Big,380,19,42.8%,21,33%,95,43%,70,21%,91,64%,0,0%,63,2%,58,2%
JJ Redick,30.4,LAC,Wing,539,80,54.3%,6,9%,26,9%,89,30%,71,38%,77,18%,80,35%,71,53%
Austin Rivers,22.3,LAC,Combo,233,61,50.0%,78,36%,72,24%,11,11%,39,35%,39,7%,39,22%,44,29%
Derrick Rose,26.1,CHI,Combo,452,33,44.8%,61,33%,56,19%,78,23%,67,42%,6,1%,56,24%,28,26%
Terrence Ross,23.7,TOR,Wing,104,51,48.3%,3,7%,60,14%,57,17%,57,31%,100,28%,77,34%,89,62%
Dennis Schroder,21.1,ATL,Point,281,27,41.3%,100,47%,40,16%,13,15%,13,31%,40,3%,27,19%,27,22%
Mike Scott,26.3,ATL,Big,157,16,41.5%,33,35%,21,13%,40,6%,12,19%,91,9%,95,37%,93,46%
Ramon Sessions,28.6,WAS,Combo,217,44,46.3%,89,45%,22,14%,28,12%,11,26%,61,8%,33,22%,50,30%
Iman Shumpert,24.4,CLE,Wing,693,43,46.6%,40,21%,29,9%,51,17%,40,26%,94,27%,51,26%,74,53%
JR Smith,29.1,CLE,Wing,552,77,54.0%,9,9%,11,7%,54,17%,23,24%,60,16%,97,51%,97,67%
Josh Smith,28.9,HOU,Big,393,53,50.8%,21,33%,63,28%,33,4%,42,32%,86,5%,84,29%,84,34%
Tony Snell,23.0,CHI,Wing,121,46,47.2%,11,11%,17,8%,43,16%,20,24%,66,16%,94,50%,94,66%
Tiago Splitter,29.8,SAS,Big,123,5,37.5%,91,81%,40,19%,0,0%,14,19%,0,0%,0,0%,0,0%
Jeff Teague,26.4,ATL,Point,526,53,45.4%,93,40%,87,22%,7,12%,27,35%,33,2%,33,23%,33,25%
Jason Terry,37.1,HOU,Combo,485,72,53.4%,17,12%,28,15%,39,13%,22,28%,94,27%,78,34%,89,61%
Isaiah Thomas,25.7,BOS,Point,118,0,36.1%,67,31%,27,15%,67,24%,60,39%,20,2%,67,29%,40,31%
Klay Thompson,24.7,GSW,Wing,758,71,53.1%,34,19%,66,16%,69,22%,69,38%,54,13%,60,29%,63,42%
Tristan Thompson,23.6,CLE,Big,724,72,55.5%,72,64%,81,34%,14,2%,44,36%,0,0%,0,0%,0,0%
Evan Turner,26.0,BOS,Combo,116,11,38.6%,67,33%,50,19%,100,40%,94,58%,17,2%,11,6%,6,8%
Beno Udrih,32.3,MEM,Point,171,60,45.8%,20,21%,53,17%,100,41%,93,58%,60,4%,20,17%,20,21%
Jonas Valanciunas,22.5,TOR,Big,103,58,51.4%,58,56%,93,41%,21,2%,72,44%,0,0%,0,0%,0,0%
John Wall,24.2,WAS,Point,271,33,42.0%,80,33%,80,21%,87,33%,80,54%,27,2%,13,11%,13,12%
Deron Williams,30.3,BKN,Point,191,73,47.8%,27,26%,7,10%,73,26%,40,36%,100,12%,47,26%,87,38%
Lou Williams,28.0,TOR,Combo,102,6,36.0%,22,12%,94,36%,56,17%,83,53%,72,10%,44,24%,61,34%
Thaddeus Young,26.4,BKN,Big,189,26,43.9%,56,52%,65,28%,60,14%,65,42%,0,0%,67,6%,67,6%
