Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Boris Diaw,33.5,SAS,Big,138,50,17.1%,21,100.0,89,18.8%,92,1.10,68,9.7%
Goran Dragic,29.5,MIA,Point,470,38,26.7%,63,104.5,13,21.3%,13,0.80,56,11.7%
Andre Drummond,22.2,DET,Big,131,87,24.3%,18,97.1,0,0.0%,0,0.00,89,6.2%
Tim Duncan,39.5,SAS,Big,216,34,15.1%,16,96.7,50,8.6%,66,0.57,29,14.5%
Kevin Durant,27.1,OKC,Forward,723,89,30.5%,56,109.7,78,14.4%,50,0.47,50,12.4%
Monta Ellis,30.0,IND,Combo,225,46,22.7%,15,101.3,77,24.2%,85,1.06,15,15.8%
Festus Ezeli,26.0,GSW,Big,187,74,19.7%,53,107.1,29,4.9%,24,0.25,37,13.8%
Jordan Farmar,28.9,MEM,Point,100,13,18.8%,13,77.8,25,25.4%,88,1.35,0,20.9%
Raymond Felton,31.3,DAL,Combo,160,77,25.7%,38,104.3,92,25.0%,62,0.97,23,13.6%
Randy Foye,32.1,OKC,Combo,148,0,11.0%,0,86.2,8,10.2%,46,0.93,8,16.4%
Channing Frye,32.5,CLE,Big,227,11,11.7%,100,160.6,24,3.3%,29,0.29,79,9.0%
Paul George,25.5,IND,Forward,274,94,31.6%,89,123.4,94,21.7%,72,0.69,44,12.8%
Manu Ginobili,38.3,SAS,Wing,190,45,16.9%,72,117.5,93,18.4%,97,1.09,31,9.9%
Danny Green,28.4,SAS,Wing,263,10,11.0%,93,132.3,0,3.6%,7,0.33,38,9.8%
Draymond Green,25.7,GSW,Big,876,76,20.6%,58,109.9,95,22.7%,95,1.10,39,13.6%
Jeff Green,29.2,LAC,Forward,154,61,16.5%,50,107.0,11,4.0%,0,0.24,94,5.2%
Blake Griffin,26.6,LAC,Big,126,97,27.0%,11,93.8,92,20.5%,84,0.76,55,11.8%
James Harden,26.2,HOU,Combo,192,92,34.1%,85,110.2,100,41.6%,100,1.22,0,16.5%
Maurice Harkless,22.5,POR,Forward,270,78,18.7%,33,99.2,33,4.6%,6,0.25,78,8.4%
Devin Harris,32.7,DAL,Wing,117,28,13.9%,76,118.2,48,9.9%,79,0.71,59,8.5%
Tobias Harris,23.3,DET,Big,156,66,18.4%,66,111.5,76,11.7%,74,0.63,63,10.5%
Gerald Henderson,27.9,POR,Wing,233,48,17.2%,3,87.4,66,11.7%,72,0.68,97,5.5%
George Hill,29.5,IND,Point,234,6,15.5%,100,141.8,0,11.0%,0,0.71,69,10.7%
Solomon Hill,24.6,IND,Forward,195,0,9.8%,100,138.5,44,6.5%,67,0.67,89,7.5%
Al Horford,29.4,ATL,Big,326,68,18.6%,55,107.3,87,16.2%,87,0.87,50,12.6%
Dwight Howard,29.9,HOU,Big,176,47,17.0%,21,100.0,45,8.2%,55,0.48,16,16.8%
Serge Ibaka,26.1,OKC,Big,599,5,10.6%,87,126.6,8,2.4%,16,0.22,92,6.1%
Andre Iguodala,31.8,GSW,Forward,765,22,13.1%,61,113.3,89,16.3%,100,1.24,67,10.0%
Kyrie Irving,23.6,CLE,Combo,771,85,30.6%,100,116.3,62,22.2%,23,0.73,77,9.3%
Reggie Jackson,25.5,DET,Point,147,44,28.1%,44,101.8,88,41.1%,94,1.46,50,12.0%
LeBron James,30.8,CLE,Forward,819,100,32.6%,78,117.4,100,34.9%,94,1.07,39,13.0%
Al Jefferson,30.8,CHA,Big,168,92,26.7%,45,104.5,74,11.6%,47,0.43,87,6.7%
Richard Jefferson,35.4,CLE,Forward,338,11,10.8%,94,124.4,17,4.3%,28,0.40,17,14.1%
Jonas Jerebko,28.7,BOS,Forward,162,28,13.1%,72,114.6,67,10.1%,89,0.77,56,10.1%
Amir Johnson,28.5,BOS,Big,133,24,14.1%,95,137.8,32,5.3%,42,0.37,0,24.1%
Joe Johnson,34.3,MIA,Wing,489,69,19.1%,41,102.4,55,11.2%,59,0.59,48,9.3%
DeAndre Jordan,27.3,LAC,Big,197,42,16.4%,42,104.5,55,8.7%,63,0.53,74,9.6%
Cory Joseph,24.2,TOR,Combo,437,38,21.0%,46,105.0,54,20.4%,69,0.97,69,10.7%
Frank Kaminsky,22.6,CHA,Big,184,29,14.4%,5,88.7,39,5.7%,45,0.40,100,3.7%
Enes Kanter,23.4,OKC,Big,296,61,18.2%,89,128.0,5,1.8%,3,0.10,42,13.0%
Kyle Korver,34.6,ATL,Wing,315,3,9.8%,97,133.8,3,4.1%,21,0.42,34,9.8%
Courtney Lee,30.1,CHA,Wing,256,21,11.6%,45,103.4,24,5.7%,41,0.49,72,7.9%
Kawhi Leonard,24.3,SAS,Wing,337,93,27.0%,79,121.6,83,14.0%,48,0.52,69,8.1%
Damian Lillard,25.3,POR,Point,436,69,31.0%,75,106.2,50,28.2%,25,0.91,75,10.2%
Jeremy Lin,27.2,CHA,Combo,188,69,24.1%,77,108.8,46,18.4%,31,0.76,54,11.5%
Shaun Livingston,30.1,GSW,Combo,507,31,19.5%,62,105.5,69,22.8%,92,1.16,38,11.9%
Kevin Love,27.1,CLE,Big,611,79,21.5%,50,106.9,66,10.2%,50,0.47,76,9.4%
Kyle Lowry,29.6,TOR,Point,765,50,29.0%,38,101.6,44,27.7%,38,0.96,25,13.2%
Ian Mahinmi,29.0,IND,Big,171,58,18.0%,47,105.6,53,8.7%,53,0.48,3,21.9%
Wesley Matthews,29.0,DAL,Wing,173,59,18.1%,21,95.6,21,5.7%,3,0.32,93,5.8%
CJ McCollum,24.1,POR,Combo,441,62,23.1%,31,103.7,15,13.8%,0,0.60,92,8.0%
Josh McRoberts,28.7,MIA,Big,121,37,15.6%,29,102.7,58,9.1%,71,0.58,84,7.6%
Patty Mills,27.2,SAS,Combo,160,23,18.8%,54,105.5,38,18.3%,77,0.98,31,12.1%
Paul Millsap,30.7,ATL,Big,364,82,22.2%,37,103.7,82,12.8%,68,0.58,34,14.2%
Marcus Morris,26.2,DET,Wing,143,83,20.9%,83,122.4,69,11.8%,55,0.56,66,8.3%
Dirk Nowitzki,37.4,DAL,Big,169,84,23.7%,68,113.3,47,8.3%,39,0.35,82,8.0%
Zaza Pachulia,31.7,DAL,Big,106,45,16.6%,32,103.2,97,22.7%,97,1.37,97,5.4%
Tony Parker,33.5,SAS,Point,263,31,25.4%,50,102.0,63,30.8%,69,1.21,38,12.7%
Patrick Patterson,26.6,TOR,Big,582,18,12.7%,34,103.4,42,6.4%,61,0.51,58,11.3%
Chris Paul,30.5,LAC,Point,124,88,34.5%,88,113.4,94,45.3%,81,1.31,100,4.2%
Mason Plumlee,25.7,POR,Big,303,55,17.4%,8,89.5,100,25.2%,100,1.45,5,19.0%
Norman Powell,22.4,TOR,Wing,173,31,14.2%,24,96.2,14,5.5%,14,0.39,52,9.2%
Zach Randolph,34.3,MEM,Big,119,95,26.9%,3,78.8,84,13.2%,58,0.49,71,9.7%
JJ Redick,31.4,LAC,Wing,166,66,18.8%,38,101.3,10,5.1%,0,0.27,83,7.1%
Josh Richardson,22.1,MIA,Combo,378,8,12.9%,8,100.0,0,8.4%,8,0.65,46,11.7%
Austin Rivers,23.2,LAC,Combo,139,54,23.1%,23,101.6,31,18.3%,38,0.79,85,8.4%
Andre Roberson,23.9,OKC,Wing,464,0,9.2%,55,106.4,7,4.2%,28,0.46,28,11.2%
Terrence Ross,24.7,TOR,Wing,313,62,18.3%,31,99.1,28,6.3%,10,0.34,21,12.2%
Dennis Schroder,22.1,ATL,Point,186,94,34.7%,69,104.6,81,39.8%,63,1.15,19,14.9%
Luis Scola,35.5,TOR,Big,131,21,13.8%,0,69.7,61,9.3%,79,0.67,47,12.8%
Mike Scott,27.3,ATL,Big,153,16,12.6%,97,150.0,18,3.1%,21,0.24,8,18.8%
Thabo Sefolosha,31.5,ATL,Wing,200,38,15.1%,62,111.3,76,13.8%,90,0.92,7,15.5%
Iman Shumpert,25.3,CLE,Wing,347,7,10.4%,34,100.0,31,6.8%,62,0.65,0,17.6%
Marcus Smart,21.7,BOS,Wing,191,72,19.7%,52,104.3,90,16.1%,83,0.82,3,17.2%
JR Smith,30.1,CLE,Wing,729,17,11.6%,86,124.1,17,5.5%,38,0.48,90,5.9%
Marreese Speights,28.2,GSW,Big,163,100,29.8%,39,103.8,63,9.8%,34,0.33,26,14.6%
Rodney Stuckey,29.5,IND,Wing,123,76,20.5%,17,93.6,100,22.6%,100,1.10,45,9.4%
Jeff Teague,27.4,ATL,Point,278,63,30.9%,31,100.0,69,35.3%,56,1.14,31,12.8%
Jason Terry,38.1,HOU,Wing,119,24,12.8%,28,97.1,34,6.8%,52,0.53,59,8.5%
Isaiah Thomas,26.7,BOS,Point,219,56,29.8%,81,106.6,56,28.8%,44,0.97,81,9.1%
Klay Thompson,25.7,GSW,Wing,847,90,25.5%,69,117.4,59,11.3%,24,0.44,41,9.5%
Tristan Thompson,24.6,CLE,Big,620,0,10.0%,61,110.2,21,3.3%,37,0.33,53,11.9%
Evan Turner,27.0,BOS,Wing,214,86,23.8%,0,84.9,97,22.1%,93,0.93,10,14.5%
Myles Turner,19.6,IND,Big,197,63,18.3%,13,96.0,16,2.8%,8,0.15,18,15.8%
Jonas Valanciunas,23.5,TOR,Big,314,71,19.7%,74,118.4,37,5.4%,26,0.28,45,12.9%
Dwyane Wade,33.8,MIA,Combo,471,100,34.1%,69,106.0,85,24.4%,15,0.72,62,11.2%
Dion Waiters,23.9,OKC,Wing,463,34,14.6%,48,103.9,72,12.7%,86,0.87,24,12.1%
Kemba Walker,25.5,CHA,Point,259,81,34.5%,25,95.2,19,24.8%,6,0.72,94,6.4%
David West,35.2,SAS,Big,157,53,17.2%,21,100.0,71,11.0%,76,0.64,66,10.3%
Russell Westbrook,27.0,OKC,Point,672,100,39.2%,56,102.9,100,48.4%,75,1.24,44,12.7%
Hassan Whiteside,26.4,MIA,Big,290,32,14.4%,92,136.4,3,1.6%,5,0.11,24,14.9%
Marvin Williams,29.4,CHA,Forward,226,6,10.8%,6,67.9,22,4.3%,33,0.40,100,3.8%
Justise Winslow,19.6,MIA,Forward,321,33,13.8%,44,103.5,6,3.8%,17,0.28,33,13.1%
Cody Zeller,23.1,CHA,Big,136,39,16.1%,82,120.4,13,2.7%,11,0.17,32,14.4%
