Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Chet Holmgren,21.5,OKC,Big,343,35,54.7%,91,80%,65,48%,50,40%,47,46%,0,29%,0,26%,0,26%
Al Horford,37.4,BOS,Big,574,71,60.9%,97,82%,74,54%,62,50%,85,53%,100,41%,25,35%,47,37%
Brandon Ingram,26.2,NOP,Wing,207,4,40.7%,14,42%,25,30%,64,43%,39,38%,0,0%,0,57%,0,40%
Kyrie Irving,31.6,DAL,Combo,879,44,53.4%,28,60%,67,47%,50,49%,72,47%,33,33%,53,40%,42,39%
Jonathan Isaac,26.1,ORL,Forward,140,40,51.3%,24,56%,40,33%,0,0%,24,33%,67,42%,0,14%,38,35%
Isaiah Jackson,21.8,IND,Big,130,26,52.9%,18,56%,53,44%,0,0%,41,44%,0,0%,0,0%,0,0%
Reggie Jackson,33.5,DEN,Combo,111,11,45.2%,6,20%,72,50%,22,33%,33,42%,0,25%,87,44%,63,40%
LeBron James,38.8,LAL,Forward,244,76,55.9%,44,63%,68,44%,80,50%,72,46%,0,0%,50,34%,33,33%
Jaime Jaquez Jr.,22.7,MIA,Wing,179,36,48.1%,75,65%,46,38%,71,50%,46,39%,0,13%,0,42%,21,30%
Isaiah Joe,24.3,OKC,Wing,172,89,59.3%,100,80%,68,50%,57,38%,50,40%,0,54%,47,35%,71,41%
Nikola Jokic,28.7,DEN,Big,481,50,58.1%,85,77%,71,52%,47,36%,76,50%,0,100%,17,27%,12,28%
Herbert Jones,25.1,NOP,Forward,200,64,53.9%,36,58%,0,0%,20,0%,0,0%,89,44%,0,25%,50,37%
Derrick Jones Jr.,26.7,DAL,Forward,646,80,56.0%,56,66%,40,33%,20,0%,20,32%,78,44%,14,26%,63,38%
Nikola Jovic,20.4,MIA,Big,160,41,57.0%,65,71%,50,43%,21,0%,21,33%,0,50%,42,37%,65,41%
Maxi Kleber,31.8,DAL,Big,218,47,57.9%,9,50%,15,25%,21,0%,12,20%,0,88%,8,26%,88,44%
Luke Kornet,28.3,BOS,Big,119,97,68.4%,50,68%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Caris LeVert,29.2,CLE,Wing,257,14,44.1%,96,75%,36,36%,43,22%,25,32%,0,0%,0,19%,0,16%
Damian Lillard,33.3,MIL,Point,155,71,54.5%,29,56%,21,33%,21,29%,14,29%,0,100%,83,40%,93,42%
Dereck Lively II,19.7,DAL,Big,459,94,67.9%,71,74%,9,10%,0,0%,9,10%,0,100%,0,0%,0,100%
