Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Rodney Hood,27.0,POR,Forward,618,96,60.5%,4,13%,97,31%,91,17%,96,48%,68,16%,29,23%,51,39%
Al Horford,33.4,PHI,Big,2022,26,51.8%,13,24%,67,22%,92,16%,85,38%,50,5%,78,34%,69,39%
Danuel House,26.4,HOU,Forward,1875,73,55.2%,33,29%,7,6%,12,1%,4,7%,99,29%,76,35%,91,64%
Dwight Howard,33.9,LAL,Big,1266,99,72.9%,96,88%,20,11%,12,1%,13,12%,20,1%,16,0%,14,1%
Kevin Huerter,21.2,ATL,Wing,1755,49,51.9%,27,18%,72,18%,59,11%,67,29%,35,10%,80,43%,64,53%
DeAndre Hunter,21.9,ATL,Forward,2007,32,49.1%,40,30%,52,15%,79,13%,69,28%,63,15%,45,26%,56,41%
Chandler Hutchison,23.5,CHI,Forward,517,24,47.7%,100,62%,61,19%,15,1%,45,20%,25,9%,3,8%,3,18%
Serge Ibaka,30.1,TOR,Big,1476,63,56.3%,27,32%,88,29%,85,14%,93,43%,38,3%,60,23%,51,25%
Andre Iguodala,35.8,MIA,Forward,412,47,52.3%,47,32%,27,9%,67,9%,35,18%,92,24%,49,26%,79,51%
Ersan Ilyasova,32.5,MIL,Big,970,40,54.1%,42,41%,31,14%,61,6%,39,20%,75,12%,67,27%,70,39%
Joe Ingles,32.1,UTA,Forward,2131,84,57.5%,12,20%,47,15%,31,3%,39,18%,64,15%,92,46%,87,62%
Brandon Ingram,22.2,NOP,Forward,2102,60,53.3%,43,32%,63,19%,89,17%,85,36%,24,9%,28,23%,24,32%
Kyrie Irving,27.6,BKN,Point,657,76,54.4%,43,26%,73,25%,69,17%,76,41%,20,3%,47,29%,39,32%
Jonathan Isaac,22.1,ORL,Big,973,24,51.7%,45,43%,42,15%,88,15%,71,30%,58,7%,56,20%,54,27%
Wes Iwundu,24.9,ORL,Forward,911,23,47.6%,57,36%,53,16%,88,17%,79,33%,40,12%,21,19%,19,31%
Frank Jackson,21.5,NOP,Point,734,33,49.5%,49,27%,49,19%,39,10%,35,29%,94,16%,37,27%,73,43%
Jaren Jackson,20.1,MEM,Big,1620,65,57.0%,28,32%,67,21%,26,2%,50,23%,73,10%,80,35%,77,45%
Josh Jackson,22.7,MEM,Forward,365,57,52.9%,55,35%,68,20%,40,4%,59,24%,65,15%,44,26%,55,41%
Justin Jackson,24.6,DAL,Forward,968,17,46.4%,24,26%,91,26%,39,4%,72,30%,39,11%,73,33%,63,44%
Reggie Jackson,29.5,DET,Point,380,12,46.2%,16,21%,94,30%,29,9%,67,39%,41,5%,69,36%,57,41%
Reggie Jackson,29.5,LAC,Combo,344,91,56.6%,44,27%,58,21%,26,6%,35,27%,92,14%,56,32%,77,46%
Justin James,22.8,SAC,Wing,181,8,43.4%,61,33%,74,19%,76,15%,81,33%,61,15%,14,19%,25,33%
LeBron James,34.8,LAL,Forward,2315,72,54.9%,87,46%,36,12%,76,12%,56,24%,3,2%,55,28%,15,30%
DaQuan Jeffries,22.2,SAC,Wing,105,50,51.9%,73,38%,46,14%,42,7%,39,21%,69,17%,27,24%,40,41%
Ty Jerome,22.3,PHX,Combo,273,11,41.2%,15,18%,91,30%,41,9%,79,39%,58,9%,67,34%,58,43%
Cameron Johnson,23.7,PHX,Forward,1231,77,56.2%,15,22%,19,7%,49,6%,25,13%,96,28%,80,37%,93,65%
James Johnson,32.7,MIN,Big,338,67,58.0%,52,49%,39,15%,51,4%,35,19%,41,4%,68,28%,58,32%
James Johnson,32.7,MIA,Big,268,65,57.0%,40,40%,22,12%,0,0%,14,12%,80,13%,82,35%,82,48%
Keldon Johnson,19.9,SAS,Forward,281,100,69.8%,91,52%,60,18%,63,7%,61,26%,69,16%,1,6%,5,22%
Stanley Johnson,23.4,TOR,Forward,109,8,40.0%,49,33%,71,20%,56,6%,65,27%,57,14%,51,27%,53,41%
Tyler Johnson,27.5,BKN,Wing,192,30,48.7%,18,15%,60,16%,98,26%,94,42%,6,4%,67,39%,43,42%
Tyler Johnson,27.5,PHX,Combo,514,14,45.3%,27,23%,32,14%,76,18%,55,32%,52,8%,70,37%,68,45%
Nikola Jokic,24.7,DEN,Big,2334,64,56.8%,25,31%,95,32%,90,15%,96,47%,27,1%,58,21%,48,22%
Damian Jones,24.3,ATL,Big,851,93,67.4%,96,87%,6,6%,27,2%,7,8%,40,3%,20,1%,27,4%
Tyus Jones,23.5,MEM,Point,1193,51,51.5%,18,21%,100,38%,51,13%,98,51%,43,5%,31,23%,25,29%
Derrick Jones Jr.,22.7,MIA,Forward,1351,93,59.8%,97,59%,20,7%,16,2%,13,9%,85,21%,5,11%,25,32%
DeAndre Jordan,31.3,BKN,Big,1233,92,66.6%,99,92%,7,7%,15,1%,5,8%,0,0%,0,0%,0,0%
Cory Joseph,28.2,SAC,Combo,1721,33,48.1%,24,21%,77,24%,83,19%,86,42%,64,10%,35,27%,45,37%
Frank Kaminsky,26.6,PHX,Big,761,30,52.3%,40,40%,49,17%,58,6%,49,23%,33,2%,81,35%,67,37%
Enes Kanter,27.4,BOS,Big,973,66,57.0%,89,77%,52,18%,46,4%,42,21%,15,0%,21,2%,20,2%
