Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Caruso,28.7,CHI,Combo,1572,94,-6.9,90,-5.8,45,+0.7%,83,+1.3%,93,-4.9,83,-1.9,90,-16.9
Thomas Bryant,25.3,LAL,Big,858,12,+5.1,7,+6.5,16,+3.0%,40,-0.3%,4,+6.1,4,+4.1,35,+5.3
Thomas Bryant,25.3,DEN,Big,168,22,+3.4,38,+1.0,39,+1.0%,12,-1.7%,60,-0.7,46,+0.3,70,-6.4
Josh Hart,27.7,POR,Wing,1704,89,-5.1,90,-5.6,68,-1.1%,67,+0.6%,35,+1.6,49,+0.1,28,+7.7
Josh Hart,27.7,NYK,Wing,741,97,-8.6,93,-6.6,18,+2.8%,97,+2.8%,43,+0.8,75,-1.4,10,+17.3
OG Anunoby,25.3,TOR,Wing,2385,78,-3.2,57,-0.8,80,-2.2%,55,+0.2%,70,-1.6,50,+0.1,79,-9.7
Bam Adebayo,25.3,MIA,Big,2594,80,-3.5,54,-0.7,67,-0.8%,78,+1.0%,59,-0.7,57,-0.2,58,-1.9
John Collins,25.1,ATL,Big,2129,53,-0.2,40,+0.7,82,-2.3%,13,-1.6%,45,+0.7,58,-0.3,33,+6.4
Dillon Brooks,26.8,MEM,Wing,2209,86,-4.3,69,-2.2,95,-4.3%,78,+1.0%,67,-1.5,89,-2.5,27,+8.0
Jonathan Isaac,25.1,ORL,Wing,124,36,+1.7,40,+0.7,13,+3.4%,58,+0.3%,54,-0.2,98,-4.8,1,+54.5
Khem Birch,30.1,TOR,Big,155,81,-3.6,80,-3.6,8,+4.4%,76,+0.9%,13,+3.7,28,+1.2,14,+14.1
Jayson Tatum,24.7,BOS,Forward,2730,28,+2.5,20,+3.8,43,+0.8%,50,+0.0%,64,-1.1,36,+0.8,85,-13.4
Daniel Theis,30.6,IND,Big,108,44,+1.0,86,-4.7,47,+0.5%,93,+2.1%,1,+10.1,61,-0.5,0,+54.7
