Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Nicolo Melli,29.8,NOP,Big,191,1,-7.0%,1,-12.4%,96,+8.1%,49,-0.5%,92,+4.6%,2,-15.9%,24,-2.2%,6,-5.9%
Nicolo Melli,29.8,DAL,Big,297,3,-5.9%,13,-4.5%,6,-7.6%,3,-11.1%,2,-8.6%,8,-9.7%,45,-0.5%,22,-2.6%
Donta Hall,23.2,ORL,Forward,144,48,-0.3%,92,+5.4%,36,-1.4%,37,-2.0%,31,-1.7%,71,+3.0%,31,-1.5%,44,-0.7%
Charles Brown,23.7,OKC,Combo,118,28,-2.1%,75,+2.7%,88,+4.8%,67,+2.2%,92,+4.6%,24,-4.8%,5,-7.0%,5,-6.3%
Armoni Brooks,22.4,HOU,Combo,466,5,-5.0%,14,-4.3%,13,-4.8%,44,-1.1%,17,-3.6%,96,+9.8%,4,-7.1%,14,-3.5%
Oshae Brissett,22.4,IND,Big,486,91,+3.4%,84,+3.6%,12,-5.2%,30,-3.0%,11,-4.6%,99,+15.4%,94,+5.1%,99,+7.6%
Kendrick Nunn,25.2,MIA,Combo,1597,75,+1.6%,42,-1.0%,48,-0.0%,84,+5.0%,71,+1.8%,60,+1.6%,69,+1.3%,72,+1.4%
Mychal Mulder,26.4,GSW,Combo,647,68,+1.1%,48,-0.3%,86,+4.4%,97,+10.5%,97,+6.6%,75,+3.6%,16,-3.6%,30,-1.7%
Luguentz Dort,21.5,OKC,Wing,1542,45,-0.6%,27,-2.4%,31,-2.1%,26,-3.5%,26,-2.4%,58,+1.3%,58,+0.4%,61,+0.5%
Naz Reid,21.2,MIN,Big,1285,18,-2.8%,27,-2.3%,39,-1.0%,88,+6.0%,64,+1.2%,60,+1.6%,8,-5.8%,12,-4.1%
Kelan Martin,25.2,IND,Forward,257,74,+1.4%,4,-7.6%,98,+10.3%,97,+10.6%,99,+10.4%,60,+1.6%,86,+3.0%,83,+2.7%
Jordan McLaughlin,24.6,MIN,Point,854,16,-3.0%,29,-2.2%,34,-1.8%,41,-1.5%,32,-1.6%,29,-3.6%,21,-2.6%,20,-2.8%
Tyler Cook,23.1,DET,Big,393,78,+1.8%,49,-0.2%,46,-0.3%,63,+1.6%,49,+0.1%,45,-0.5%,62,+0.7%,58,+0.4%
Moses Brown,21.1,OKC,Big,860,16,-3.1%,9,-5.5%,15,-4.5%,4,-10.7%,7,-5.8%,49,+0.1%,71,+1.4%,68,+1.1%
Jaylen Hoard,21.6,OKC,Big,252,87,+2.8%,95,+6.3%,88,+4.9%,36,-2.1%,85,+3.1%,19,-5.7%,45,-0.6%,33,-1.6%
Dean Wade,23.9,CLE,Forward,1126,57,+0.3%,57,+0.6%,73,+2.5%,64,+1.6%,75,+2.0%,79,+4.3%,24,-2.1%,40,-1.0%
Max Strus,24.6,MIA,Wing,455,93,+3.7%,98,+9.2%,11,-5.7%,59,+1.1%,18,-3.4%,91,+7.5%,29,-1.6%,65,+0.9%
John Konchar,24.6,MEM,Forward,468,60,+0.6%,40,-1.2%,32,-2.0%,12,-6.7%,21,-3.0%,66,+2.2%,89,+3.8%,88,+3.4%
