Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Spencer Dinwiddie,25.6,BKN,Combo,131,71,+5.3,+5,51,+1.3,25,-2.8%,80,-1.8%,78,+3.9%,92,+7.7,73,-4.0,82,-3.9%,93,+3.6%,4,+10.8%,59,-2.0
Andre Drummond,25.2,DET,Big,127,2,-36.0,-40,38,-2.4,27,-2.5%,81,-1.9%,63,+1.5%,8,-9.2,0,+33.6,0,+22.3%,13,-2.7%,66,-1.7%,97,-11.6
Kevin Durant,30.1,GSW,Forward,441,78,+9.3,+21,61,+5.1,53,+1.4%,68,-0.8%,48,-0.2%,63,+2.0,74,-4.2,64,-1.1%,87,+2.6%,39,+2.2%,29,+2.6
Wayne Ellington,30.9,DET,Wing,128,27,-9.1,-4,43,-0.8,54,+1.6%,33,+1.3%,70,+2.5%,55,+0.5,23,+8.4,48,+1.3%,35,-1.0%,40,+2.0%,18,+4.9
Joel Embiid,24.6,PHI,Big,334,99,+38.2,+69,85,+10.9,84,+6.6%,69,-1.0%,40,-1.5%,90,+7.2,100,-27.3,98,-12.7%,68,+1.2%,61,-1.0%,98,-13.9
James Ennis,28.3,PHI,Wing,224,45,-2.4,-6,60,+4.7,33,-1.3%,83,-2.1%,60,+1.3%,88,+6.0,25,+7.1,42,+2.2%,17,-2.4%,69,-2.1%,12,+5.6
Derrick Favors,27.3,UTA,Big,103,91,+19.5,+42,57,+3.6,69,+4.0%,30,+1.4%,57,+1.1%,59,+1.1,96,-15.9,89,-5.9%,50,+0.1%,78,-4.1%,88,-6.3
Bryn Forbes,25.3,SAS,Combo,207,51,-0.9,-2,17,-8.3,45,+0.4%,17,+2.8%,51,+0.1%,14,-7.3,85,-7.4,71,-2.0%,23,-1.9%,91,-6.5%,13,+5.5
Evan Fournier,26.0,ORL,Wing,172,0,-42.0,-67,2,-23.7,22,-3.1%,63,-0.4%,56,+0.8%,3,-14.4,8,+18.3,29,+4.4%,63,+0.9%,1,+14.7%,89,-6.8
Danilo Gallinari,30.2,LAC,Big,201,53,-0.5,-2,29,-4.4,41,-0.4%,15,+3.2%,68,+2.4%,45,-0.7,72,-3.9,73,-2.1%,23,-1.9%,95,-8.7%,88,-6.6
Marc Gasol,33.8,TOR,Big,733,42,-3.5,-8,36,-2.8,36,-0.9%,27,+1.7%,71,+2.8%,39,-1.6,49,+0.7,18,+6.3%,94,+4.0%,57,-0.6%,84,-5.9
Rudy Gay,32.2,SAS,Forward,176,19,-12.4,-30,38,-2.3,16,-4.6%,77,-1.5%,16,-5.5%,99,+12.6,19,+10.0,63,-0.9%,25,-1.8%,7,+8.6%,79,-4.8
Paul George,28.5,OKC,Wing,203,100,+51.7,+42,99,+25.6,92,+8.8%,100,-7.0%,26,-3.4%,98,+11.9,99,-26.1,99,-13.6%,14,-2.5%,70,-2.5%,3,+9.5
Rudy Gobert,26.3,UTA,Big,152,6,-27.5,-59,23,-6.0,49,+1.0%,5,+4.1%,61,+1.4%,26,-4.8,4,+21.5,3,+10.9%,62,+0.8%,28,+3.6%,40,+0.6
Aaron Gordon,23.1,ORL,Forward,160,21,-10.9,-9,53,+1.5,96,+9.7%,23,+2.2%,2,-11.6%,48,-0.4,18,+12.4,6,+9.2%,93,+3.8%,5,+10.7%,63,-2.2
Eric Gordon,29.9,HOU,Wing,408,38,-4.3,-11,47,+0.2,58,+2.6%,4,+4.2%,80,+4.5%,18,-6.6,33,+4.5,18,+6.3%,46,-0.0%,33,+2.8%,83,-5.8
Jerami Grant,24.6,OKC,Big,176,16,-15.3,-37,82,+9.8,88,+7.8%,95,-4.8%,14,-5.9%,17,-6.7,3,+25.0,23,+5.4%,1,-7.4%,16,+6.0%,35,+1.1
Danny Green,31.4,TOR,Wing,683,73,+5.6,+13,71,+6.7,71,+4.2%,31,+1.4%,67,+2.3%,36,-2.3,46,+1.1,46,+1.4%,54,+0.3%,45,+1.1%,61,-2.1
Draymond Green,28.7,GSW,Big,850,89,+19.0,+42,81,+9.7,83,+6.0%,48,+0.4%,17,-5.5%,61,+1.3,88,-9.3,83,-4.0%,90,+3.0%,80,-4.3%,36,+1.0
