Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Davis Bertans,26.0,SAS,Big,1594,87,61.6%,21,50.0%,97,43.5%,97,88.3%,2,94%,15,78%,24,84%,69,99%
Patrick Beverley,30.3,LAC,Combo,2121,85,53.0%,7,41.8%,86,40.6%,50,79.3%,12,66%,75,29%,8,48%,25,88%
Khem Birch,26.1,ORL,Big,556,91,63.0%,86,63.0%,0,0.0%,27,67.6%,44,75%,36,71%,18,89%,0,0%
Bismack Biyombo,26.2,CHA,Big,755,57,55.4%,53,55.4%,0,0.0%,22,64.7%,46,74%,31,72%,27,82%,0,0%
Nemanja Bjelica,30.5,SAC,Big,1795,65,56.7%,42,53.7%,90,40.2%,62,76.1%,52,72%,84,55%,58,70%,78,96%
Antonio Blakeney,22.1,CHI,Wing,709,12,44.5%,10,40.5%,71,38.0%,7,67.3%,83,52%,71,50%,68,38%,57,90%
Eric Bledsoe,28.9,MIL,Point,2266,83,54.8%,100,58.1%,27,32.9%,34,75.1%,50,40%,44,34%,24,29%,80,59%
Jaron Blossomgame,25.1,CLE,Big,417,9,48.5%,43,54.0%,12,26.3%,0,81.8%,74,66%,89,54%,64,67%,22,100%
Bogdan Bogdanovic,26.2,SAC,Wing,1944,48,50.2%,35,46.0%,67,37.0%,65,82.6%,82,54%,77,49%,78,31%,79,79%
Bojan Bogdanovic,29.5,IND,Forward,2547,86,57.2%,66,53.9%,90,42.3%,74,80.9%,51,73%,34,70%,51,55%,62,92%
Andrew Bogut,33.9,GSW,Big,126,74,58.6%,68,58.6%,0,0.0%,0,100.0%,77,65%,43,69%,83,50%,0,0%
Jonah Bolden,22.8,PHI,Big,567,84,60.1%,99,70.5%,43,34.2%,0,52.6%,20,83%,40,70%,1,100%,22,100%
Devin Booker,22.0,PHX,Combo,2239,78,52.5%,92,53.6%,37,32.8%,85,86.4%,80,36%,59,36%,46,24%,88,58%
Avery Bradley,27.9,MEM,Wing,442,79,54.6%,70,51.3%,83,39.4%,0,92.0%,74,61%,66,54%,43,59%,89,68%
Avery Bradley,27.9,LAC,Wing,1462,15,45.7%,13,41.5%,40,34.5%,0,80.0%,43,75%,43,68%,40,61%,38,95%
Corey Brewer,32.7,SAC,Wing,332,52,50.7%,52,48.8%,39,34.5%,18,71.4%,33,80%,35,72%,49,50%,1,100%
Corey Brewer,32.7,PHI,Forward,120,15,45.3%,44,50.0%,0,23.1%,0,69.2%,21,83%,14,79%,0,100%,0,100%
Mikal Bridges,22.2,PHX,Wing,2354,68,52.8%,90,55.1%,34,33.9%,51,79.8%,21,83%,35,72%,15,77%,28,97%
Miles Bridges,20.6,CHA,Forward,1569,69,54.4%,80,56.1%,41,33.9%,44,75.4%,27,82%,20,76%,10,83%,51,95%
Isaiah Briscoe,22.6,ORL,Point,456,9,44.6%,22,45.2%,6,28.6%,0,64.7%,57,39%,54,32%,96,9%,0,100%
Ryan Broekhoff,28.2,DAL,Forward,391,99,62.6%,87,58.6%,93,42.7%,0,78.6%,7,90%,15,77%,14,75%,39,97%
Malcolm Brogdon,25.9,MIL,Combo,1820,98,57.5%,95,54.3%,90,42.7%,100,92.8%,22,57%,34,45%,3,61%,36,83%
Dillon Brooks,22.8,MEM,Forward,313,25,48.7%,15,42.7%,84,40.5%,36,72.4%,45,74%,10,81%,94,27%,0,100%
MarShon Brooks,29.8,MEM,Wing,368,38,49.1%,77,52.2%,12,28.3%,10,67.9%,98,31%,96,30%,91,19%,96,53%
Bruce Brown,22.2,DET,Wing,1406,11,43.9%,28,45.0%,11,27.4%,29,73.2%,50,70%,47,66%,48,53%,34,96%
Jaylen Brown,22.0,BOS,Wing,1852,69,52.8%,79,52.9%,48,34.9%,6,65.5%,57,68%,50,63%,57,46%,29,97%
Lorenzo Brown,28.2,TOR,Wing,147,6,39.1%,6,39.1%,8,26.1%,0,100.0%,89,47%,55,60%,95,0%,91,67%
Sterling Brown,23.7,MIL,Wing,917,89,56.5%,89,55.0%,77,38.6%,13,69.7%,35,79%,39,69%,35,64%,26,98%
Troy Brown,19.3,WAS,Wing,641,31,48.5%,45,47.9%,31,33.3%,8,67.6%,50,71%,32,73%,59,43%,1,100%
Jalen Brunson,22.2,DAL,Point,1540,76,52.7%,81,52.1%,54,35.8%,27,73.5%,37,44%,56,31%,19,36%,41,76%
Thomas Bryant,21.3,WAS,Big,1438,95,65.3%,95,68.4%,47,34.4%,65,77.0%,28,80%,17,77%,23,85%,76,97%
Reggie Bullock,27.6,DET,Wing,1352,80,54.7%,38,46.3%,80,38.9%,89,87.5%,13,88%,28,74%,17,76%,35,96%
Reggie Bullock,27.6,LAL,Wing,519,67,52.6%,83,53.7%,42,34.7%,0,81.0%,4,92%,9,83%,5,94%,43,94%
Trey Burke,26.0,DAL,Point,407,78,52.8%,80,51.8%,67,36.2%,77,84.4%,69,33%,100,7%,39,24%,52,72%
Trey Burke,26.0,NYK,Point,677,24,46.5%,19,43.9%,62,36.1%,59,82.7%,93,23%,94,13%,74,14%,74,60%
Alec Burks,27.3,CLE,Wing,954,23,47.2%,14,41.9%,76,38.4%,67,82.8%,85,50%,84,42%,83,26%,78,81%
Alec Burks,27.3,UTA,Wing,255,28,48.1%,23,44.1%,64,36.8%,84,86.1%,77,59%,55,60%,63,40%,93,64%
Alec Burks,27.3,SAC,Wing,111,13,45.0%,97,64.3%,0,0.0%,0,80.0%,79,56%,36,71%,95,0%,0,0%
Deonte Burton,24.8,OKC,Forward,220,8,43.8%,18,43.5%,15,29.6%,0,66.7%,25,82%,21,75%,14,75%,0,100%
Jimmy Butler,29.1,PHI,Forward,1823,31,49.5%,38,49.0%,43,34.0%,94,86.8%,90,54%,49,60%,80,37%,94,72%
Jimmy Butler,29.1,MIN,Wing,361,70,52.9%,68,50.9%,78,38.6%,47,78.7%,94,38%,63,55%,94,4%,97,53%
Bruno Caboclo,23.1,MEM,Forward,783,68,54.3%,51,51.1%,69,37.2%,84,84.0%,24,82%,44,65%,14,75%,35,98%
Jose Calderon,37.1,DET,Combo,580,14,45.1%,83,52.5%,5,24.5%,0,81.8%,47,48%,42,43%,61,21%,3,100%
Kentavious Caldwell-Pope,25.7,LAL,Wing,1989,73,53.3%,85,54.0%,52,35.3%,87,87.0%,30,82%,38,70%,25,70%,44,94%
Isaiah Canaan,27.4,PHX,Combo,500,47,49.2%,32,45.6%,53,34.7%,0,75.0%,24,57%,49,40%,39,27%,42,80%
Clint Capela,24.5,HOU,Big,2244,95,64.8%,92,64.8%,0,0.0%,13,63.3%,24,81%,9,81%,28,82%,0,0%
DeMarre Carroll,32.3,BKN,Forward,1696,30,49.0%,27,46.2%,51,34.3%,48,75.8%,38,78%,61,57%,20,74%,44,96%
Jevon Carter,23.1,MEM,Combo,533,5,39.9%,0,26.7%,46,34.1%,63,82.1%,44,48%,66,33%,59,21%,83,63%
Vince Carter,41.8,ATL,Big,1322,56,55.4%,15,48.0%,85,39.4%,35,70.3%,32,79%,47,68%,91,44%,91,91%
Wendell Carter,19.5,CHI,Big,1102,12,49.3%,26,51.2%,3,19.4%,76,79.3%,32,79%,18,76%,33,80%,22,100%
Michael Carter-Williams,27.1,ORL,Combo,222,2,38.8%,10,42.9%,2,18.8%,0,72.0%,93,29%,92,18%,90,14%,3,100%
Alex Caruso,24.7,LAL,Combo,502,69,52.1%,10,42.9%,100,51.1%,65,82.8%,39,50%,19,50%,98,9%,71,70%
Omri Casspi,30.4,MEM,Forward,492,92,58.3%,90,58.8%,76,37.8%,22,67.9%,30,80%,8,83%,86,33%,0,100%
Willie Cauley-Stein,25.2,SAC,Big,2222,62,55.9%,57,55.7%,0,100.0%,4,55.1%,33,79%,9,81%,60,68%,22,100%
Tyson Chandler,36.1,LAL,Big,785,87,61.6%,81,61.6%,0,0.0%,10,59.4%,72,66%,60,64%,1,100%,0,0%
Wilson Chandler,31.5,LAC,Forward,210,14,45.2%,4,36.0%,46,34.2%,0,71.4%,66,64%,94,33%,86,33%,80,85%
Wilson Chandler,31.5,PHI,Big,951,55,55.3%,23,50.6%,84,39.0%,0,72.2%,19,84%,33,72%,66,65%,72,98%
Marquese Chriss,21.3,CLE,Big,394,2,43.5%,9,46.1%,12,26.3%,30,68.4%,64,70%,86,55%,44,75%,22,100%
Gary Clark,24.0,HOU,Forward,522,70,54.4%,100,88.9%,50,34.3%,0,100.0%,11,89%,56,57%,0,100%,54,94%
Ian Clark,27.7,NOP,Combo,944,32,47.8%,46,47.2%,29,32.3%,96,88.6%,7,70%,5,69%,7,50%,24,88%
Jordan Clarkson,26.4,CLE,Combo,2179,64,51.4%,81,52.3%,44,33.2%,75,84.1%,69,40%,68,33%,64,20%,49,78%
John Collins,21.1,ATL,Big,1819,80,59.6%,78,61.0%,58,35.7%,64,76.8%,43,76%,28,73%,54,71%,22,100%
Zach Collins,21.0,POR,Big,1274,23,51.0%,42,53.8%,22,29.7%,59,75.8%,59,70%,56,65%,61,68%,91,91%
Darren Collison,31.2,IND,Point,2143,81,53.6%,63,49.7%,92,41.8%,66,83.2%,41,43%,30,38%,30,27%,46,73%
Mike Conley,31.1,MEM,Point,2341,57,50.6%,52,48.2%,69,36.3%,80,84.9%,52,40%,43,34%,28,28%,72,61%
Pat Connaughton,25.8,MIL,Wing,1153,82,54.8%,96,63.6%,21,32.0%,53,80.0%,21,83%,20,77%,39,62%,30,96%
Quinn Cook,25.6,GSW,Point,865,98,57.7%,69,50.3%,98,43.8%,0,88.2%,4,61%,13,46%,13,41%,26,84%
DeMarcus Cousins,28.2,GSW,Big,753,24,51.1%,51,55.2%,11,26.1%,51,73.6%,84,62%,87,54%,68,62%,22,100%
Robert Covington,27.9,MIN,Wing,748,76,54.4%,84,53.8%,61,36.6%,42,77.3%,33,80%,42,68%,26,68%,55,91%
Robert Covington,27.9,PHI,Forward,439,79,56.0%,44,50.0%,82,39.5%,0,73.9%,0,96%,1,93%,11,80%,0,100%
Allen Crabbe,26.6,BKN,Wing,1117,50,50.5%,5,34.8%,75,38.3%,29,73.2%,1,96%,15,80%,4,95%,23,99%
Torrey Craig,27.9,DEN,Wing,1438,61,52.1%,93,57.8%,18,31.3%,15,70.1%,32,81%,33,73%,39,62%,30,96%
Jamal Crawford,38.6,PHX,Point,1208,41,48.4%,24,45.3%,40,34.0%,75,84.4%,85,26%,63,27%,94,9%,83,51%
Jae Crowder,28.3,UTA,Big,2158,27,51.4%,34,52.5%,39,33.7%,42,72.1%,4,91%,5,85%,11,94%,83,94%
Dante Cunningham,31.5,SAS,Forward,834,72,54.5%,24,45.1%,97,46.2%,0,83.3%,54,72%,87,42%,7,85%,46,96%
Seth Curry,28.2,POR,Wing,1362,93,57.7%,42,46.8%,96,44.6%,77,84.0%,60,67%,82,42%,55,48%,71,85%
Stephen Curry,30.6,GSW,Point,2326,100,61.0%,85,52.5%,100,44.1%,100,91.6%,7,59%,11,48%,7,45%,57,69%
Troy Daniels,27.3,PHX,Wing,706,78,54.5%,46,48.0%,74,38.3%,0,81.3%,42,75%,80,45%,35,64%,72,84%
Anthony Davis,25.6,NOP,Big,1849,47,54.3%,46,54.8%,40,33.8%,77,79.4%,76,65%,53,66%,77,55%,22,100%
Deyonta Davis,21.9,ATL,Big,117,100,71.4%,99,71.4%,0,0.0%,0,60.0%,30,80%,13,79%,1,100%,0,0%
Ed Davis,29.4,BKN,Big,1443,88,62.0%,82,62.2%,0,0.0%,12,61.7%,87,60%,75,59%,16,90%,0,0%
DeMar DeRozan,29.2,SAS,Wing,2687,30,48.5%,54,49.3%,0,16.7%,70,83.1%,99,28%,95,32%,84,25%,1,100%
Dewayne Dedmon,29.2,ATL,Big,1603,69,57.2%,62,57.0%,83,38.4%,81,81.4%,12,86%,10,81%,38,79%,73,98%
Sam Dekker,24.5,WAS,Forward,578,45,51.6%,72,54.2%,4,27.0%,2,56.7%,39,76%,25,75%,44,63%,0,100%
Sam Dekker,24.5,CLE,Big,155,11,48.9%,8,45.2%,0,38.5%,0,80.0%,48,74%,67,62%,1,100%,22,100%
Matthew Dellavedova,28.1,CLE,Wing,697,65,52.6%,74,52.0%,58,36.0%,49,79.2%,87,49%,90,37%,87,24%,82,75%
Luol Deng,33.5,MIN,Forward,350,94,60.6%,96,61.9%,79,38.9%,30,70.4%,46,74%,38,68%,39,64%,59,93%
Donte DiVincenzo,21.7,MIL,Wing,390,43,50.0%,99,67.5%,9,27.3%,0,70.0%,35,79%,30,73%,95,0%,56,90%
Cheick Diallo,22.1,NOP,Big,850,91,62.8%,86,63.0%,0,33.3%,63,76.2%,21,83%,20,76%,12,93%,22,100%
Hamidou Diallo,20.3,OKC,Wing,484,57,51.4%,89,55.1%,2,19.0%,3,59.3%,71,62%,54,61%,45,56%,1,100%
Gorgui Dieng,28.8,MIN,Big,961,39,52.9%,36,52.9%,55,35.6%,80,81.3%,38,78%,35,71%,37,79%,22,100%
Spencer Dinwiddie,25.6,BKN,Combo,1913,76,52.3%,85,52.8%,49,34.2%,58,80.6%,90,30%,93,17%,88,14%,92,56%
Luka Doncic,19.7,DAL,Wing,2327,51,50.6%,62,50.1%,35,33.9%,17,71.3%,100,27%,99,24%,93,14%,99,42%
Tyler Dorsey,22.7,ATL,Combo,195,3,39.5%,3,40.0%,7,25.9%,0,81.8%,0,86%,0,77%,0,100%,3,100%
Tyler Dorsey,22.7,MEM,Wing,432,63,52.4%,67,50.6%,56,36.0%,4,62.9%,70,63%,71,50%,72,33%,54,91%
Damyean Dotson,24.5,NYK,Wing,1957,48,50.1%,26,44.7%,67,37.0%,36,75.3%,48,72%,65,54%,38,63%,60,89%
Goran Dragic,32.5,MIA,Point,990,35,47.9%,20,45.1%,50,35.0%,43,78.2%,33,44%,28,40%,85,11%,39,77%
Andre Drummond,25.2,DET,Big,2640,46,53.9%,48,54.9%,2,13.3%,9,59.3%,90,57%,90,53%,47,73%,99,75%
Jared Dudley,33.3,BKN,Forward,1199,66,54.0%,73,54.5%,60,35.6%,24,69.6%,3,94%,6,85%,6,93%,0,100%
Kris Dunn,24.6,CHI,Combo,1389,15,45.8%,19,44.1%,54,35.4%,52,79.7%,95,25%,88,22%,86,15%,80,65%
Kevin Durant,30.1,GSW,Forward,2698,87,57.2%,89,58.7%,57,35.5%,98,88.7%,94,49%,51,59%,70,40%,99,57%
Henry Ellenson,21.8,NYK,Forward,176,6,43.2%,0,27.3%,91,42.3%,0,70.0%,42,75%,94,33%,31,67%,69,91%
Wayne Ellington,30.9,MIA,Wing,508,55,51.1%,7,39.3%,55,35.6%,0,87.5%,3,94%,24,75%,1,100%,31,96%
Wayne Ellington,30.9,DET,Wing,760,90,57.0%,96,61.8%,70,37.2%,38,75.8%,21,83%,18,78%,23,73%,67,86%
Joel Embiid,24.6,PHI,Big,2155,31,52.0%,39,53.5%,27,30.7%,78,80.4%,93,55%,90,53%,95,40%,89,92%
James Ennis,28.3,PHI,Wing,268,40,49.4%,57,50.0%,23,32.4%,0,63.2%,24,82%,24,75%,28,67%,1,100%
James Ennis,28.3,HOU,Wing,916,95,59.4%,99,65.5%,61,36.5%,23,72.2%,18,84%,29,74%,18,75%,27,98%
Jacob Evans,21.4,GSW,Wing,117,18,46.4%,13,41.2%,0,36.4%,0,0.0%,69,64%,43,67%,85,25%,1,100%
Tyreke Evans,29.1,IND,Wing,1371,13,44.6%,9,40.2%,54,35.6%,27,72.4%,92,42%,96,31%,79,30%,89,68%
Dante Exum,23.3,UTA,Combo,593,8,43.9%,25,44.6%,14,28.1%,48,79.2%,54,46%,64,35%,29,33%,15,94%
Kenneth Faried,29.0,HOU,Big,577,86,61.4%,83,62.4%,0,30.8%,24,66.2%,50,73%,35,72%,52,71%,22,100%
Derrick Favors,27.3,UTA,Big,1757,85,60.1%,90,64.1%,8,21.8%,27,67.7%,39,77%,31,73%,13,92%,22,100%
Cristiano Felicio,26.3,CHI,Big,606,29,51.8%,34,52.5%,0,0.0%,25,67.2%,71,67%,46,69%,74,58%,0,0%
Raymond Felton,34.3,OKC,Combo,368,44,48.8%,42,47.1%,32,32.8%,0,92.3%,71,39%,80,25%,100,4%,22,89%
Terrance Ferguson,20.5,OKC,Wing,1923,86,55.7%,92,56.8%,64,36.8%,28,72.5%,2,95%,7,90%,18,75%,1,100%
Yogi Ferrell,25.5,SAC,Combo,972,68,52.1%,61,48.6%,73,37.9%,98,89.5%,66,41%,71,30%,51,22%,78,68%
Dorian Finney-Smith,25.5,DAL,Forward,1933,44,51.4%,73,54.5%,22,32.0%,26,69.7%,56,72%,55,58%,42,63%,45,96%
Bryn Forbes,25.3,SAS,Combo,2282,95,57.2%,63,48.9%,95,43.3%,94,88.2%,8,69%,24,48%,5,57%,34,85%
Evan Fournier,26.0,ORL,Wing,2545,56,51.2%,67,50.9%,37,34.2%,55,80.4%,70,62%,67,53%,55,48%,70,86%
De'Aaron Fox,20.9,SAC,Point,2556,50,49.7%,48,48.0%,75,37.2%,25,72.6%,94,23%,80,20%,78,14%,81,52%
Tim Frazier,28.0,NOP,Point,880,80,53.3%,89,52.7%,58,36.1%,36,76.9%,9,59%,2,60%,69,16%,13,88%
Tim Frazier,28.0,MIL,Point,201,67,51.6%,15,43.6%,96,43.5%,0,69.2%,63,37%,72,22%,80,13%,56,70%
Channing Frye,35.5,CLE,Big,297,10,48.5%,0,31.4%,77,37.7%,0,75.0%,6,89%,0,100%,76,57%,77,96%
Markelle Fultz,20.4,PHI,Point,414,4,43.8%,9,42.6%,0,40.0%,2,53.1%,72,29%,41,34%,63,17%,85,50%
Danilo Gallinari,30.2,LAC,Big,2059,60,55.6%,17,48.6%,97,43.4%,99,90.3%,86,61%,83,56%,97,36%,98,84%
Langston Galloway,26.9,DET,Wing,1693,53,50.8%,39,46.5%,52,35.4%,76,83.9%,4,92%,8,85%,10,83%,25,98%
Marc Gasol,33.8,MEM,Big,1788,14,49.7%,18,49.1%,49,34.5%,57,75.6%,38,78%,19,76%,63,67%,22,100%
Marc Gasol,33.8,TOR,Big,643,40,53.0%,13,47.8%,98,44.2%,77,80.0%,28,80%,16,77%,46,74%,80,96%
Pau Gasol,38.3,SAS,Big,330,13,49.4%,10,46.2%,0,50.0%,37,71.1%,57,71%,62,63%,54,71%,22,100%
Rudy Gay,32.2,SAS,Forward,1853,76,55.6%,65,53.7%,85,40.9%,78,81.6%,93,49%,83,49%,83,34%,73,89%
Paul George,28.5,OKC,Wing,2852,72,53.3%,48,48.4%,80,39.1%,78,84.0%,89,46%,87,39%,89,22%,91,67%
Taj Gibson,33.4,MIN,Big,1685,71,57.9%,65,58.3%,45,34.4%,58,75.7%,69,68%,54,66%,55,70%,22,100%
Harry Giles,20.5,SAC,Big,757,13,49.4%,21,50.0%,0,0.0%,15,63.5%,72,66%,71,60%,43,75%,0,0%
Shai Gilgeous-Alexander,20.3,LAC,Point,2122,63,51.4%,70,50.4%,71,36.8%,50,79.8%,46,41%,33,36%,33,26%,11,92%
Rudy Gobert,26.3,UTA,Big,2568,98,66.8%,95,66.8%,0,0.0%,15,63.4%,49,73%,29,73%,19,86%,0,0%
Aaron Gordon,23.1,ORL,Forward,2614,42,51.3%,48,50.2%,59,35.5%,40,72.8%,77,59%,65,55%,73,39%,83,84%
Eric Gordon,29.9,HOU,Wing,2151,66,52.6%,57,49.9%,58,36.1%,46,78.3%,55,68%,81,44%,63,40%,65,87%
Marcin Gortat,34.7,LAC,Big,749,42,53.2%,38,53.2%,0,0.0%,46,72.9%,23,82%,8,82%,29,81%,0,0%
Devonte' Graham,23.7,CHA,Combo,581,10,44.4%,5,41.0%,22,31.1%,31,76.3%,31,55%,36,45%,80,17%,54,75%
Treveon Graham,25.0,BKN,Forward,706,7,43.2%,10,41.3%,12,29.3%,0,81.8%,15,85%,39,67%,37,64%,0,100%
Jerami Grant,24.6,OKC,Big,2615,65,56.8%,50,55.2%,88,39.7%,39,71.4%,15,84%,10,80%,56,70%,68,99%
Jerian Grant,26.1,ORL,Point,840,70,52.0%,44,47.8%,79,37.6%,9,63.6%,28,51%,59,28%,41,24%,22,84%
Danny Green,31.4,TOR,Wing,2215,99,62.6%,53,49.0%,98,45.7%,79,84.1%,28,82%,70,52%,21,73%,53,91%
Draymond Green,28.7,GSW,Big,2064,17,50.2%,47,54.9%,18,28.7%,32,69.2%,42,76%,49,68%,34,80%,87,94%
Gerald Green,32.8,HOU,Forward,1396,63,53.9%,76,54.6%,62,35.7%,80,83.1%,14,86%,17,77%,39,64%,63,92%
JaMychal Green,28.4,LAC,Big,467,73,58.6%,54,55.4%,93,41.3%,0,81.0%,75,66%,99,39%,56,70%,84,94%
JaMychal Green,28.4,MEM,Big,898,49,54.5%,32,52.3%,87,39.6%,74,78.8%,42,76%,62,64%,28,82%,75,97%
Jeff Green,32.2,WAS,Big,2082,64,56.5%,69,58.8%,54,35.5%,98,88.7%,47,74%,38,71%,88,46%,76,97%
Blake Griffin,29.6,DET,Big,2618,42,53.3%,33,52.5%,68,36.6%,56,75.4%,100,41%,99,38%,100,23%,100,56%
