Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Devonte' Graham,23.7,CHA,Combo,581,32,+0.8%,55,-0.2%,31,+0.8%,75,-0.9%,52,-0.1%,19,+0.8%,61,-0.5%,41,+0.3%
Wendell Carter,19.5,CHI,Big,1102,58,-0.4%,67,-0.9%,51,-0.0%,85,-1.5%,77,-1.6%,26,+0.6%,16,+1.9%,11,+2.5%
Chandler Hutchison,22.5,CHI,Forward,811,81,-1.8%,41,+0.6%,89,-2.0%,30,+0.6%,73,-1.4%,94,-1.8%,10,+2.5%,33,+0.7%
Collin Sexton,19.8,CLE,Point,2536,3,+3.7%,61,-0.5%,86,-1.8%,44,+0.2%,77,-1.6%,10,+1.2%,29,+0.9%,15,+2.0%
Luka Doncic,19.7,DAL,Wing,2327,19,+1.7%,62,-0.5%,90,-2.1%,37,+0.4%,78,-1.7%,46,+0.0%,13,+2.1%,14,+2.2%
Jacob Evans,21.4,GSW,Wing,117,4,+3.6%,92,-3.3%,43,+0.2%,84,-1.4%,70,-1.2%,2,+2.9%,18,+1.7%,3,+4.5%
Aaron Holiday,22.1,IND,Point,512,81,-1.8%,73,-1.5%,13,+1.9%,1,+4.0%,2,+5.8%,44,+0.1%,99,-4.5%,98,-4.4%
Shai Gilgeous-Alexander,20.3,LAC,Point,2122,4,+3.5%,17,+2.1%,29,+0.8%,40,+0.3%,29,+1.1%,45,+0.1%,97,-3.3%,94,-3.2%
Jerome Robinson,21.7,LAC,Wing,254,5,+3.5%,95,-4.0%,11,+1.9%,77,-1.0%,32,+1.0%,27,+0.6%,10,+2.5%,8,+3.1%
Moritz Wagner,21.5,LAL,Big,368,14,+2.2%,85,-2.4%,88,-1.9%,40,+0.3%,77,-1.6%,13,+1.0%,6,+3.0%,5,+4.0%
Jaren Jackson,19.1,MEM,Big,1491,91,-2.9%,53,-0.0%,30,+0.8%,22,+0.9%,21,+1.7%,34,+0.4%,88,-2.0%,78,-1.7%
Donte DiVincenzo,21.7,MIL,Wing,390,71,-1.1%,69,-1.1%,67,-0.7%,8,+2.0%,27,+1.3%,94,-1.8%,19,+1.7%,52,-0.1%
Josh Okogie,20.2,MIN,Wing,1703,22,+1.4%,28,+1.4%,55,-0.3%,64,-0.5%,64,-0.7%,71,-0.5%,52,-0.1%,61,-0.7%
Kevin Knox,19.2,NYK,Forward,2089,26,+1.2%,44,+0.5%,81,-1.5%,69,-0.7%,83,-2.2%,11,+1.2%,36,+0.5%,21,+1.7%
Mohamed Bamba,20.5,ORL,Big,745,36,+0.6%,19,+1.9%,82,-1.6%,60,-0.3%,80,-1.9%,38,+0.2%,57,-0.2%,48,-0.0%
Landry Shamet,21.6,PHI,Wing,1041,7,+2.9%,21,+1.8%,15,+1.7%,52,-0.1%,23,+1.6%,86,-1.1%,90,-2.3%,95,-3.4%
Landry Shamet,21.6,LAC,Wing,693,38,+0.5%,81,-2.0%,6,+2.5%,59,-0.3%,16,+2.2%,75,-0.6%,37,+0.5%,52,-0.2%
Deandre Ayton,20.3,PHX,Big,2182,21,+1.5%,21,+1.8%,60,-0.5%,93,-2.0%,87,-2.5%,9,+1.2%,62,-0.5%,34,+0.7%
Mikal Bridges,22.2,PHX,Wing,2354,48,+0.0%,38,+0.8%,81,-1.5%,22,+0.9%,61,-0.5%,52,-0.1%,55,-0.2%,55,-0.3%
Marvin Bagley,19.6,SAC,Big,1524,59,-0.4%,50,+0.1%,87,-1.8%,90,-1.8%,93,-3.6%,30,+0.5%,6,+3.0%,6,+3.5%
Grayson Allen,23.1,UTA,Combo,322,17,+1.9%,3,+4.5%,87,-1.8%,97,-2.9%,97,-4.7%,59,-0.2%,36,+0.5%,42,+0.3%
Troy Brown,19.3,WAS,Wing,641,47,+0.1%,77,-1.8%,28,+0.9%,22,+0.9%,19,+1.8%,55,-0.2%,48,+0.1%,51,-0.1%
Elie Okobo,21.0,PHX,Combo,899,45,+0.2%,52,+0.0%,21,+1.3%,28,+0.7%,18,+1.9%,72,-0.5%,80,-1.4%,83,-2.0%
Keita Bates-Diop,22.8,MIN,Wing,454,29,+1.0%,5,+4.1%,95,-2.8%,61,-0.3%,91,-3.2%,36,+0.3%,75,-1.2%,66,-0.9%
Rodions Kurucs,20.7,BKN,Forward,1267,35,+0.7%,13,+2.6%,92,-2.4%,88,-1.7%,96,-4.1%,49,-0.0%,20,+1.5%,22,+1.5%
Jalen Brunson,22.2,DAL,Point,1540,22,+1.4%,61,-0.5%,27,+0.9%,62,-0.4%,38,+0.5%,62,-0.3%,43,+0.3%,50,-0.1%
