Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Theo Pinson,23.0,BKN,Wing,170,8,-8.5,2,-13.2,78,+2.1%,99,-5.1%,93,+5.5,98,+5.9,29,-7.3
Yuta Watanabe,24.1,MEM,Forward,139,80,+3.5,92,+5.8,97,+6.1%,74,-1.1%,76,+2.5,83,+2.2,52,+0.0
Duncan Robinson,24.5,MIA,Big,136,30,-2.8,7,-8.2,11,-3.4%,80,-1.4%,96,+6.6,33,-1.2,99,+43.2
Allonzo Trier,22.8,NYK,Wing,1407,68,+1.5,46,-1.0,95,+5.5%,50,+0.1%,57,+0.5,77,+1.6,32,-6.3
Jaylen Adams,22.5,ATL,Point,395,33,-2.6,83,+3.8,13,-3.0%,38,+0.5%,7,-5.7,8,-3.7,23,-9.3
Gary Clark,24.0,HOU,Forward,522,55,+0.1,55,+0.5,76,+2.0%,26,+1.2%,77,+2.6,46,-0.3,96,+20.5
Kenrich Williams,23.9,NOP,Wing,1057,37,-2.1,40,-1.8,77,+2.1%,42,+0.3%,24,-2.9,67,+0.9,6,-20.1
Rawle Alkins,21.0,CHI,Forward,108,84,+4.1,10,-7.5,99,+8.7%,95,-3.0%,97,+7.7,98,+6.3,57,+1.7
Johnathan Williams,23.4,LAL,Big,346,89,+5.1,20,-5.0,99,+8.5%,13,+1.9%,96,+6.8,95,+4.9,63,+3.5
Jaron Blossomgame,25.1,CLE,Big,417,36,-2.1,52,-0.0,40,-0.8%,50,+0.1%,46,-0.2,41,-0.6,66,+4.1
Brandon Sampson,21.5,CHI,Wing,191,65,+1.1,66,+1.4,1,-8.2%,72,-1.0%,2,-8.0,5,-4.3,4,-24.6
Deng Adel,21.7,CLE,Forward,187,8,-8.6,50,-0.4,58,+0.5%,41,+0.4%,16,-4.1,43,-0.5,7,-17.8
Julian Washburn,26.9,MEM,Wing,246,39,-1.8,15,-5.8,68,+1.4%,96,-3.2%,92,+5.1,59,+0.4,98,+28.3
Cameron Reynolds,23.7,MIN,Wing,235,32,-2.6,13,-6.6,26,-1.7%,12,+2.0%,27,-2.4,15,-2.8,74,+6.9
Dairis Bertans,29.1,NOP,Wing,150,8,-8.8,11,-7.0,1,-7.6%,5,+3.1%,1,-8.9,1,-7.1,32,-6.2
Jemerrio Jones,23.6,LAL,Wing,133,91,+5.9,45,-1.1,100,+14.6%,94,-2.6%,42,-0.9,99,+6.8,0,-45.3
