Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Jarrett Culver,20.7,MIN,Combo,1454,94,1.3%,62,1.6%,52,3.1%,94,4.4%,41,9.5%,0,0.0%,70,6.8%
Seth Curry,29.2,DAL,Combo,1543,20,0.3%,26,1.1%,61,2.9%,30,1.6%,8,7.5%,0,0.0%,18,1.1%
Stephen Curry,31.6,GSW,Point,139,76,0.7%,43,1.4%,75,2.4%,67,2.4%,98,17.6%,0,0.0%,0,0.0%
Troy Daniels,28.3,LAL,Wing,387,4,0.1%,6,0.7%,61,2.9%,51,2.1%,7,6.3%,85,3.0%,0,0.0%
Anthony Davis,26.6,LAL,Big,2130,89,3.4%,88,1.8%,90,2.8%,43,6.7%,67,20.2%,71,4.4%,13,13.6%
Ed Davis,30.4,UTA,Big,281,46,1.5%,88,1.8%,2,8.1%,85,11.3%,84,22.2%,0,0.0%,90,50.0%
Terence Davis,22.5,TOR,Combo,1136,58,0.5%,53,1.4%,17,4.1%,91,4.2%,91,14.3%,86,1.6%,68,6.7%
DeMar DeRozan,30.2,SAS,Forward,2315,24,0.4%,51,1.3%,64,3.1%,7,1.8%,57,13.5%,77,3.1%,68,23.6%
Dewayne Dedmon,30.2,ATL,Big,233,85,3.1%,90,1.8%,4,6.8%,39,6.1%,92,25.5%,0,0.0%,97,57.1%
Dewayne Dedmon,30.2,SAC,Big,526,75,2.5%,58,1.2%,6,6.6%,58,8.3%,76,21.0%,82,7.1%,96,56.0%
Matthew Dellavedova,29.1,CLE,Combo,804,5,0.1%,27,1.1%,18,4.1%,58,2.2%,6,6.9%,0,0.0%,38,2.8%
Donte DiVincenzo,22.7,MIL,Combo,1488,70,0.7%,94,2.3%,65,2.8%,95,4.4%,97,14.7%,73,0.9%,39,2.9%
Cheick Diallo,23.1,PHX,Big,406,42,1.4%,23,0.8%,38,4.6%,40,6.5%,71,20.5%,88,8.3%,47,28.6%
