Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Gerald Green,21.8,MIN,Wing,326,84,24.0%,14,90.5,76,14.9%,50,0.62,10,16.0%
Jeff Green,21.2,OKC,Forward,2190,58,18.8%,23,98.9,37,8.1%,28,0.43,13,15.7%
Willie Green,26.3,PHI,Wing,1958,82,22.8%,33,99.5,59,12.4%,30,0.55,56,11.0%
Adrian Griffin,33.3,CHI,Wing,176,30,16.2%,0,71.7,57,12.2%,70,0.75,0,22.2%
Richard Hamilton,29.7,DET,Wing,2416,85,24.0%,68,111.4,92,21.5%,87,0.89,63,10.6%
Anfernee Hardaway,36.3,MIA,Wing,319,7,13.0%,16,93.8,87,17.5%,100,1.34,19,14.9%
Matt Harpring,31.4,UTA,Wing,1359,68,20.1%,61,109.2,38,10.0%,22,0.50,14,15.2%
Al Harrington,27.7,GSW,Big,2176,81,19.8%,67,109.8,75,8.8%,60,0.44,100,8.8%
Othella Harrington,33.7,CHA,Big,162,44,15.4%,21,93.5,17,3.9%,13,0.26,12,20.6%
Devin Harris,24.7,BKN,Point,835,86,25.8%,77,110.6,77,30.9%,41,1.20,38,14.4%
Devin Harris,24.7,DAL,Point,1171,78,24.7%,94,119.1,55,27.3%,33,1.11,27,14.9%
Michael Harris,24.4,HOU,Forward,132,57,18.8%,67,109.4,0,2.6%,0,0.14,10,16.2%
David Harrison,25.2,IND,Big,657,49,16.0%,61,107.8,9,2.8%,4,0.17,7,22.7%
Jason Hart,29.5,UTA,Combo,529,16,17.3%,4,83.1,48,19.9%,86,1.15,62,11.6%
Udonis Haslem,27.4,MIA,Big,1799,37,14.9%,44,103.2,49,6.2%,53,0.41,84,11.4%
Trenton Hassell,28.7,BKN,Wing,289,1,9.4%,2,78.0,8,6.5%,61,0.69,26,14.0%
Trenton Hassell,28.7,DAL,Wing,434,2,9.7%,27,97.3,23,8.6%,86,0.89,15,15.2%
Spencer Hawes,19.5,SAC,Big,874,63,17.7%,26,96.5,66,7.7%,56,0.43,55,14.0%
Chuck Hayes,24.4,HOU,Big,1523,4,8.7%,44,103.1,69,8.0%,98,0.91,10,20.9%
Jarvis Hayes,26.2,DET,Wing,1145,58,19.0%,43,104.5,16,7.9%,10,0.42,83,9.3%
Brendan Haywood,27.9,WAS,Big,2216,55,16.4%,82,116.4,34,5.0%,25,0.31,58,13.6%
Luther Head,24.9,HOU,Combo,1296,28,19.7%,70,109.1,30,15.6%,34,0.80,50,12.3%
Walter Herrmann,28.4,CHA,Forward,132,38,15.8%,75,112.8,8,4.9%,8,0.31,97,6.5%
Walter Herrmann,28.4,DET,Forward,119,65,19.5%,17,93.3,77,11.8%,65,0.60,48,12.0%
Nene Hilario,25.1,DEN,Big,253,64,17.7%,13,87.6,80,9.0%,72,0.51,20,18.5%
Grant Hill,35.1,PHX,Wing,2211,44,17.6%,81,115.7,63,12.9%,66,0.73,53,11.1%
Kirk Hinrich,26.8,CHI,Combo,2369,52,21.8%,40,101.2,94,30.3%,98,1.39,38,13.5%
Ryan Hollins,23.1,CHA,Big,463,21,12.1%,66,109.5,22,4.2%,39,0.35,15,19.4%
Al Horford,21.4,ATL,Big,2529,44,15.3%,60,107.8,67,7.8%,72,0.51,36,16.1%
Robert Horry,37.2,SAS,Big,570,27,13.0%,12,86.2,92,13.4%,99,1.03,75,12.2%
Eddie House,29.5,BOS,Combo,1346,26,19.0%,68,108.2,44,17.8%,56,0.94,48,12.7%
Dwight Howard,21.9,ORL,Big,3085,91,22.1%,94,123.2,47,5.9%,15,0.27,25,17.6%
Josh Howard,27.5,DAL,Wing,2749,87,24.6%,55,107.6,40,10.3%,12,0.42,96,7.8%
Juwan Howard,34.7,DAL,Big,289,15,10.8%,7,79.6,53,6.4%,81,0.59,13,20.0%
Larry Hughes,28.8,CHI,Wing,805,80,22.4%,17,93.9,85,17.2%,73,0.77,59,10.8%
Larry Hughes,28.8,CLE,Combo,1206,54,21.9%,18,93.2,12,12.8%,10,0.59,52,12.2%
Kris Humphries,22.7,TOR,Big,804,80,19.7%,45,103.3,42,5.5%,18,0.28,70,12.7%
Lindsey Hunter,36.9,DET,Point,190,55,21.5%,11,88.9,36,24.4%,38,1.13,56,13.2%
Andre Iguodala,23.8,PHI,Wing,3230,86,24.4%,62,109.8,89,20.7%,82,0.85,42,12.4%
Zydrunas Ilgauskas,32.4,CLE,Big,2216,88,21.4%,52,105.1,71,8.2%,48,0.38,66,12.9%
Allen Iverson,32.4,DEN,Combo,3400,96,29.0%,80,113.8,86,27.3%,58,0.94,80,10.6%
Royal Ivey,25.9,MIL,Combo,1281,10,15.7%,24,97.2,34,16.5%,66,1.05,32,14.6%
Jarrett Jack,24.0,POR,Combo,2203,42,21.3%,82,113.8,76,24.1%,78,1.13,14,17.7%
Bobby Jackson,34.6,HOU,Combo,483,74,24.5%,52,105.1,58,20.9%,42,0.85,70,11.1%
Bobby Jackson,34.6,NOP,Wing,879,59,19.1%,38,102.6,73,14.6%,74,0.77,89,8.6%
Luke Jackson,26.0,MIA,Forward,216,63,19.4%,12,87.3,80,12.3%,75,0.63,87,8.2%
Stephen Jackson,29.6,GSW,Forward,2848,82,23.4%,65,109.3,87,15.1%,77,0.65,43,12.6%
Casey Jacobsen,26.6,MEM,Wing,454,3,10.4%,10,87.8,5,5.6%,28,0.54,68,10.4%
LeBron James,22.8,CLE,Forward,3018,100,35.2%,82,114.1,100,35.2%,98,1.00,72,10.8%
Mike James,32.4,HOU,Combo,493,68,23.6%,14,89.1,42,17.6%,24,0.75,88,10.0%
Mike James,32.4,NOP,Wing,155,53,18.3%,3,83.3,0,3.4%,0,0.19,65,10.5%
Antawn Jamison,31.4,WAS,Forward,3050,83,23.6%,47,105.4,25,6.9%,7,0.29,95,7.1%
Marko Jaric,28.9,MIN,Wing,2167,38,16.9%,45,104.6,91,21.3%,99,1.26,11,15.7%
Al Jefferson,22.8,MIN,Big,2906,98,25.7%,60,107.8,64,7.5%,22,0.29,95,10.1%
Richard Jefferson,27.4,BKN,Forward,3184,87,24.5%,78,114.0,85,14.6%,63,0.60,58,11.6%
Jared Jeffries,25.9,NYK,Big,1282,26,12.9%,11,85.9,61,7.3%,79,0.57,29,17.3%
Alexander Johnson,24.7,MIA,Big,486,61,17.3%,59,107.5,30,4.9%,21,0.29,12,20.5%
Amir Johnson,20.5,DET,Big,562,20,11.7%,90,121.3,21,4.2%,42,0.36,31,16.9%
Anthony Johnson,33.1,ATL,Point,1118,11,16.2%,30,100.7,64,28.7%,91,1.77,73,12.7%
Anthony Johnson,33.1,SAC,Point,399,9,16.0%,80,111.1,23,22.3%,63,1.39,0,23.4%
Joe Johnson,26.3,ATL,Wing,3336,94,26.6%,59,108.3,97,25.1%,92,0.94,50,11.4%
Bobby Jones,23.8,MEM,Wing,122,14,14.4%,24,97.1,48,11.1%,76,0.77,71,10.1%
Bobby Jones,23.8,DEN,Wing,142,33,16.7%,12,88.9,42,10.5%,53,0.63,18,15.0%
Bobby Jones,23.8,MIA,Forward,132,25,15.1%,98,122.9,33,7.8%,52,0.52,15,15.2%
Dahntay Jones,26.8,SAC,Forward,193,55,18.8%,58,107.4,40,8.3%,30,0.44,42,12.7%
Damon Jones,31.2,CLE,Combo,1286,4,14.0%,92,117.0,26,15.1%,68,1.08,94,8.7%
Dwayne Jones,24.4,CLE,Big,410,2,7.7%,53,105.4,6,2.7%,40,0.35,28,17.4%
Eddie Jones,36.0,DAL,Wing,907,4,11.1%,21,96.1,41,10.5%,91,0.94,34,13.6%
Fred Jones,28.6,NYK,Wing,1691,22,15.3%,69,111.6,74,14.9%,94,0.97,32,13.6%
James Jones,27.1,POR,Wing,1239,6,12.5%,100,130.1,1,3.8%,1,0.30,88,8.7%
Chris Kaman,25.5,LAC,Big,2072,85,20.7%,58,107.1,80,9.3%,60,0.45,26,17.5%
Jason Kapono,26.7,TOR,Forward,1419,32,15.4%,80,114.0,22,6.9%,33,0.45,60,11.5%
Jason Kidd,34.6,BKN,Point,1888,69,23.1%,22,96.8,98,44.8%,98,1.94,2,18.8%
Jason Kidd,34.6,DAL,Point,1009,41,20.4%,64,107.6,89,38.4%,92,1.88,8,17.6%
Andrei Kirilenko,26.7,UTA,Wing,2210,39,17.0%,91,119.5,88,17.5%,96,1.03,8,16.6%
Linas Kleiza,22.8,DEN,Wing,1754,35,16.8%,84,117.2,12,6.9%,8,0.41,46,11.7%
Brevin Knight,32.0,LAC,Point,1668,5,15.5%,13,91.0,80,32.4%,100,2.09,67,12.8%
Kyle Korver,26.6,PHI,Forward,637,45,17.0%,42,104.3,48,8.7%,48,0.51,50,11.8%
Kyle Korver,26.6,UTA,Wing,1020,34,16.7%,96,128.3,34,9.6%,36,0.58,43,12.1%
Nenad Krstic,24.3,BKN,Big,803,79,19.5%,17,90.0,44,5.6%,21,0.29,75,12.3%
Raef LaFrentz,31.4,POR,Big,268,15,11.2%,17,89.8,10,3.1%,17,0.28,40,15.9%
Carl Landry,24.1,HOU,Big,662,53,16.2%,99,131.1,40,5.4%,34,0.33,88,11.1%
Stephane Lasme,24.9,MIA,Big,283,38,15.0%,23,95.2,1,1.4%,0,0.10,34,16.5%
Acie Law,22.8,ATL,Combo,803,22,18.2%,10,86.2,62,21.7%,88,1.19,18,16.7%
David Lee,24.5,NYK,Big,2311,37,14.7%,89,120.6,55,6.7%,61,0.45,69,12.7%
Rashard Lewis,28.2,ORL,Big,3063,79,19.5%,88,120.0,85,10.4%,74,0.53,91,10.8%
Kyle Lowry,21.6,MEM,Point,1987,44,20.6%,69,108.2,25,22.5%,30,1.09,50,13.4%
Tyronn Lue,30.5,ATL,Point,555,36,19.9%,72,109.9,11,18.4%,11,0.92,95,8.9%
Tyronn Lue,30.5,DAL,Point,149,25,18.2%,92,117.6,2,13.3%,0,0.73,97,7.3%
Mark Madsen,31.8,MIN,Big,140,10,10.0%,0,30.0,25,4.4%,58,0.44,1,29.0%
Corey Maggette,28.0,LAC,Wing,2483,92,26.3%,89,119.3,71,14.4%,29,0.55,33,13.6%
Jamaal Magloire,29.4,BKN,Big,251,47,15.7%,1,71.0,31,5.0%,26,0.32,1,27.7%
