Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Shaquille O'Neal,33.7,MIA,Big,758,89,61.2%,89,61.2%,0,0.0%,6,37.4%,72,54%,47,61%,81,41%,0,0%
Lamar Odom,26.0,LAL,Forward,313,65,54.7%,100,62.3%,0,22.2%,14,66.7%,100,39%,88,39%,100,8%,6,100%
Smush Parker,24.4,LAL,Point,258,12,37.1%,47,43.5%,0,16.7%,0,100.0%,18,54%,0,69%,88,0%,76,50%
Tony Parker,23.5,SAS,Point,473,41,45.9%,65,47.0%,0,0.0%,50,81.0%,88,19%,59,18%,47,20%,0,0%
Gary Payton,37.3,MIA,Combo,548,80,50.9%,100,55.2%,17,30.9%,0,78.3%,50,49%,40,31%,100,13%,20,100%
James Posey,28.8,MIA,Wing,595,88,59.9%,34,45.2%,82,43.8%,11,71.4%,9,86%,19,64%,66,33%,41,97%
Tayshaun Prince,25.7,DET,Wing,744,44,50.2%,41,45.9%,86,45.5%,61,82.9%,66,46%,53,42%,75,33%,81,80%
Vladimir Radmanovic,25.0,LAC,Forward,243,94,62.3%,53,50.0%,83,46.3%,0,69.6%,29,77%,53,50%,0,0%,65,95%
Michael Redd,26.2,MIL,Wing,185,81,56.5%,88,53.6%,0,46.7%,89,88.6%,53,50%,44,45%,50,41%,66,86%
Clifford Robinson,38.9,BKN,Big,197,6,41.0%,0,35.0%,0,31.6%,0,80.0%,0,92%,0,100%,31,75%,78,100%
Quinton Ross,24.5,LAC,Wing,293,72,53.4%,81,53.4%,0,0.0%,0,87.5%,19,74%,13,77%,9,73%,0,0%
Bobby Simmons,25.4,MIL,Forward,158,12,39.3%,6,30.0%,0,41.7%,0,0.0%,53,71%,53,50%,65,57%,6,100%
Joe Smith,30.3,MIL,Big,104,33,48.4%,39,48.4%,0,0.0%,0,57.1%,6,87%,75,50%,11,92%,0,0%
Eric Snow,32.5,CLE,Point,405,24,42.7%,41,42.7%,0,0.0%,25,75.9%,12,56%,29,31%,6,81%,0,0%
Jerry Stackhouse,31.0,DAL,Wing,708,22,44.7%,19,42.4%,41,34.9%,28,77.8%,84,38%,75,34%,88,17%,6,100%
Michael Sweetney,23.0,CHI,Big,118,8,41.2%,6,41.2%,0,0.0%,0,78.9%,69,57%,42,63%,69,50%,0,0%
Jason Terry,28.1,DAL,Combo,841,70,48.5%,80,49.6%,0,30.3%,50,83.1%,70,43%,60,22%,70,35%,70,93%
Kenny Thomas,28.3,SAC,Big,147,64,54.2%,67,54.2%,0,0.0%,0,69.2%,94,38%,75,50%,100,20%,0,0%
Tim Thomas,28.7,PHX,Big,635,86,60.6%,64,54.1%,100,44.9%,94,77.6%,44,69%,75,50%,86,37%,78,100%
Nick Van Exel,33.9,SAS,Point,128,0,27.4%,0,18.2%,0,33.3%,0,100.0%,6,57%,6,50%,88,0%,18,100%
Keith Van Horn,30.0,DAL,Forward,162,18,39.4%,24,37.0%,8,28.0%,0,100.0%,0,88%,24,71%,6,100%,6,100%
Anderson Varejao,23.1,CLE,Big,226,83,60.4%,86,60.4%,0,0.0%,39,68.6%,36,72%,22,69%,0,100%,0,0%
Jacque Vaughn,30.7,BKN,Combo,153,20,41.4%,0,41.4%,0,0.0%,0,57.1%,40,58%,50,25%,20,75%,0,0%
Sasha Vujacic,21.7,LAL,Wing,128,94,64.6%,0,20.0%,0,64.3%,0,100.0%,0,91%,0,100%,0,0%,53,89%
Dwyane Wade,23.8,MIA,Wing,958,59,51.6%,69,50.6%,73,42.4%,39,80.8%,100,24%,78,30%,97,13%,88,64%
Antoine Walker,29.2,MIA,Forward,856,47,49.1%,47,48.5%,42,33.1%,0,55.8%,76,60%,71,44%,94,18%,76,92%
Ben Wallace,31.1,DET,Big,638,31,47.8%,42,48.5%,0,0.0%,0,27.3%,47,67%,31,66%,0,100%,0,0%
Rasheed Wallace,31.1,DET,Big,627,47,50.5%,14,44.4%,80,41.0%,11,52.7%,42,69%,61,56%,67,52%,78,100%
Luke Walton,25.6,LAL,Forward,234,41,48.2%,35,47.2%,0,36.4%,0,100.0%,82,55%,12,72%,82,31%,100,75%
Bonzi Wells,29.1,SAC,Wing,248,91,64.5%,97,60.8%,0,71.4%,0,65.1%,75,43%,66,39%,66,33%,6,100%
Jason Williams,30.0,MIA,Point,679,59,48.1%,82,53.9%,22,28.3%,63,84.4%,53,39%,65,17%,41,24%,47,73%
Metta World Peace,26.0,SAC,Wing,196,19,43.7%,13,39.6%,32,34.6%,0,69.6%,94,27%,91,21%,94,14%,94,44%
