Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Royce O'Neale,26.4,UTA,Wing,248,8,+7.4%,64,-1.1%,53,-0.1%,48,+0.3%,52,+0.1%,13,+3.3%,77,-2.2%,39,+1.0%
Brad Wanamaker,30.3,BOS,Combo,265,51,+0.2%,28,+1.7%,97,-5.1%,65,-1.1%,96,-6.2%,44,+0.4%,10,+4.2%,15,+4.6%
Robert Williams,22.0,BOS,Big,143,13,+5.4%,84,-4.4%,93,-4.3%,78,-2.2%,97,-6.5%,23,+2.3%,3,+8.6%,1,+10.9%
Luka Doncic,20.7,DAL,Wing,214,91,-6.6%,97,-9.5%,38,+0.9%,75,-1.9%,66,-1.0%,21,+2.4%,4,+8.2%,2,+10.5%
Michael Porter,21.3,DEN,Forward,436,47,+1.1%,11,+4.5%,52,-0.1%,94,-4.3%,87,-4.4%,29,+1.6%,70,-1.6%,53,-0.0%
Shai Gilgeous-Alexander,21.3,OKC,Wing,279,62,-1.3%,77,-3.2%,12,+3.3%,73,-1.8%,32,+1.5%,35,+1.3%,44,+0.4%,33,+1.7%
Donte DiVincenzo,22.7,MIL,Combo,161,56,-0.5%,21,+2.4%,21,+2.5%,88,-3.5%,67,-1.0%,18,+3.0%,88,-4.4%,67,-1.4%
Landry Shamet,22.6,LAC,Wing,231,67,-2.3%,31,+1.5%,88,-3.2%,43,+0.7%,80,-2.5%,38,+0.9%,47,+0.1%,40,+1.0%
Shake Milton,23.1,PHI,Combo,125,77,-3.2%,91,-5.5%,16,+2.8%,88,-3.3%,59,-0.5%,7,+4.2%,33,+1.8%,8,+6.1%
Duncan Robinson,25.5,MIA,Wing,599,8,+7.3%,53,-0.3%,88,-3.3%,32,+1.6%,73,-1.8%,24,+2.1%,52,-0.1%,28,+2.0%
Gary Clark,25.0,ORL,Forward,143,74,-3.0%,3,+8.4%,78,-1.9%,100,-8.5%,100,-10.4%,73,-1.9%,13,+3.9%,29,+2.0%
Gary Trent Jr.,20.8,POR,Wing,181,48,+0.9%,1,+9.6%,54,-0.1%,98,-5.3%,92,-5.4%,33,+1.4%,93,-5.6%,83,-4.2%
Tyler Herro,19.8,MIA,Combo,705,22,+3.7%,32,+1.3%,28,+2.0%,59,-0.9%,37,+1.1%,63,-0.7%,71,-1.7%,74,-2.4%
Grant Williams,20.9,BOS,Big,163,73,-2.7%,2,+9.0%,85,-2.7%,83,-2.4%,89,-5.1%,83,-2.9%,64,-1.0%,81,-3.9%
Darius Bazley,19.4,OKC,Big,116,99,-10.0%,57,-0.6%,63,-0.9%,30,+1.6%,45,+0.7%,1,+6.8%,98,-6.9%,54,-0.1%
Kendrick Nunn,24.2,MIA,Combo,237,88,-5.3%,68,-1.5%,81,-2.3%,61,-0.9%,83,-3.2%,5,+4.6%,46,+0.1%,13,+4.7%
Luguentz Dort,20.5,OKC,Wing,174,70,-2.7%,73,-2.0%,65,-1.1%,86,-3.2%,86,-4.2%,98,-6.0%,0,+12.2%,8,+6.3%
